timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.11050000,1.11680000,1.10260000,1.11640000,1.11050000,1.11680000,1.10260000,1.11640000,99057.44000000,99057.44000000
2023-05-07,1.24520000,1.25380000,1.10000000,1.11020000,1.24520000,1.25380000,1.10000000,1.11020000,21532431.25000000,21532431.25000000
2023-04-30,1.23550000,1.32430000,1.15810000,1.24530000,1.23550000,1.32430000,1.15810000,1.24530000,35112239.44000001,35112239.44000001
2023-04-23,1.41650000,1.44970000,1.18300000,1.23560000,1.41650000,1.44970000,1.18300000,1.23560000,41594578.59000000,41594578.59000000
2023-04-16,1.33060000,1.64900000,1.26500000,1.41600000,1.33060000,1.64900000,1.26500000,1.41600000,73915699.80000001,73915699.80000001
2023-04-09,1.26440000,1.53000000,1.20530000,1.33070000,1.26440000,1.53000000,1.20530000,1.33070000,57351822.04000000,57351822.04000000
2023-04-02,1.31080000,1.32660000,1.21790000,1.26440000,1.31080000,1.32660000,1.21790000,1.26440000,21443526.14000000,21443526.14000000
2023-03-26,1.45950000,1.47370000,1.25520000,1.31130000,1.45950000,1.47370000,1.25520000,1.31130000,33703196.55999999,33703196.55999999
2023-03-19,1.37330000,1.60150000,1.30130000,1.45870000,1.37330000,1.60150000,1.30130000,1.45870000,33986601.54000000,33986601.54000000
2023-03-12,1.51210000,1.54800000,1.19220000,1.37390000,1.51210000,1.54800000,1.19220000,1.37390000,25214341.87000000,25214341.87000000
2023-03-05,1.73880000,1.79280000,1.46080000,1.51210000,1.73880000,1.79280000,1.46080000,1.51210000,20547312.81000000,20547312.81000000
2023-02-26,1.83960000,1.90790000,1.62490000,1.73810000,1.83960000,1.90790000,1.62490000,1.73810000,30214675.45000000,30214675.45000000
2023-02-19,1.78610000,2.12000000,1.69880000,1.83970000,1.78610000,2.12000000,1.69880000,1.83970000,44163643.79000000,44163643.79000000
2023-02-12,2.07820000,2.17860000,1.66190000,1.78740000,2.07820000,2.17860000,1.66190000,1.78740000,28817027.14000000,28817027.14000000
2023-02-05,2.17490000,2.37640000,1.82480000,2.07780000,2.17490000,2.37640000,1.82480000,2.07780000,65222904.47000001,65222904.47000001
2023-01-29,2.29680000,2.35940000,2.00240000,2.17640000,2.29680000,2.35940000,2.00240000,2.17640000,45342928.03000000,45342928.03000000
2023-01-22,2.06090000,2.54130000,1.79280000,2.29760000,2.06090000,2.54130000,1.79280000,2.29760000,110272252.75000001,110272252.75000001
