timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.50850000,0.51110000,0.50490000,0.51070000,0.50850000,0.51110000,0.50490000,0.51070000,705247.00000000,705247.00000000
2023-05-07,0.54280000,0.55220000,0.50560000,0.50850000,0.54280000,0.55220000,0.50560000,0.50850000,56532024.00000000,56532024.00000000
2023-04-30,0.55920000,0.57640000,0.51620000,0.54290000,0.55920000,0.57640000,0.51620000,0.54290000,99170291.00000000,99170291.00000000
2023-04-23,0.64410000,0.70000000,0.54350000,0.55920000,0.64410000,0.70000000,0.54350000,0.55920000,203101202.00000000,203101202.00000000
2023-04-16,0.60000000,0.65210000,0.58090000,0.64410000,0.60000000,0.65210000,0.58090000,0.64410000,149549509.00000000,149549509.00000000
2023-04-09,0.60100000,0.62850000,0.56660000,0.59990000,0.60100000,0.62850000,0.56660000,0.59990000,155895986.00000000,155895986.00000000
2023-04-02,0.59080000,0.62420000,0.54410000,0.60100000,0.59080000,0.62420000,0.54410000,0.60100000,112680253.00000000,112680253.00000000
2023-03-26,0.63350000,0.65020000,0.56780000,0.59070000,0.63350000,0.65020000,0.56780000,0.59070000,121914674.00000000,121914674.00000000
2023-03-19,0.56890000,0.67870000,0.54110000,0.63360000,0.56890000,0.67870000,0.54110000,0.63360000,193480732.00000000,193480732.00000000
2023-03-12,0.57670000,0.62400000,0.48280000,0.56860000,0.57670000,0.62400000,0.48280000,0.56860000,149632178.00000000,149632178.00000000
2023-03-05,0.66380000,0.67370000,0.56200000,0.57670000,0.66380000,0.67370000,0.56200000,0.57670000,93812274.00000000,93812274.00000000
2023-02-26,0.71740000,0.76000000,0.62010000,0.66390000,0.71740000,0.76000000,0.62010000,0.66390000,145835560.00000000,145835560.00000000
2023-02-19,0.66080000,0.75590000,0.61370000,0.71710000,0.66080000,0.75590000,0.61370000,0.71710000,196728255.00000000,196728255.00000000
2023-02-12,0.73560000,0.82580000,0.65090000,0.66070000,0.73560000,0.82580000,0.65090000,0.66070000,216042568.00000000,216042568.00000000
2023-02-05,0.80720000,0.84270000,0.70740000,0.73560000,0.80720000,0.84270000,0.70740000,0.73560000,244398366.00000000,244398366.00000000
2023-01-29,0.72520000,0.81180000,0.63500000,0.80730000,0.72520000,0.81180000,0.63500000,0.80730000,293498252.00000000,293498252.00000000
2023-01-22,0.69820000,0.78060000,0.61380000,0.72520000,0.69820000,0.78060000,0.61380000,0.72520000,465683432.00000000,465683432.00000000
2023-01-15,0.37760000,0.72990000,0.37580000,0.69830000,0.37760000,0.72990000,0.37580000,0.69830000,522495809.00000000,522495809.00000000
2023-01-08,0.30170000,0.39300000,0.29590000,0.37750000,0.30170000,0.39300000,0.29590000,0.37750000,138230589.00000000,138230589.00000000
2023-01-01,0.32690000,0.33380000,0.28400000,0.30160000,0.32690000,0.33380000,0.28400000,0.30160000,71338546.00000000,71338546.00000000
2022-12-25,0.32560000,0.35000000,0.29660000,0.32680000,0.32560000,0.35000000,0.29660000,0.32680000,111214199.66000000,111214199.66000000
2022-12-18,0.38970000,0.39460000,0.32000000,0.32560000,0.38970000,0.39460000,0.32000000,0.32560000,86777486.00000000,86777486.00000000
2022-12-11,0.40910000,0.42850000,0.38670000,0.38990000,0.40910000,0.42850000,0.38670000,0.38990000,84488584.00000000,84488584.00000000
2022-12-04,0.39970000,0.42470000,0.38020000,0.40920000,0.39970000,0.42470000,0.38020000,0.40920000,100633762.00000000,100633762.00000000
2022-11-27,0.38380000,0.41280000,0.35550000,0.39970000,0.38380000,0.41280000,0.35550000,0.39970000,109600195.90000001,109600195.90000001
2022-11-20,0.44900000,0.46160000,0.38110000,0.38380000,0.44900000,0.46160000,0.38110000,0.38380000,151391244.00000000,151391244.00000000
2022-11-13,0.66200000,0.69370000,0.43690000,0.44900000,0.66200000,0.69370000,0.43690000,0.44900000,208782978.89000002,208782978.89000002
2022-11-06,0.67130000,0.74400000,0.60790000,0.66220000,0.67130000,0.74400000,0.60790000,0.66220000,143227715.00000000,143227715.00000000
2022-10-30,0.62220000,0.73150000,0.59550000,0.67150000,0.62220000,0.73150000,0.59550000,0.67150000,135336504.00000000,135336504.00000000
2022-10-23,0.64130000,0.65700000,0.58230000,0.62230000,0.64130000,0.65700000,0.58230000,0.62230000,59278461.00000000,59278461.00000000
2022-10-16,0.69230000,0.69930000,0.58460000,0.64130000,0.69230000,0.69930000,0.58460000,0.64130000,80384117.42000000,80384117.42000000
2022-10-09,0.68280000,0.71500000,0.67360000,0.69250000,0.68280000,0.71500000,0.67360000,0.69250000,63049303.00000000,63049303.00000000
2022-10-02,0.69780000,0.72460000,0.67140000,0.68260000,0.69780000,0.72460000,0.67140000,0.68260000,84392043.00000000,84392043.00000000
2022-09-25,0.70390000,0.74030000,0.66900000,0.69810000,0.70390000,0.74030000,0.66900000,0.69810000,119951481.00000000,119951481.00000000
2022-09-18,0.80370000,0.82310000,0.69640000,0.70370000,0.80370000,0.82310000,0.69640000,0.70370000,110654275.00000000,110654275.00000000
2022-09-11,0.80820000,0.83200000,0.72150000,0.80360000,0.80820000,0.83200000,0.72150000,0.80360000,117677632.00000000,117677632.00000000
2022-09-04,0.75050000,0.82270000,0.73860000,0.80830000,0.75050000,0.82270000,0.73860000,0.80830000,85389825.00000000,85389825.00000000
2022-08-28,0.85290000,0.85710000,0.74500000,0.75020000,0.85290000,0.85710000,0.74500000,0.75020000,109096387.00000000,109096387.00000000
2022-08-21,1.07100000,1.11540000,0.81110000,0.85260000,1.07100000,1.11540000,0.81110000,0.85260000,133790615.00000000,133790615.00000000
2022-08-14,1.06020000,1.12910000,0.99070000,1.07100000,1.06020000,1.12910000,0.99070000,1.07100000,140501351.00000000,140501351.00000000
2022-08-07,0.97460000,1.09220000,0.93430000,1.05980000,0.97460000,1.09220000,0.93430000,1.05980000,161523172.00000000,161523172.00000000
2022-07-31,0.96310000,1.09490000,0.84350000,0.97450000,0.96310000,1.09490000,0.84350000,0.97450000,203175402.00000000,203175402.00000000
2022-07-24,0.83970000,1.03010000,0.83560000,0.96310000,0.83970000,1.03010000,0.83560000,0.96310000,259433125.00000000,259433125.00000000
2022-07-17,0.86960000,0.89490000,0.75430000,0.83960000,0.86960000,0.89490000,0.75430000,0.83960000,143215847.00000000,143215847.00000000
2022-07-10,0.83930000,0.95820000,0.82280000,0.86980000,0.83930000,0.95820000,0.82280000,0.86980000,150894535.00000000,150894535.00000000
2022-07-03,0.93460000,1.00680000,0.79930000,0.83870000,0.93460000,1.00680000,0.79930000,0.83870000,189745664.00000000,189745664.00000000
2022-06-26,0.82820000,1.05000000,0.78960000,0.93460000,0.82820000,1.05000000,0.78960000,0.93460000,254560272.00000000,254560272.00000000
2022-06-19,0.78950000,0.93890000,0.72550000,0.82840000,0.78950000,0.93890000,0.72550000,0.82840000,437835132.00000000,437835132.00000000
2022-06-12,0.97720000,1.06280000,0.75490000,0.78890000,0.97720000,1.06280000,0.75490000,0.78890000,186106404.00000000,186106404.00000000
2022-06-05,0.97330000,1.12910000,0.94370000,0.97730000,0.97330000,1.12910000,0.94370000,0.97730000,178629019.00000000,178629019.00000000
2022-05-29,1.10230000,1.13990000,0.90410000,0.97360000,1.10230000,1.13990000,0.90410000,0.97360000,309475082.00000000,309475082.00000000
2022-05-22,1.33680000,1.33740000,0.97740000,1.10320000,1.33680000,1.33740000,0.97740000,1.10320000,301991480.00000000,301991480.00000000
2022-05-15,1.33120000,1.36220000,0.62900000,1.33680000,1.33120000,1.36220000,0.62900000,1.33680000,729403174.00000000,729403174.00000000
2022-05-08,1.52580000,1.68000000,1.30740000,1.33070000,1.52580000,1.68000000,1.30740000,1.33070000,180493331.00000000,180493331.00000000
2022-05-01,2.00160000,2.00700000,1.33750000,1.52650000,2.00160000,2.00700000,1.33750000,1.52650000,158954321.00000000,158954321.00000000
2022-04-24,2.05240000,2.23470000,1.95570000,2.00120000,2.05240000,2.23470000,1.95570000,2.00120000,117512277.00000000,117512277.00000000
