timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.96330000,0.96720000,0.95810000,0.96470000,0.96330000,0.96720000,0.95810000,0.96470000,2505291.60000000,2505291.60000000
2023-05-07,0.98070000,1.01790000,0.94500000,0.96360000,0.98070000,1.01790000,0.94500000,0.96360000,327158310.60000002,327158310.60000002
2023-04-30,1.00370000,1.05950000,0.94350000,0.98070000,1.00370000,1.05950000,0.94350000,0.98070000,452333452.69999993,452333452.69999993
2023-04-23,1.18290000,1.18450000,0.97850000,1.00370000,1.18290000,1.18450000,0.97850000,1.00370000,409046477.10000002,409046477.10000002
2023-04-16,1.10080000,1.19000000,1.08090000,1.18280000,1.10080000,1.19000000,1.08090000,1.18280000,374166360.69999999,374166360.69999999
2023-04-09,1.09530000,1.16930000,1.06870000,1.10080000,1.09530000,1.16930000,1.06870000,1.10080000,295248843.50000000,295248843.50000000
2023-04-02,1.10390000,1.14640000,1.02550000,1.09530000,1.10390000,1.14640000,1.02550000,1.09530000,413720185.40000004,413720185.40000004
2023-03-26,1.16630000,1.17170000,1.06190000,1.10400000,1.16630000,1.17170000,1.06190000,1.10400000,612759802.00000000,612759802.00000000
2023-03-19,1.14920000,1.24990000,1.07480000,1.16620000,1.14920000,1.24990000,1.07480000,1.16620000,830329749.20000005,830329749.20000005
2023-03-12,1.13600000,1.16900000,0.94260000,1.14910000,1.13600000,1.16900000,0.94260000,1.14910000,781347559.00000000,781347559.00000000
2023-03-05,1.28170000,1.28740000,1.09200000,1.13600000,1.28170000,1.28740000,1.09200000,1.13600000,512498888.10000002,512498888.10000002
2023-02-26,1.47850000,1.50730000,1.19390000,1.28170000,1.47850000,1.50730000,1.19390000,1.28170000,616742684.40000010,616742684.40000010
2023-02-19,1.23600000,1.56810000,1.13650000,1.47850000,1.23600000,1.56810000,1.13650000,1.47850000,894310415.29999995,894310415.29999995
2023-02-12,1.20280000,1.35220000,1.17260000,1.23600000,1.20280000,1.35220000,1.17260000,1.23600000,736695144.59999990,736695144.59999990
2023-02-05,1.17820000,1.28410000,1.06500000,1.20280000,1.17820000,1.28410000,1.06500000,1.20280000,682712454.29999995,682712454.29999995
2023-01-29,0.99400000,1.20000000,0.93180000,1.17800000,0.99400000,1.20000000,0.93180000,1.17800000,774540049.29999995,774540049.29999995
2023-01-22,0.98310000,1.04770000,0.91670000,0.99390000,0.98310000,1.04770000,0.91670000,0.99390000,617279204.29999995,617279204.29999995
2023-01-15,0.84050000,1.05510000,0.83190000,0.98310000,0.84050000,1.05510000,0.83190000,0.98310000,681381662.20000005,681381662.20000005
2023-01-08,0.76010000,0.84500000,0.74930000,0.84070000,0.76010000,0.84500000,0.74930000,0.84070000,310655266.30000001,310655266.30000001
2023-01-01,0.79520000,0.81960000,0.74720000,0.76030000,0.79520000,0.81960000,0.74720000,0.76030000,241320631.50000000,241320631.50000000
2022-12-25,0.81270000,0.82180000,0.75700000,0.79500000,0.81270000,0.82180000,0.75700000,0.79500000,318587861.89999998,318587861.89999998
2022-12-18,0.89210000,0.94190000,0.78130000,0.81260000,0.89210000,0.94190000,0.78130000,0.81260000,476336011.69999993,476336011.69999993
2022-12-11,0.92110000,0.94520000,0.87080000,0.89220000,0.92110000,0.94520000,0.87080000,0.89220000,350236309.59999996,350236309.59999996
2022-12-04,0.84380000,0.95020000,0.80420000,0.92120000,0.84380000,0.95020000,0.80420000,0.92120000,469156095.59999996,469156095.59999996
2022-11-27,0.80690000,0.89140000,0.76400000,0.84400000,0.80690000,0.89140000,0.76400000,0.84400000,671269177.29999995,671269177.29999995
