timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-10-23,3.50900000,3.63500000,2.68200000,2.74400000,3.50900000,3.63500000,2.68200000,2.74400000,487096.33600000,487096.33600000
2020-10-18,4.22100000,4.36600000,3.49400000,3.49800000,4.22100000,4.36600000,3.49400000,3.49800000,84868.62600000,84868.62600000
2020-10-11,4.16500000,4.36400000,3.96000000,4.22600000,4.16500000,4.36400000,3.96000000,4.22600000,31533.51000000,31533.51000000
2020-10-04,4.28500000,4.33300000,4.01500000,4.16400000,4.28500000,4.33300000,4.01500000,4.16400000,38123.43900000,38123.43900000
2020-09-27,4.49100000,4.54400000,4.04400000,4.24800000,4.49100000,4.54400000,4.04400000,4.24800000,63382.63300000,63382.63300000
2020-09-20,4.41300000,4.80000000,4.36500000,4.48800000,4.41300000,4.80000000,4.36500000,4.48800000,143877.44600000,143877.44600000
2020-09-13,4.25600000,4.58500000,3.94800000,4.41300000,4.25600000,4.58500000,3.94800000,4.41300000,232181.68500000,232181.68500000
2020-09-06,5.86900000,6.14700000,4.02900000,4.26900000,5.86900000,6.14700000,4.02900000,4.26900000,867216.96400000,867216.96400000
2020-08-30,5.61300000,5.89100000,5.46300000,5.86900000,5.61300000,5.89100000,5.46300000,5.86900000,278259.45100000,278259.45100000
2020-08-23,5.55800000,5.89800000,5.29000000,5.61300000,5.55800000,5.89800000,5.29000000,5.61300000,430734.18100000,430734.18100000
2020-08-16,5.48800000,5.72000000,5.19100000,5.54400000,5.48800000,5.72000000,5.19100000,5.54400000,355109.86400000,355109.86400000
2020-08-09,3.98300000,6.10000000,3.95900000,5.49000000,3.98300000,6.10000000,3.95900000,5.49000000,3426169.61200000,3426169.61200000
2020-08-02,3.97300000,5.93000000,3.91000000,3.98300000,3.97300000,5.93000000,3.91000000,3.98300000,1144571.76600000,1144571.76600000
2020-07-26,4.09800000,4.65300000,3.90800000,3.97300000,4.09800000,4.65300000,3.90800000,3.97300000,1050479.28300000,1050479.28300000
2020-07-19,4.23500000,4.28000000,3.96100000,4.09800000,4.23500000,4.28000000,3.96100000,4.09800000,473704.49200000,473704.49200000
2020-07-12,4.15300000,4.39700000,4.13100000,4.22800000,4.15300000,4.39700000,4.13100000,4.22800000,445040.55400000,445040.55400000
2020-07-05,4.09300000,4.63500000,4.05200000,4.16900000,4.09300000,4.63500000,4.05200000,4.16900000,563615.68500000,563615.68500000
2020-06-28,4.90500000,4.95700000,3.90000000,4.10300000,4.90500000,4.95700000,3.90000000,4.10300000,596815.67200000,596815.67200000
2020-06-21,5.06300000,5.10000000,4.64600000,4.88500000,5.06300000,5.10000000,4.64600000,4.88500000,273870.56500000,273870.56500000
2020-06-14,5.31200000,5.41000000,4.86100000,5.08600000,5.31200000,5.41000000,4.86100000,5.08600000,347071.52200000,347071.52200000
2020-06-07,5.40900000,5.78500000,5.14900000,5.31200000,5.40900000,5.78500000,5.14900000,5.31200000,345330.09000000,345330.09000000
2020-05-31,5.19000000,5.61100000,5.14500000,5.40900000,5.19000000,5.61100000,5.14500000,5.40900000,343178.67400000,343178.67400000
2020-05-24,5.51700000,5.65800000,5.16300000,5.19000000,5.51700000,5.65800000,5.16300000,5.19000000,312472.99800000,312472.99800000
2020-05-17,5.50900000,5.79200000,5.04900000,5.51400000,5.50900000,5.79200000,5.04900000,5.51400000,347857.54100000,347857.54100000
2020-05-10,5.35200000,5.95600000,4.70000000,5.48900000,5.35200000,5.95600000,4.70000000,5.48900000,541242.98600000,541242.98600000
2020-05-03,5.13900000,5.80000000,5.00600000,5.35200000,5.13900000,5.80000000,5.00600000,5.35200000,191339.01200000,191339.01200000
2020-04-26,5.14600000,5.36000000,4.75700000,5.12900000,5.14600000,5.36000000,4.75700000,5.12900000,125963.80300000,125963.80300000
2020-04-19,5.09000000,5.37300000,4.82200000,5.12100000,5.09000000,5.37300000,4.82200000,5.12100000,109913.02000000,109913.02000000
2020-04-12,5.03000000,5.80000000,4.96100000,5.09300000,5.03000000,5.80000000,4.96100000,5.09300000,108269.79600000,108269.79600000
2020-04-05,4.26600000,5.27700000,4.26000000,5.03000000,4.26600000,5.27700000,4.26000000,5.03000000,152032.21200000,152032.21200000
2020-03-29,4.06000000,5.40000000,3.99900000,4.27700000,4.06000000,5.40000000,3.99900000,4.27700000,303555.89300000,303555.89300000
2020-03-22,2.79500000,4.63300000,2.37400000,4.09500000,2.79500000,4.63300000,2.37400000,4.09500000,353556.33800000,353556.33800000
2020-03-15,4.46700000,4.53200000,2.00000000,2.77500000,4.46700000,4.53200000,2.00000000,2.77500000,355661.11700000,355661.11700000
2020-03-08,4.91800000,5.32900000,4.41200000,4.46200000,4.91800000,5.32900000,4.41200000,4.46200000,93375.45400000,93375.45400000
2020-03-01,5.61700000,6.10900000,4.63900000,4.94900000,5.61700000,6.10900000,4.63900000,4.94900000,342343.39700000,342343.39700000
2020-02-23,5.82500000,5.87500000,5.23400000,5.63900000,5.82500000,5.87500000,5.23400000,5.63900000,65965.87500000,65965.87500000
2020-02-16,5.91800000,6.37100000,5.25200000,5.83600000,5.91800000,6.37100000,5.25200000,5.83600000,140409.11000000,140409.11000000
2020-02-09,5.19600000,5.96300000,5.16000000,5.94100000,5.19600000,5.96300000,5.16000000,5.94100000,71534.67000000,71534.67000000
2020-02-02,4.72000000,5.21900000,4.67100000,5.16400000,4.72000000,5.21900000,4.67100000,5.16400000,75831.50200000,75831.50200000
2020-01-26,4.86000000,5.27700000,4.50000000,4.72000000,4.86000000,5.27700000,4.50000000,4.72000000,98955.97700000,98955.97700000
2020-01-19,4.57500000,5.30500000,4.49700000,4.83200000,4.57500000,5.30500000,4.49700000,4.83200000,172946.80300000,172946.80300000
2020-01-12,4.21600000,7.40000000,4.20000000,4.57400000,4.21600000,7.40000000,4.20000000,4.57400000,226838.12200000,226838.12200000
2020-01-05,4.03100000,4.27400000,3.84600000,4.21300000,4.03100000,4.27400000,3.84600000,4.21300000,150771.37100000,150771.37100000
2019-12-29,4.11900000,4.21300000,3.85500000,4.03700000,4.11900000,4.21300000,3.85500000,4.03700000,157412.72900000,157412.72900000
2019-12-22,4.22800000,4.25600000,3.63700000,4.12700000,4.22800000,4.25600000,3.63700000,4.12700000,198220.98300000,198220.98300000
2019-12-15,4.21000000,4.45800000,4.06000000,4.21900000,4.21000000,4.45800000,4.06000000,4.21900000,158558.19100000,158558.19100000
2019-12-08,3.96900000,4.28300000,3.80100000,4.20500000,3.96900000,4.28300000,3.80100000,4.20500000,114166.39000000,114166.39000000
2019-12-01,3.74600000,4.24700000,3.45600000,3.97500000,3.74600000,4.24700000,3.45600000,3.97500000,3484998.12000000,3484998.12000000
