timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-12-22,0.00659000,0.00702000,0.00320000,0.00345000,0.00659000,0.00702000,0.00320000,0.00345000,1439257412.40000010,1439257412.40000010
2022-12-18,0.01257000,0.01344000,0.00625000,0.00655000,0.01257000,0.01344000,0.00625000,0.00655000,2744965598.19999981,2744965598.19999981
2022-12-11,0.01269000,0.01432000,0.01120000,0.01252000,0.01269000,0.01432000,0.01120000,0.01252000,1054448012.79999995,1054448012.79999995
2022-12-04,0.01333000,0.01593000,0.01130000,0.01266000,0.01333000,0.01593000,0.01130000,0.01266000,782745480.20000005,782745480.20000005
2022-11-27,0.01397000,0.01587000,0.01301000,0.01330000,0.01397000,0.01587000,0.01301000,0.01330000,387874055.30000001,387874055.30000001
2022-11-20,0.01432000,0.01499000,0.01344000,0.01401000,0.01432000,0.01499000,0.01344000,0.01401000,146407753.29999998,146407753.29999998
2022-11-13,0.02033000,0.02183000,0.01283000,0.01436000,0.02033000,0.02183000,0.01283000,0.01436000,293742628.19999999,293742628.19999999
2022-11-06,0.01962000,0.02180000,0.01878000,0.02033000,0.01962000,0.02180000,0.01878000,0.02033000,253421352.59999999,253421352.59999999
2022-10-30,0.01956000,0.02049000,0.01894000,0.01963000,0.01956000,0.02049000,0.01894000,0.01963000,142941796.50000003,142941796.50000003
2022-10-23,0.02006000,0.02290000,0.01800000,0.01952000,0.02006000,0.02290000,0.01800000,0.01952000,586485769.00000000,586485769.00000000
2022-10-16,0.02006000,0.02317000,0.01653000,0.02005000,0.02006000,0.02317000,0.01653000,0.02005000,469900932.30000001,469900932.30000001
2022-10-09,0.01987000,0.02083000,0.01972000,0.02009000,0.01987000,0.02083000,0.01972000,0.02009000,112295912.90000001,112295912.90000001
2022-10-02,0.02115000,0.02279000,0.01970000,0.01986000,0.02115000,0.02279000,0.01970000,0.01986000,238255301.89999998,238255301.89999998
2022-09-25,0.02172000,0.02266000,0.02027000,0.02112000,0.02172000,0.02266000,0.02027000,0.02112000,277814003.50000000,277814003.50000000
2022-09-18,0.02448000,0.02627000,0.02154000,0.02170000,0.02448000,0.02627000,0.02154000,0.02170000,533626775.69999999,533626775.69999999
2022-09-11,0.02404000,0.02590000,0.02281000,0.02446000,0.02404000,0.02590000,0.02281000,0.02446000,475525866.09999990,475525866.09999990
2022-09-04,0.02296000,0.02690000,0.02292000,0.02400000,0.02296000,0.02690000,0.02292000,0.02400000,681896381.79999995,681896381.79999995
2022-08-28,0.02355000,0.02824000,0.02291000,0.02295000,0.02355000,0.02824000,0.02291000,0.02295000,693857632.89999998,693857632.89999998
2022-08-21,0.02745000,0.02848000,0.02290000,0.02354000,0.02745000,0.02848000,0.02290000,0.02354000,499351927.39999998,499351927.39999998
2022-08-14,0.02925000,0.03182000,0.02636000,0.02747000,0.02925000,0.03182000,0.02636000,0.02747000,663449470.79999995,663449470.79999995
2022-08-07,0.02827000,0.03250000,0.02787000,0.02928000,0.02827000,0.03250000,0.02787000,0.02928000,895136212.89999998,895136212.89999998
2022-07-31,0.03470000,0.03968000,0.02768000,0.02829000,0.03470000,0.03968000,0.02768000,0.02829000,1616826278.19999981,1616826278.19999981
2022-07-24,0.04040000,0.06740000,0.03096000,0.03474000,0.04040000,0.06740000,0.03096000,0.03474000,4600741989.00000000,4600741989.00000000
2022-07-17,0.01688000,0.05372000,0.01507000,0.04039000,0.01688000,0.05372000,0.01507000,0.04039000,4240157468.89999914,4240157468.89999914
2022-07-10,0.01509000,0.02023000,0.01456000,0.01687000,0.01509000,0.02023000,0.01456000,0.01687000,717724145.79999995,717724145.79999995
2022-07-03,0.01535000,0.01636000,0.01360000,0.01509000,0.01535000,0.01636000,0.01360000,0.01509000,414476451.50000000,414476451.50000000
2022-06-26,0.01345000,0.01800000,0.01272000,0.01538000,0.01345000,0.01800000,0.01272000,0.01538000,816134422.59999990,816134422.59999990
2022-06-19,0.01471000,0.01547000,0.01152000,0.01345000,0.01471000,0.01547000,0.01152000,0.01345000,544255704.89999998,544255704.89999998
2022-06-12,0.02261000,0.02287000,0.01470000,0.01470000,0.02261000,0.02287000,0.01470000,0.01470000,1311794404.09999990,1311794404.09999990
2022-06-05,0.01710000,0.03300000,0.01618000,0.02260000,0.01710000,0.03300000,0.01618000,0.02260000,1086663372.50000000,1086663372.50000000
2022-05-29,0.01734000,0.02178000,0.01490000,0.01711000,0.01734000,0.02178000,0.01490000,0.01711000,868033881.39999986,868033881.39999986
2022-05-22,0.01597000,0.01875000,0.01354000,0.01734000,0.01597000,0.01875000,0.01354000,0.01734000,622168206.80000007,622168206.80000007
2022-05-15,0.02612000,0.02646000,0.00937000,0.01598000,0.02612000,0.02646000,0.00937000,0.01598000,734469874.39999998,734469874.39999998
2022-05-08,0.03054000,0.03500000,0.02567000,0.02603000,0.03054000,0.03500000,0.02567000,0.02603000,335388986.50000000,335388986.50000000
2022-05-01,0.03468000,0.03745000,0.02838000,0.03055000,0.03468000,0.03745000,0.02838000,0.03055000,318212598.90000004,318212598.90000004
2022-04-24,0.03398000,0.04545000,0.03225000,0.03470000,0.03398000,0.04545000,0.03225000,0.03470000,626685318.89999998,626685318.89999998
2022-04-17,0.03924000,0.03924000,0.03397000,0.03398000,0.03924000,0.03924000,0.03397000,0.03398000,261895164.60000002,261895164.60000002
2022-04-10,0.04523000,0.05197000,0.03708000,0.03924000,0.04523000,0.05197000,0.03708000,0.03924000,859817427.70000005,859817427.70000005
2022-04-03,0.03773000,0.05490000,0.03679000,0.04525000,0.03773000,0.05490000,0.03679000,0.04525000,2132838729.10000014,2132838729.10000014
2022-03-27,0.03271000,0.04190000,0.03200000,0.03773000,0.03271000,0.04190000,0.03200000,0.03773000,616200772.00000000,616200772.00000000
2022-03-20,0.03218000,0.03500000,0.02845000,0.03272000,0.03218000,0.03500000,0.02845000,0.03272000,653598408.50000000,653598408.50000000
2022-03-13,0.02885000,0.03566000,0.02801000,0.03218000,0.02885000,0.03566000,0.02801000,0.03218000,721199013.40000010,721199013.40000010
2022-03-06,0.02800000,0.03850000,0.02760000,0.02889000,0.02800000,0.03850000,0.02760000,0.02889000,813561110.39999998,813561110.39999998
2022-02-27,0.03240000,0.03410000,0.02525000,0.02804000,0.03240000,0.03410000,0.02525000,0.02804000,343276337.19999999,343276337.19999999
2022-02-20,0.03814000,0.04200000,0.03195000,0.03247000,0.03814000,0.04200000,0.03195000,0.03247000,359964453.50000000,359964453.50000000
2022-02-13,0.04098000,0.04500000,0.03778000,0.03815000,0.04098000,0.04500000,0.03778000,0.03815000,498535610.30000001,498535610.30000001
2022-02-06,0.03711000,0.04288000,0.03462000,0.04097000,0.03711000,0.04288000,0.03462000,0.04097000,659218555.69999993,659218555.69999993
2022-01-30,0.03525000,0.04144000,0.03050000,0.03708000,0.03525000,0.04144000,0.03050000,0.03708000,515179681.59999996,515179681.59999996
2022-01-23,0.05026000,0.05099000,0.03000000,0.03523000,0.05026000,0.05099000,0.03000000,0.03523000,479233101.70000005,479233101.70000005
2022-01-16,0.04979000,0.05365000,0.04550000,0.05024000,0.04979000,0.05365000,0.04550000,0.05024000,379714868.30000001,379714868.30000001
2022-01-09,0.06052000,0.06750000,0.04690000,0.04979000,0.06052000,0.06750000,0.04690000,0.04979000,746068624.09999990,746068624.09999990
2022-01-02,0.06982000,0.07335000,0.05789000,0.06061000,0.06982000,0.07335000,0.05789000,0.06061000,538531799.80000007,538531799.80000007
2021-12-26,0.06034000,0.07450000,0.05585000,0.06982000,0.06034000,0.07450000,0.05585000,0.06982000,833564518.79999995,833564518.79999995
2021-12-19,0.06585000,0.08200000,0.05131000,0.06034000,0.06585000,0.08200000,0.05131000,0.06034000,1938394241.40000010,1938394241.40000010
2021-12-12,0.06835000,0.07647000,0.05780000,0.06589000,0.06835000,0.07647000,0.05780000,0.06589000,1733957208.50000000,1733957208.50000000
2021-12-05,0.09811000,0.11400000,0.06303000,0.06828000,0.09811000,0.11400000,0.06303000,0.06828000,2866909418.80000019,2866909418.80000019
2021-11-28,0.09165000,0.13828000,0.08022000,0.09827000,0.09165000,0.13828000,0.08022000,0.09827000,5851244538.09999943,5851244538.09999943
2021-11-21,0.05157000,0.18750000,0.04415000,0.09170000,0.05157000,0.18750000,0.04415000,0.09170000,14208607132.70000076,14208607132.70000076
2021-11-14,0.05212000,0.05400000,0.04680000,0.05152000,0.05212000,0.05400000,0.04680000,0.05152000,387254253.89999992,387254253.89999992
2021-11-07,0.04997000,0.05800000,0.04910000,0.05210000,0.04997000,0.05800000,0.04910000,0.05210000,458625743.00000000,458625743.00000000
2021-10-31,0.04899000,0.05415000,0.04378000,0.04994000,0.04899000,0.05415000,0.04378000,0.04994000,573835810.59999990,573835810.59999990
2021-10-24,0.05011000,0.05550000,0.04810000,0.04900000,0.05011000,0.05550000,0.04810000,0.04900000,391983405.00000000,391983405.00000000
2021-10-17,0.04752000,0.05780000,0.04388000,0.05009000,0.04752000,0.05780000,0.04388000,0.05009000,819862693.20000005,819862693.20000005
2021-10-10,0.04507000,0.05400000,0.04300000,0.04767000,0.04507000,0.05400000,0.04300000,0.04767000,711290626.79999995,711290626.79999995
2021-10-03,0.04214000,0.04650000,0.03834000,0.04507000,0.04214000,0.04650000,0.03834000,0.04507000,526540006.70000005,526540006.70000005
2021-09-26,0.05419000,0.06478000,0.04029000,0.04216000,0.05419000,0.06478000,0.04029000,0.04216000,1658291082.79999995,1658291082.79999995
2021-09-19,0.05346000,0.05700000,0.04801000,0.05421000,0.05346000,0.05700000,0.04801000,0.05421000,525124238.69999993,525124238.69999993
2021-09-12,0.06515000,0.06590000,0.04399000,0.05325000,0.06515000,0.06590000,0.04399000,0.05325000,740561711.10000002,740561711.10000002
2021-09-05,0.05630000,0.07127000,0.05282000,0.06512000,0.05630000,0.07127000,0.05282000,0.06512000,739049045.89999986,739049045.89999986
2021-08-29,0.05858000,0.06658000,0.05197000,0.05620000,0.05858000,0.06658000,0.05197000,0.05620000,694854526.39999998,694854526.39999998
2021-08-22,0.06219000,0.06349000,0.05157000,0.05858000,0.06219000,0.06349000,0.05157000,0.05858000,787983035.69999993,787983035.69999993
2021-08-15,0.04541000,0.06500000,0.04440000,0.06234000,0.04541000,0.06500000,0.04440000,0.06234000,1042895442.29999995,1042895442.29999995
2021-08-08,0.04222000,0.05330000,0.04008000,0.04535000,0.04222000,0.05330000,0.04008000,0.04535000,762052206.10000002,762052206.10000002
2021-08-01,0.04004000,0.04686000,0.03833000,0.04216000,0.04004000,0.04686000,0.03833000,0.04216000,1078092698.00000000,1078092698.00000000
2021-07-25,0.03942000,0.04200000,0.03268000,0.04004000,0.03942000,0.04200000,0.03268000,0.04004000,808666033.29999995,808666033.29999995
2021-07-18,0.04607000,0.06071000,0.03751000,0.03945000,0.04607000,0.06071000,0.03751000,0.03945000,2374640427.69999981,2374640427.69999981
2021-07-11,0.03663000,0.05555000,0.03411000,0.04600000,0.03663000,0.05555000,0.03411000,0.04600000,2073341990.60000014,2073341990.60000014
2021-07-04,0.03726000,0.04153000,0.03427000,0.03664000,0.03726000,0.04153000,0.03427000,0.03664000,365416738.80000001,365416738.80000001
2021-06-27,0.05011000,0.05069000,0.02861000,0.03726000,0.05011000,0.05069000,0.02861000,0.03726000,548377260.00000000,548377260.00000000
2021-06-20,0.05724000,0.06080000,0.04462000,0.05012000,0.05724000,0.06080000,0.04462000,0.05012000,687951189.39999998,687951189.39999998
2021-06-13,0.05539000,0.08806000,0.04175000,0.05724000,0.05539000,0.08806000,0.04175000,0.05724000,2484523377.40000010,2484523377.40000010
2021-06-06,0.04951000,0.06150000,0.04641000,0.05515000,0.04951000,0.06150000,0.04641000,0.05515000,753034788.30000007,753034788.30000007
2021-05-30,0.03456000,0.07180000,0.03330000,0.04941000,0.03456000,0.07180000,0.03330000,0.04941000,1373617948.80000019,1373617948.80000019
2021-05-23,0.08309000,0.08321000,0.02523000,0.03438000,0.08309000,0.08321000,0.02523000,0.03438000,858847268.60000002,858847268.60000002
2021-05-16,0.10681000,0.12875000,0.07369000,0.08309000,0.10681000,0.12875000,0.07369000,0.08309000,1255160545.00000000,1255160545.00000000
2021-05-09,0.13400000,0.13820000,0.09650000,0.10691000,0.13400000,0.13820000,0.09650000,0.10691000,1138471622.79999995,1138471622.79999995
2021-05-02,0.07796000,0.15000000,0.07781000,0.13354000,0.07796000,0.15000000,0.07781000,0.13354000,3354270682.40000010,3354270682.40000010
2021-04-25,0.11457000,0.12750000,0.06130000,0.07783000,0.11457000,0.12750000,0.06130000,0.07783000,1914599198.10000014,1914599198.10000014
2021-04-18,0.14616000,0.16481000,0.09682000,0.11485000,0.14616000,0.16481000,0.09682000,0.11485000,2534313862.59999943,2534313862.59999943
2021-04-11,0.09000000,0.19900000,0.08999000,0.14642000,0.09000000,0.19900000,0.08999000,0.14642000,8710350726.00000000,8710350726.00000000
2021-04-04,0.06872000,0.11700000,0.05725000,0.09000000,0.06872000,0.11700000,0.05725000,0.09000000,4403365525.00000000,4403365525.00000000
2021-03-28,0.05187000,0.07890000,0.03846000,0.06858000,0.05187000,0.07890000,0.03846000,0.06858000,2881816739.69999981,2881816739.69999981
2021-03-21,0.03260000,0.07876000,0.02911000,0.05201000,0.03260000,0.07876000,0.02911000,0.05201000,7459943993.59999943,7459943993.59999943
2021-03-14,0.02401000,0.03749000,0.02277000,0.03254000,0.02401000,0.03749000,0.02277000,0.03254000,1511602945.69999981,1511602945.69999981
2021-03-07,0.02161000,0.02638000,0.01958000,0.02394000,0.02161000,0.02638000,0.01958000,0.02394000,1047264861.29999995,1047264861.29999995
2021-02-28,0.02410000,0.02948000,0.01518000,0.02168000,0.02410000,0.02948000,0.01518000,0.02168000,2198133584.40000010,2198133584.40000010
2021-02-21,0.02148000,0.02790000,0.01852000,0.02410000,0.02148000,0.02790000,0.01852000,0.02410000,816786428.39999998,816786428.39999998
2021-02-14,0.01349000,0.02525000,0.01331000,0.02147000,0.01349000,0.02525000,0.01331000,0.02147000,1716778604.10000014,1716778604.10000014
2021-02-07,0.01258000,0.01699000,0.01152000,0.01349000,0.01258000,0.01699000,0.01152000,0.01349000,1489134599.40000010,1489134599.40000010
2021-01-31,0.01067000,0.02555000,0.00832000,0.01258000,0.01067000,0.02555000,0.00832000,0.01258000,3018180159.40000010,3018180159.40000010
2021-01-24,0.00950000,0.01180000,0.00866000,0.01067000,0.00950000,0.01180000,0.00866000,0.01067000,1082546629.70000005,1082546629.70000005
2021-01-17,0.00991000,0.00998000,0.00763000,0.00948000,0.00991000,0.00998000,0.00763000,0.00948000,735893327.50000012,735893327.50000012
2021-01-10,0.00985000,0.01185000,0.00836000,0.00989000,0.00985000,0.01185000,0.00836000,0.00989000,1454895310.80000019,1454895310.80000019
2021-01-03,0.01766000,0.01978000,0.00950000,0.00982000,0.01766000,0.01978000,0.00950000,0.00982000,3676633321.49999952,3676633321.49999952
2020-12-27,0.00819000,0.01823000,0.00600000,0.01775000,0.00819000,0.01823000,0.00600000,0.01775000,3295689954.70000029,3295689954.70000029
2020-12-20,0.00516000,0.01092000,0.00514000,0.00816000,0.00516000,0.01092000,0.00514000,0.00816000,858747327.39999998,858747327.39999998
2020-12-13,0.00560000,0.00565000,0.00480000,0.00516000,0.00560000,0.00565000,0.00480000,0.00516000,303626623.30000001,303626623.30000001
2020-12-06,0.00609000,0.00625000,0.00545000,0.00561000,0.00609000,0.00625000,0.00545000,0.00561000,136450313.00000000,136450313.00000000
2020-11-29,0.00535000,0.00699000,0.00515000,0.00614000,0.00535000,0.00699000,0.00515000,0.00614000,305310251.09999996,305310251.09999996
2020-11-22,0.00490000,0.00590000,0.00456000,0.00532000,0.00490000,0.00590000,0.00456000,0.00532000,256884292.59999999,256884292.59999999
2020-11-15,0.00521000,0.00571000,0.00460000,0.00489000,0.00521000,0.00571000,0.00460000,0.00489000,180912446.30000001,180912446.30000001
2020-11-08,0.00440000,0.00544000,0.00388000,0.00521000,0.00440000,0.00544000,0.00388000,0.00521000,164615623.60000002,164615623.60000002
2020-11-01,0.00514000,0.00519000,0.00397000,0.00439000,0.00514000,0.00519000,0.00397000,0.00439000,103838132.19999999,103838132.19999999
