timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,694.00000000,701.00000000,693.00000000,699.00000000,694.00000000,701.00000000,693.00000000,699.00000000,299.33120000,299.33120000
2023-05-07,693.00000000,734.00000000,675.00000000,694.00000000,693.00000000,734.00000000,675.00000000,694.00000000,31737.40070000,31737.40070000
2023-04-30,689.00000000,724.00000000,654.00000000,693.00000000,689.00000000,724.00000000,654.00000000,693.00000000,31463.40460000,31463.40460000
2023-04-23,801.00000000,820.00000000,669.00000000,690.00000000,801.00000000,820.00000000,669.00000000,690.00000000,65902.45920000,65902.45920000
2023-04-16,705.00000000,803.00000000,691.00000000,801.00000000,705.00000000,803.00000000,691.00000000,801.00000000,88544.18980000,88544.18980000
2023-04-09,674.00000000,735.00000000,654.00000000,706.00000000,674.00000000,735.00000000,654.00000000,706.00000000,88283.30080000,88283.30080000
2023-04-02,670.00000000,706.00000000,628.00000000,673.00000000,670.00000000,706.00000000,628.00000000,673.00000000,86454.08620000,86454.08620000
2023-03-26,687.00000000,716.00000000,642.00000000,669.00000000,687.00000000,716.00000000,642.00000000,669.00000000,106045.68740000,106045.68740000
2023-03-19,895.00000000,979.00000000,670.00000000,687.00000000,895.00000000,979.00000000,670.00000000,687.00000000,268412.94820000,268412.94820000
2023-03-12,947.00000000,964.00000000,595.00000000,896.00000000,947.00000000,964.00000000,595.00000000,896.00000000,214440.87540000,214440.87540000
2023-03-05,775.00000000,980.00000000,761.00000000,948.00000000,775.00000000,980.00000000,761.00000000,948.00000000,115406.97580000,115406.97580000
2023-02-26,736.00000000,794.00000000,679.00000000,775.00000000,736.00000000,794.00000000,679.00000000,775.00000000,39228.40780000,39228.40780000
2023-02-19,685.00000000,798.00000000,654.00000000,737.00000000,685.00000000,798.00000000,654.00000000,737.00000000,69310.11190000,69310.11190000
2023-02-12,694.00000000,819.00000000,673.00000000,685.00000000,694.00000000,819.00000000,673.00000000,685.00000000,47040.96230000,47040.96230000
2023-02-05,676.00000000,724.00000000,614.00000000,694.00000000,676.00000000,724.00000000,614.00000000,694.00000000,29333.11270000,29333.11270000
2023-01-29,709.00000000,728.00000000,633.00000000,675.00000000,709.00000000,728.00000000,633.00000000,675.00000000,25398.57860000,25398.57860000
2023-01-22,699.00000000,738.00000000,630.00000000,710.00000000,699.00000000,738.00000000,630.00000000,710.00000000,29179.86720000,29179.86720000
2023-01-15,593.00000000,746.00000000,587.00000000,700.00000000,593.00000000,746.00000000,587.00000000,700.00000000,38439.34680000,38439.34680000
2023-01-08,514.00000000,596.00000000,502.00000000,593.00000000,514.00000000,596.00000000,502.00000000,593.00000000,26328.89870000,26328.89870000
2023-01-01,540.00000000,551.00000000,503.00000000,514.00000000,540.00000000,551.00000000,503.00000000,514.00000000,12004.66520000,12004.66520000
2022-12-25,554.00000000,560.00000000,523.00000000,539.00000000,554.00000000,560.00000000,523.00000000,539.00000000,7497.02190000,7497.02190000
2022-12-18,601.00000000,615.00000000,530.00000000,553.00000000,601.00000000,615.00000000,530.00000000,553.00000000,20013.11750000,20013.11750000
2022-12-11,649.00000000,658.00000000,598.00000000,601.00000000,649.00000000,658.00000000,598.00000000,601.00000000,15702.76160000,15702.76160000
2022-12-04,639.00000000,669.00000000,616.00000000,649.00000000,639.00000000,669.00000000,616.00000000,649.00000000,21590.49930000,21590.49930000
2022-11-27,658.00000000,676.00000000,613.00000000,640.00000000,658.00000000,676.00000000,613.00000000,640.00000000,16628.36410000,16628.36410000
2022-11-20,674.00000000,724.00000000,645.00000000,657.00000000,674.00000000,724.00000000,645.00000000,657.00000000,25578.33430000,25578.33430000
2022-11-13,845.00000000,900.00000000,622.00000000,674.00000000,845.00000000,900.00000000,622.00000000,674.00000000,52949.14200000,52949.14200000
2022-11-06,910.00000000,925.00000000,823.00000000,846.00000000,910.00000000,925.00000000,823.00000000,846.00000000,16224.95860000,16224.95860000
2022-10-30,978.00000000,985.00000000,873.00000000,910.00000000,978.00000000,985.00000000,873.00000000,910.00000000,23640.11540000,23640.11540000
2022-10-23,1000.00000000,1150.00000000,928.00000000,979.00000000,1000.00000000,1150.00000000,928.00000000,979.00000000,32408.23430000,32408.23430000
2022-10-16,972.00000000,1075.00000000,882.00000000,1001.00000000,972.00000000,1075.00000000,882.00000000,1001.00000000,48573.31680000,48573.31680000
2022-10-09,756.00000000,1170.00000000,748.00000000,972.00000000,756.00000000,1170.00000000,748.00000000,972.00000000,34601.64330000,34601.64330000
2022-10-02,709.00000000,779.00000000,674.00000000,755.00000000,709.00000000,779.00000000,674.00000000,755.00000000,23173.22620000,23173.22620000
2022-09-25,633.00000000,715.00000000,581.00000000,708.00000000,633.00000000,715.00000000,581.00000000,708.00000000,19962.09140000,19962.09140000
2022-09-18,753.00000000,767.00000000,605.00000000,632.00000000,753.00000000,767.00000000,605.00000000,632.00000000,17828.05780000,17828.05780000
2022-09-11,753.00000000,795.00000000,686.00000000,755.00000000,753.00000000,795.00000000,686.00000000,755.00000000,25709.50670000,25709.50670000
2022-09-04,737.00000000,838.00000000,728.00000000,753.00000000,737.00000000,838.00000000,728.00000000,753.00000000,22127.04510000,22127.04510000
2022-08-28,838.00000000,897.00000000,732.00000000,737.00000000,838.00000000,897.00000000,732.00000000,737.00000000,25936.80010000,25936.80010000
2022-08-21,1023.00000000,1050.00000000,798.00000000,838.00000000,1023.00000000,1050.00000000,798.00000000,838.00000000,26142.31050000,26142.31050000
2022-08-14,1127.00000000,1299.00000000,994.00000000,1023.00000000,1127.00000000,1299.00000000,994.00000000,1023.00000000,33593.93130000,33593.93130000
