timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-01-24,2.21700000,2.25900000,2.14800000,2.22400000,2.21700000,2.25900000,2.14800000,2.22400000,156656.60000000,156656.60000000
2022-01-23,3.12400000,3.14000000,1.85900000,2.21900000,3.12400000,3.14000000,1.85900000,2.21900000,7751070.56000000,7751070.56000000
2022-01-16,3.00500000,3.29800000,2.76600000,3.12100000,3.00500000,3.29800000,2.76600000,3.12100000,4586683.78000000,4586683.78000000
2022-01-09,3.56900000,3.95000000,2.92000000,3.00000000,3.56900000,3.95000000,2.92000000,3.00000000,5187723.50000000,5187723.50000000
2022-01-02,3.85900000,4.10000000,3.36400000,3.57000000,3.85900000,4.10000000,3.36400000,3.57000000,4631687.60000000,4631687.60000000
2021-12-26,3.33800000,3.95000000,3.14400000,3.85900000,3.33800000,3.95000000,3.14400000,3.85900000,5322163.30000000,5322163.30000000
2021-12-19,3.92500000,3.93700000,3.15000000,3.34400000,3.92500000,3.93700000,3.15000000,3.34400000,5554670.68000000,5554670.68000000
2021-12-12,4.03300000,4.29900000,3.54400000,3.92800000,4.03300000,4.29900000,3.54400000,3.92800000,7698598.90000000,7698598.90000000
2021-12-05,4.82500000,5.24800000,3.65700000,4.03900000,4.82500000,5.24800000,3.65700000,4.03900000,7386193.51000000,7386193.51000000
2021-11-28,5.39700000,5.50500000,4.50000000,4.82000000,5.39700000,5.50500000,4.50000000,4.82000000,6144343.50000000,6144343.50000000
2021-11-21,5.81300000,6.64000000,5.20100000,5.39100000,5.81300000,6.64000000,5.20100000,5.39100000,15458513.30000000,15458513.30000000
2021-11-14,5.68200000,6.10000000,5.39800000,5.80100000,5.68200000,6.10000000,5.39800000,5.80100000,8035119.90000000,8035119.90000000
2021-11-07,6.23200000,6.40000000,5.50000000,5.68500000,6.23200000,6.40000000,5.50000000,5.68500000,6865397.10000000,6865397.10000000
2021-10-31,5.33300000,7.50000000,4.95400000,6.23300000,5.33300000,7.50000000,4.95400000,6.23300000,21141215.40000000,21141215.40000000
2021-10-24,5.39900000,5.71000000,5.10000000,5.33700000,5.39900000,5.71000000,5.10000000,5.33700000,5147381.30000000,5147381.30000000
2021-10-17,5.25000000,5.76000000,4.86900000,5.39100000,5.25000000,5.76000000,4.86900000,5.39100000,5701811.10000000,5701811.10000000
2021-10-10,5.71100000,5.85000000,5.04000000,5.25700000,5.71100000,5.85000000,5.04000000,5.25700000,8289912.10000000,8289912.10000000
2021-10-03,4.52300000,6.27400000,4.11600000,5.70700000,4.52300000,6.27400000,4.11600000,5.70700000,11272097.77000000,11272097.77000000
2021-09-26,5.49200000,5.52100000,4.17600000,4.53000000,5.49200000,5.52100000,4.17600000,4.53000000,13569820.58000000,13569820.58000000
2021-09-19,5.77300000,5.99900000,5.17000000,5.49200000,5.77300000,5.99900000,5.17000000,5.49200000,6171586.70000000,6171586.70000000
2021-09-12,7.24700000,7.64600000,5.07800000,5.77800000,7.24700000,7.64600000,5.07800000,5.77800000,12896000.04000000,12896000.04000000
2021-09-05,6.68600000,7.29300000,6.26400000,7.24900000,6.68600000,7.29300000,6.26400000,7.24900000,11722788.62000000,11722788.62000000
2021-08-29,7.19700000,7.70000000,6.14410000,6.67800000,7.19700000,7.70000000,6.14410000,6.67800000,12462021.78000000,12462021.78000000
2021-08-22,6.37500000,7.86980000,5.55240000,7.19920000,6.37500000,7.86980000,5.55240000,7.19920000,16108752.55000000,16108752.55000000
2021-08-15,4.90880000,7.16470000,4.70990000,6.37500000,4.90880000,7.16470000,4.70990000,6.37500000,17648633.45000000,17648633.45000000
2021-08-08,4.33460000,5.55000000,4.17480000,4.90910000,4.33460000,5.55000000,4.17480000,4.90910000,18576000.39000000,18576000.39000000
2021-08-01,3.92280000,4.64900000,3.86750000,4.32990000,3.92280000,4.64900000,3.86750000,4.32990000,14836569.56000000,14836569.56000000
2021-07-25,3.77990000,4.06710000,3.10000000,3.91660000,3.77990000,4.06710000,3.10000000,3.91660000,8221953.27000000,8221953.27000000
2021-07-18,4.77440000,4.94000000,3.67840000,3.78700000,4.77440000,4.94000000,3.67840000,3.78700000,7995470.18000000,7995470.18000000
2021-07-11,4.92990000,5.08000000,4.19140000,4.77440000,4.92990000,5.08000000,4.19140000,4.77440000,7617066.42000000,7617066.42000000
