timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00286000,0.00287000,0.00286000,0.00286000,0.00286000,0.00287000,0.00286000,0.00286000,19325.00000000,19325.00000000
2023-05-07,0.00287000,0.00297000,0.00285000,0.00286000,0.00287000,0.00297000,0.00285000,0.00286000,8891886.00000000,8891886.00000000
2023-04-30,0.00286000,0.00312000,0.00285000,0.00287000,0.00286000,0.00312000,0.00285000,0.00287000,10247836.00000000,10247836.00000000
2023-04-23,0.00288000,0.00319000,0.00274000,0.00286000,0.00288000,0.00319000,0.00274000,0.00286000,10713553.00000000,10713553.00000000
2023-04-16,0.00289000,0.00300000,0.00285000,0.00288000,0.00289000,0.00300000,0.00285000,0.00288000,9523409.00000000,9523409.00000000
2023-04-09,0.00285000,0.00400000,0.00281000,0.00292000,0.00285000,0.00400000,0.00281000,0.00292000,10398332.00000000,10398332.00000000
2023-04-02,0.00315000,0.00316000,0.00277000,0.00290000,0.00315000,0.00316000,0.00277000,0.00290000,13897804.00000000,13897804.00000000
2023-03-26,0.00332000,0.00350000,0.00303000,0.00312000,0.00332000,0.00350000,0.00303000,0.00312000,17078911.00000000,17078911.00000000
2023-03-19,0.00333000,0.00400000,0.00312000,0.00336000,0.00333000,0.00400000,0.00312000,0.00336000,19222020.00000000,19222020.00000000
2023-03-12,0.00402000,0.00416000,0.00320000,0.00329000,0.00402000,0.00416000,0.00320000,0.00329000,48120143.00000000,48120143.00000000
2023-03-05,0.00444000,0.00590000,0.00327000,0.00406000,0.00444000,0.00590000,0.00327000,0.00406000,418913552.00000000,418913552.00000000
2023-02-26,0.00381000,0.00499000,0.00380000,0.00437000,0.00381000,0.00499000,0.00380000,0.00437000,39679347.00000000,39679347.00000000
2023-02-19,0.00397000,0.00429000,0.00350000,0.00381000,0.00397000,0.00429000,0.00350000,0.00381000,22033381.00000000,22033381.00000000
2023-02-12,0.00430000,0.00435000,0.00370000,0.00407000,0.00430000,0.00435000,0.00370000,0.00407000,23576090.00000000,23576090.00000000
2023-02-05,0.00450000,0.00470000,0.00427000,0.00430000,0.00450000,0.00470000,0.00427000,0.00430000,23483194.00000000,23483194.00000000
2023-01-29,0.00454000,0.00500000,0.00412000,0.00448000,0.00454000,0.00500000,0.00412000,0.00448000,24155654.00000000,24155654.00000000
2023-01-22,0.00479000,0.00500000,0.00411000,0.00454000,0.00479000,0.00500000,0.00411000,0.00454000,12107841.00000000,12107841.00000000
2023-01-15,0.00485000,0.00514000,0.00452000,0.00471000,0.00485000,0.00514000,0.00452000,0.00471000,952225.00000000,952225.00000000
2023-01-08,0.00473000,0.00479000,0.00440000,0.00473000,0.00473000,0.00479000,0.00440000,0.00473000,554510.00000000,554510.00000000
2023-01-01,0.00446000,0.00497000,0.00419000,0.00454000,0.00446000,0.00497000,0.00419000,0.00454000,2635590.00000000,2635590.00000000
2022-12-25,0.00459000,0.00590000,0.00443000,0.00450000,0.00459000,0.00590000,0.00443000,0.00450000,9988307.00000000,9988307.00000000
2022-12-18,0.00534000,0.00539000,0.00450000,0.00461000,0.00534000,0.00539000,0.00450000,0.00461000,8275336.00000000,8275336.00000000
2022-12-11,0.00453000,0.00700000,0.00350000,0.00540000,0.00453000,0.00700000,0.00350000,0.00540000,8001393.00000000,8001393.00000000
2022-12-04,0.00459000,0.00467000,0.00424000,0.00444000,0.00459000,0.00467000,0.00424000,0.00444000,19757940.00000000,19757940.00000000
2022-11-27,0.00465000,0.00485000,0.00441000,0.00465000,0.00465000,0.00485000,0.00441000,0.00465000,22660818.00000000,22660818.00000000
2022-11-20,0.00493000,0.00594000,0.00454000,0.00471000,0.00493000,0.00594000,0.00454000,0.00471000,7637945.00000000,7637945.00000000
2022-11-13,0.00522000,0.00603000,0.00389000,0.00493000,0.00522000,0.00603000,0.00389000,0.00493000,7049841.00000000,7049841.00000000
2022-11-06,0.00559000,0.00565000,0.00498000,0.00529000,0.00559000,0.00565000,0.00498000,0.00529000,4606220.00000000,4606220.00000000
2022-10-30,0.00594000,0.00616000,0.00538000,0.00563000,0.00594000,0.00616000,0.00538000,0.00563000,2917753.00000000,2917753.00000000
2022-10-23,0.00606000,0.00640000,0.00583000,0.00592000,0.00606000,0.00640000,0.00583000,0.00592000,3062621.00000000,3062621.00000000
2022-10-16,0.00656000,0.00665000,0.00569000,0.00599000,0.00656000,0.00665000,0.00569000,0.00599000,5187130.00000000,5187130.00000000
2022-10-09,0.00672000,0.00696000,0.00642000,0.00654000,0.00672000,0.00696000,0.00642000,0.00654000,1917279.00000000,1917279.00000000
2022-10-02,0.00673000,0.00794000,0.00630000,0.00677000,0.00673000,0.00794000,0.00630000,0.00677000,4030710.00000000,4030710.00000000
2022-09-25,0.00752000,0.00755000,0.00659000,0.00673000,0.00752000,0.00755000,0.00659000,0.00673000,4488175.00000000,4488175.00000000
