timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-04-18,0.49500000,0.52600000,0.35200000,0.35500000,0.49500000,0.52600000,0.35200000,0.35500000,15474407.10000000,15474407.10000000
2023-04-16,0.94800000,1.06600000,0.32500000,0.49400000,0.94800000,1.06600000,0.32500000,0.49400000,205216754.69999999,205216754.69999999
2023-04-09,0.95300000,1.47000000,0.91300000,0.94900000,0.95300000,1.47000000,0.91300000,0.94900000,41386282.40000000,41386282.40000000
2023-04-02,1.02700000,1.04300000,0.90600000,0.95200000,1.02700000,1.04300000,0.90600000,0.95200000,6942065.00000000,6942065.00000000
2023-03-26,1.32500000,1.33500000,0.99400000,1.03000000,1.32500000,1.33500000,0.99400000,1.03000000,15547897.80000000,15547897.80000000
2023-03-19,1.25200000,1.39100000,1.18800000,1.32300000,1.25200000,1.39100000,1.18800000,1.32300000,3206921.60000000,3206921.60000000
2023-03-12,1.38300000,1.39500000,1.07700000,1.24500000,1.38300000,1.39500000,1.07700000,1.24500000,2565717.90000000,2565717.90000000
2023-03-05,1.65900000,1.67600000,1.29400000,1.38300000,1.65900000,1.67600000,1.29400000,1.38300000,4300703.70000000,4300703.70000000
2023-02-26,1.71000000,2.00000000,1.61100000,1.66100000,1.71000000,2.00000000,1.61100000,1.66100000,6437245.80000000,6437245.80000000
2023-02-19,1.56300000,1.84400000,1.45600000,1.70700000,1.56300000,1.84400000,1.45600000,1.70700000,4638928.10000000,4638928.10000000
2023-02-12,1.67300000,2.05600000,1.53900000,1.56400000,1.67300000,2.05600000,1.53900000,1.56400000,5409957.60000000,5409957.60000000
2023-02-05,1.72200000,1.81700000,1.53400000,1.67000000,1.72200000,1.81700000,1.53400000,1.67000000,3237593.40000000,3237593.40000000
2023-01-29,1.83700000,1.83800000,1.48600000,1.72900000,1.83700000,1.83800000,1.48600000,1.72900000,5674936.00000000,5674936.00000000
2023-01-22,1.55900000,2.27400000,1.39100000,1.83800000,1.55900000,2.27400000,1.39100000,1.83800000,6392731.40000000,6392731.40000000
2023-01-15,1.32900000,1.66000000,1.31400000,1.56200000,1.32900000,1.66000000,1.31400000,1.56200000,6780629.40000000,6780629.40000000
2023-01-08,1.30400000,1.39800000,1.24900000,1.32400000,1.30400000,1.39800000,1.24900000,1.32400000,1674777.40000000,1674777.40000000
2023-01-01,1.34800000,1.65000000,1.21700000,1.30100000,1.34800000,1.65000000,1.21700000,1.30100000,4044522.20000000,4044522.20000000
2022-12-25,1.39400000,1.66700000,1.29200000,1.34600000,1.39400000,1.66700000,1.29200000,1.34600000,2897911.90000000,2897911.90000000
2022-12-18,1.68400000,1.78900000,1.33300000,1.39100000,1.68400000,1.78900000,1.33300000,1.39100000,2808465.30000000,2808465.30000000
2022-12-11,2.08800000,2.12800000,1.68000000,1.69000000,2.08800000,2.12800000,1.68000000,1.69000000,2789896.20000000,2789896.20000000
2022-12-04,2.01600000,2.71100000,1.93600000,2.08900000,2.01600000,2.71100000,1.93600000,2.08900000,8303404.90000000,8303404.90000000
2022-11-27,1.32100000,2.35900000,1.27100000,2.01500000,1.32100000,2.35900000,1.27100000,2.01500000,17458938.60000000,17458938.60000000
2022-11-20,1.22900000,3.92700000,1.13400000,1.31700000,1.22900000,3.92700000,1.13400000,1.31700000,21014717.80000000,21014717.80000000
2022-11-13,2.02500000,2.04300000,0.94800000,1.22400000,2.02500000,2.04300000,0.94800000,1.22400000,10672308.70000000,10672308.70000000
2022-11-06,2.17400000,2.20000000,1.92400000,2.01800000,2.17400000,2.20000000,1.92400000,2.01800000,3089885.40000000,3089885.40000000
2022-10-30,2.16700000,2.46000000,1.85800000,2.17200000,2.16700000,2.46000000,1.85800000,2.17200000,5611574.30000000,5611574.30000000
2022-10-23,3.14500000,3.22600000,2.04500000,2.15800000,3.14500000,3.22600000,2.04500000,2.15800000,2686633.10000000,2686633.10000000
