timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,9.87000000,9.93000000,9.83000000,9.92000000,9.87000000,9.93000000,9.83000000,9.92000000,13818.25000000,13818.25000000
2023-05-07,10.60000000,10.69000000,9.65000000,9.88000000,10.60000000,10.69000000,9.65000000,9.88000000,3225043.16000000,3225043.16000000
2023-04-30,11.27000000,11.43000000,10.10000000,10.60000000,11.27000000,11.43000000,10.10000000,10.60000000,4021015.24000000,4021015.24000000
2023-04-23,13.58000000,13.73000000,10.81000000,11.28000000,13.58000000,13.73000000,10.81000000,11.28000000,3242451.33000000,3242451.33000000
2023-04-16,12.21000000,14.20000000,11.94000000,13.58000000,12.21000000,14.20000000,11.94000000,13.58000000,4279473.27000000,4279473.27000000
2023-04-09,12.12000000,13.02000000,11.61000000,12.21000000,12.12000000,13.02000000,11.61000000,12.21000000,4097349.42000000,4097349.42000000
2023-04-02,12.31000000,13.29000000,11.86000000,12.11000000,12.31000000,13.29000000,11.86000000,12.11000000,4718572.33000000,4718572.33000000
2023-03-26,13.33000000,13.74000000,11.20000000,12.31000000,13.33000000,13.74000000,11.20000000,12.31000000,5780520.60000000,5780520.60000000
2023-03-19,10.30000000,13.58000000,10.10000000,13.33000000,10.30000000,13.58000000,10.10000000,13.33000000,9623919.09000000,9623919.09000000
2023-03-12,12.05000000,12.41000000,9.08000000,10.31000000,12.05000000,12.41000000,9.08000000,10.31000000,5406203.47000000,5406203.47000000
2023-03-05,12.44000000,13.86000000,11.00000000,12.06000000,12.44000000,13.86000000,11.00000000,12.06000000,8711996.34000000,8711996.34000000
2023-02-26,10.41000000,15.80000000,10.23000000,12.45000000,10.41000000,15.80000000,10.23000000,12.45000000,19439485.19000000,19439485.19000000
2023-02-19,8.59000000,11.26000000,8.08000000,10.42000000,8.59000000,11.26000000,8.08000000,10.42000000,5641862.67000000,5641862.67000000
2023-02-12,8.85000000,10.75000000,8.48000000,8.60000000,8.85000000,10.75000000,8.48000000,8.60000000,8700670.11000000,8700670.11000000
2023-02-05,8.39000000,9.40000000,7.85000000,8.86000000,8.39000000,9.40000000,7.85000000,8.86000000,5034713.40000000,5034713.40000000
2023-01-29,8.00000000,8.49000000,7.54000000,8.40000000,8.00000000,8.49000000,7.54000000,8.40000000,2785588.63000000,2785588.63000000
2023-01-22,7.73000000,8.21000000,7.09000000,8.00000000,7.73000000,8.21000000,7.09000000,8.00000000,2580615.67000000,2580615.67000000
2023-01-15,6.74000000,8.08000000,6.68000000,7.74000000,6.74000000,8.08000000,6.68000000,7.74000000,3008610.94000000,3008610.94000000
2023-01-08,6.39000000,6.79000000,6.30000000,6.74000000,6.39000000,6.79000000,6.30000000,6.74000000,1588343.11000000,1588343.11000000
2023-01-01,6.26000000,6.44000000,5.94000000,6.40000000,6.26000000,6.44000000,5.94000000,6.40000000,1566742.59000000,1566742.59000000
2022-12-25,6.74000000,6.81000000,6.13000000,6.26000000,6.74000000,6.81000000,6.13000000,6.26000000,1036590.94000000,1036590.94000000
2022-12-18,7.22000000,7.50000000,6.40000000,6.73000000,7.22000000,7.50000000,6.40000000,6.73000000,3689485.20000000,3689485.20000000
2022-12-11,6.91000000,7.41000000,6.71000000,7.23000000,6.91000000,7.41000000,6.71000000,7.23000000,2603994.17000000,2603994.17000000
2022-12-04,6.83000000,7.04000000,6.49000000,6.90000000,6.83000000,7.04000000,6.49000000,6.90000000,3134146.50000000,3134146.50000000
2022-11-27,6.47000000,7.08000000,6.23000000,6.84000000,6.47000000,7.08000000,6.23000000,6.84000000,2778721.91000000,2778721.91000000
2022-11-20,6.65000000,6.99000000,6.19000000,6.47000000,6.65000000,6.99000000,6.19000000,6.47000000,3068882.56000000,3068882.56000000
2022-11-13,8.56000000,8.83000000,6.00000000,6.65000000,8.56000000,8.83000000,6.00000000,6.65000000,6738181.98000000,6738181.98000000
2022-11-06,8.58000000,9.19000000,8.07000000,8.55000000,8.58000000,9.19000000,8.07000000,8.55000000,2481069.89000000,2481069.89000000
2022-10-30,8.54000000,8.98000000,8.14000000,8.59000000,8.54000000,8.98000000,8.14000000,8.59000000,2511399.84000000,2511399.84000000
2022-10-23,7.88000000,8.71000000,7.53000000,8.54000000,7.88000000,8.71000000,7.53000000,8.54000000,1981054.64000000,1981054.64000000
2022-10-16,8.52000000,8.63000000,7.31000000,7.88000000,8.52000000,8.63000000,7.31000000,7.88000000,1332933.10000000,1332933.10000000
2022-10-09,8.51000000,9.00000000,8.38000000,8.53000000,8.51000000,9.00000000,8.38000000,8.53000000,1568034.89000000,1568034.89000000
2022-10-02,8.27000000,9.65000000,8.08000000,8.51000000,8.27000000,9.65000000,8.08000000,8.51000000,3019413.55000000,3019413.55000000
2022-09-25,8.24000000,8.72000000,7.96000000,8.28000000,8.24000000,8.72000000,7.96000000,8.28000000,2702765.03000000,2702765.03000000
2022-09-18,9.81000000,10.26000000,8.13000000,8.24000000,9.81000000,10.26000000,8.13000000,8.24000000,3529531.62000000,3529531.62000000
2022-09-11,9.50000000,10.11000000,8.35000000,9.81000000,9.50000000,10.11000000,8.35000000,9.81000000,2995278.60000000,2995278.60000000
2022-09-04,8.88000000,9.59000000,8.76000000,9.50000000,8.88000000,9.59000000,8.76000000,9.50000000,2068290.34000000,2068290.34000000
2022-08-28,9.89000000,10.31000000,8.84000000,8.88000000,9.89000000,10.31000000,8.84000000,8.88000000,2369603.26000000,2369603.26000000
2022-08-21,11.52000000,11.88000000,9.31000000,9.89000000,11.52000000,11.88000000,9.31000000,9.89000000,2845150.31000000,2845150.31000000
2022-08-14,11.47000000,12.57000000,10.74000000,11.50000000,11.47000000,12.57000000,10.74000000,11.50000000,2762432.77000000,2762432.77000000
2022-08-07,10.98000000,11.95000000,10.50000000,11.46000000,10.98000000,11.95000000,10.50000000,11.46000000,3265393.20000000,3265393.20000000
2022-07-31,10.26000000,12.08000000,8.82000000,10.98000000,10.26000000,12.08000000,8.82000000,10.98000000,5767901.83000000,5767901.83000000
2022-07-24,9.33000000,11.38000000,9.28000000,10.26000000,9.33000000,11.38000000,9.28000000,10.26000000,5109128.45000000,5109128.45000000
2022-07-17,9.25000000,9.63000000,7.81000000,9.32000000,9.25000000,9.63000000,7.81000000,9.32000000,3013611.21000000,3013611.21000000
