timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-04-05,0.00713350,0.00734990,0.00700000,0.00703010,0.00713350,0.00734990,0.00700000,0.00703010,2686146813.00000000,2686146813.00000000
2021-04-04,0.00747490,0.00909190,0.00653680,0.00713800,0.00747490,0.00909190,0.00653680,0.00713800,146195981361.00000000,146195981361.00000000
2021-03-28,0.00736970,0.00870000,0.00581720,0.00747460,0.00736970,0.00870000,0.00581720,0.00747460,146072221051.00000000,146072221051.00000000
2021-03-21,0.00375500,0.00799000,0.00310000,0.00736980,0.00375500,0.00799000,0.00310000,0.00736980,177139671827.00000000,177139671827.00000000
2021-03-14,0.00204550,0.00448000,0.00194270,0.00375500,0.00204550,0.00448000,0.00194270,0.00375500,172112573743.00000000,172112573743.00000000
2021-03-07,0.00184360,0.00219830,0.00179540,0.00204550,0.00184360,0.00219830,0.00179540,0.00204550,46435790392.00000000,46435790392.00000000
2021-02-28,0.00242500,0.00340000,0.00165900,0.00184200,0.00242500,0.00340000,0.00165900,0.00184200,137273270497.00000000,137273270497.00000000
2021-02-21,0.00096820,0.00296570,0.00081500,0.00242540,0.00096820,0.00296570,0.00081500,0.00242540,179655002798.00000000,179655002798.00000000
2021-02-14,0.00053350,0.00135000,0.00048970,0.00096600,0.00053350,0.00135000,0.00048970,0.00096600,166080704103.00000000,166080704103.00000000
2021-02-07,0.00042860,0.00055000,0.00040500,0.00053350,0.00042860,0.00055000,0.00040500,0.00053350,48160100049.00000000,48160100049.00000000
2021-01-31,0.00047840,0.00055400,0.00038760,0.00042860,0.00047840,0.00055400,0.00038760,0.00042860,39840554484.00000000,39840554484.00000000
2021-01-24,0.00038080,0.00057000,0.00026470,0.00047990,0.00038080,0.00057000,0.00026470,0.00047990,49881218060.00000000,49881218060.00000000
2021-01-17,0.00053360,0.00053810,0.00034790,0.00038070,0.00053360,0.00053810,0.00034790,0.00038070,35735730357.00000000,35735730357.00000000
2021-01-10,0.00018480,0.00064030,0.00017000,0.00053360,0.00018480,0.00064030,0.00017000,0.00053360,135379304936.00000000,135379304936.00000000
2021-01-03,0.00018120,0.00021620,0.00016400,0.00018490,0.00018120,0.00021620,0.00016400,0.00018490,12636890658.00000000,12636890658.00000000
2020-12-27,0.00020760,0.00021770,0.00015460,0.00018120,0.00020760,0.00021770,0.00015460,0.00018120,10749273959.00000000,10749273959.00000000
2020-12-20,0.00019310,0.00021000,0.00018280,0.00020760,0.00019310,0.00021000,0.00018280,0.00020760,12061576073.00000000,12061576073.00000000
2020-12-13,0.00020040,0.00021090,0.00017570,0.00019310,0.00020040,0.00021090,0.00017570,0.00019310,5548532367.00000000,5548532367.00000000
2020-12-06,0.00018160,0.00021850,0.00018140,0.00020030,0.00018160,0.00021850,0.00018140,0.00020030,9077956040.00000000,9077956040.00000000
2020-11-29,0.00018720,0.00020960,0.00016110,0.00018160,0.00018720,0.00020960,0.00016110,0.00018160,10603492269.00000000,10603492269.00000000
2020-11-22,0.00016860,0.00019360,0.00016460,0.00018630,0.00016860,0.00019360,0.00016460,0.00018630,8164377761.00000000,8164377761.00000000
2020-11-15,0.00016690,0.00017520,0.00015830,0.00016780,0.00016690,0.00017520,0.00015830,0.00016780,4301645330.00000000,4301645330.00000000
2020-11-08,0.00015530,0.00017500,0.00014560,0.00016790,0.00015530,0.00017500,0.00014560,0.00016790,6230120415.00000000,6230120415.00000000
2020-11-01,0.00016170,0.00016290,0.00014770,0.00015490,0.00016170,0.00016290,0.00014770,0.00015490,3034219719.00000000,3034219719.00000000
2020-10-25,0.00016040,0.00017850,0.00015450,0.00016110,0.00016040,0.00017850,0.00015450,0.00016110,6268596828.00000000,6268596828.00000000
2020-10-18,0.00017610,0.00018560,0.00015380,0.00016040,0.00017610,0.00018560,0.00015380,0.00016040,4607817163.00000000,4607817163.00000000
2020-10-11,0.00013890,0.00021000,0.00012860,0.00017650,0.00013890,0.00021000,0.00012860,0.00017650,23620703803.00000000,23620703803.00000000
2020-10-04,0.00014320,0.00014940,0.00013380,0.00013890,0.00014320,0.00014940,0.00013380,0.00013890,3977892574.00000000,3977892574.00000000
2020-09-27,0.00014780,0.00014890,0.00013280,0.00014300,0.00014780,0.00014890,0.00013280,0.00014300,3746317666.00000000,3746317666.00000000
2020-09-20,0.00015330,0.00015750,0.00014330,0.00014810,0.00015330,0.00015750,0.00014330,0.00014810,3589957783.00000000,3589957783.00000000
2020-09-13,0.00014950,0.00016210,0.00014000,0.00015350,0.00014950,0.00016210,0.00014000,0.00015350,6158957390.00000000,6158957390.00000000
2020-09-06,0.00020430,0.00020560,0.00013580,0.00014950,0.00020430,0.00020560,0.00013580,0.00014950,14301017017.00000000,14301017017.00000000
2020-08-30,0.00020200,0.00021000,0.00018820,0.00020480,0.00020200,0.00021000,0.00018820,0.00020480,10342874686.00000000,10342874686.00000000
2020-08-23,0.00021540,0.00024380,0.00019840,0.00020200,0.00021540,0.00024380,0.00019840,0.00020200,16251411614.00000000,16251411614.00000000
2020-08-16,0.00021150,0.00023100,0.00020190,0.00021560,0.00021150,0.00023100,0.00020190,0.00021560,22611367529.00000000,22611367529.00000000
2020-08-09,0.00019910,0.00022510,0.00019590,0.00021140,0.00019910,0.00022510,0.00019590,0.00021140,28600718822.00000000,28600718822.00000000
2020-08-02,0.00021830,0.00021910,0.00018600,0.00019920,0.00021830,0.00021910,0.00018600,0.00019920,15219692560.00000000,15219692560.00000000
2020-07-26,0.00020240,0.00022650,0.00019000,0.00021810,0.00020240,0.00022650,0.00019000,0.00021810,19164906128.00000000,19164906128.00000000
2020-07-19,0.00023540,0.00023560,0.00019700,0.00020200,0.00023540,0.00023560,0.00019700,0.00020200,13536627307.00000000,13536627307.00000000
2020-07-12,0.00018410,0.00023980,0.00017430,0.00023540,0.00018410,0.00023980,0.00017430,0.00023540,32245461402.00000000,32245461402.00000000
2020-07-05,0.00013800,0.00023440,0.00013440,0.00018380,0.00013800,0.00023440,0.00013440,0.00018380,74110917135.00000000,74110917135.00000000
2020-06-28,0.00014920,0.00016030,0.00013240,0.00013750,0.00014920,0.00016030,0.00013240,0.00013750,6865293294.00000000,6865293294.00000000
2020-06-21,0.00014610,0.00015440,0.00013950,0.00014920,0.00014610,0.00015440,0.00013950,0.00014920,5245869324.00000000,5245869324.00000000
2020-06-14,0.00015170,0.00015430,0.00014030,0.00014650,0.00015170,0.00015430,0.00014030,0.00014650,7253776276.00000000,7253776276.00000000
