timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.22940000,0.23080000,0.22880000,0.23040000,0.22940000,0.23080000,0.22880000,0.23040000,51287.00000000,51287.00000000
2023-05-07,0.24270000,0.25430000,0.22840000,0.22930000,0.24270000,0.25430000,0.22840000,0.22930000,15681122.00000000,15681122.00000000
2023-04-30,0.24320000,0.25970000,0.23090000,0.24260000,0.24320000,0.25970000,0.23090000,0.24260000,14251930.00000000,14251930.00000000
2023-04-23,0.28850000,0.29730000,0.24000000,0.24310000,0.28850000,0.29730000,0.24000000,0.24310000,15271002.00000000,15271002.00000000
2023-04-16,0.28440000,0.29800000,0.26360000,0.28850000,0.28440000,0.29800000,0.26360000,0.28850000,22744596.00000000,22744596.00000000
2023-04-09,0.26930000,0.29130000,0.26260000,0.28460000,0.26930000,0.29130000,0.26260000,0.28460000,21318042.00000000,21318042.00000000
2023-04-02,0.27280000,0.29950000,0.25600000,0.26930000,0.27280000,0.29950000,0.25600000,0.26930000,25697365.00000000,25697365.00000000
2023-03-26,0.27500000,0.32800000,0.25940000,0.27280000,0.27500000,0.32800000,0.25940000,0.27280000,54515344.00000000,54515344.00000000
2023-03-19,0.25540000,0.29180000,0.24610000,0.27410000,0.25540000,0.29180000,0.24610000,0.27410000,24998962.00000000,24998962.00000000
2023-03-12,0.24830000,0.26100000,0.21660000,0.25530000,0.24830000,0.26100000,0.21660000,0.25530000,36710299.00000000,36710299.00000000
2023-03-05,0.28400000,0.28980000,0.24620000,0.24860000,0.28400000,0.28980000,0.24620000,0.24860000,16956968.00000000,16956968.00000000
2023-02-26,0.29650000,0.39200000,0.26940000,0.28400000,0.29650000,0.39200000,0.26940000,0.28400000,60073459.00000000,60073459.00000000
2023-02-19,0.27950000,0.31500000,0.26270000,0.29650000,0.27950000,0.31500000,0.26270000,0.29650000,45417101.00000000,45417101.00000000
2023-02-12,0.25910000,0.35000000,0.25190000,0.27920000,0.25910000,0.35000000,0.25190000,0.27920000,51666785.00000000,51666785.00000000
2023-02-05,0.25940000,0.27700000,0.23510000,0.25950000,0.25940000,0.27700000,0.23510000,0.25950000,23811604.00000000,23811604.00000000
2023-01-29,0.23120000,0.27180000,0.22750000,0.25940000,0.23120000,0.27180000,0.22750000,0.25940000,32350180.00000000,32350180.00000000
2023-01-22,0.21480000,0.24680000,0.20520000,0.23080000,0.21480000,0.24680000,0.20520000,0.23080000,29729842.00000000,29729842.00000000
2023-01-15,0.19560000,0.22270000,0.19320000,0.21480000,0.19560000,0.22270000,0.19320000,0.21480000,21786285.00000000,21786285.00000000
2023-01-08,0.18480000,0.19740000,0.18360000,0.19550000,0.18480000,0.19740000,0.18360000,0.19550000,6984595.00000000,6984595.00000000
2023-01-01,0.18810000,0.20200000,0.17870000,0.18510000,0.18810000,0.20200000,0.17870000,0.18510000,10890340.00000000,10890340.00000000
2022-12-25,0.18660000,0.20230000,0.18060000,0.18790000,0.18660000,0.20230000,0.18060000,0.18790000,15283320.00000000,15283320.00000000
2022-12-18,0.21920000,0.23490000,0.17950000,0.18630000,0.21920000,0.23490000,0.17950000,0.18630000,34266644.00000000,34266644.00000000
2022-12-11,0.19310000,0.28000000,0.18380000,0.21860000,0.19310000,0.28000000,0.18380000,0.21860000,130460330.00000000,130460330.00000000
2022-12-04,0.18300000,0.21110000,0.17670000,0.19310000,0.18300000,0.21110000,0.17670000,0.19310000,32363464.00000000,32363464.00000000
2022-11-27,0.17710000,0.19140000,0.16950000,0.18230000,0.17710000,0.19140000,0.16950000,0.18230000,12826336.00000000,12826336.00000000
2022-11-20,0.17150000,0.19340000,0.16260000,0.17720000,0.17150000,0.19340000,0.16260000,0.17720000,20193434.00000000,20193434.00000000
2022-11-13,0.23510000,0.24040000,0.15910000,0.17160000,0.23510000,0.24040000,0.15910000,0.17160000,50274907.00000000,50274907.00000000
2022-11-06,0.22610000,0.24920000,0.22000000,0.23510000,0.22610000,0.24920000,0.22000000,0.23510000,38289706.00000000,38289706.00000000
2022-10-30,0.23180000,0.38320000,0.22250000,0.22600000,0.23180000,0.38320000,0.22250000,0.22600000,268682295.00000000,268682295.00000000
2022-10-23,0.19950000,0.28470000,0.18610000,0.23200000,0.19950000,0.28470000,0.18610000,0.23200000,139948895.00000000,139948895.00000000
2022-10-16,0.19590000,0.21330000,0.17500000,0.19910000,0.19590000,0.21330000,0.17500000,0.19910000,23560630.00000000,23560630.00000000
2022-10-09,0.19050000,0.20560000,0.19000000,0.19580000,0.19050000,0.20560000,0.19000000,0.19580000,10289677.00000000,10289677.00000000
2022-10-02,0.18740000,0.23800000,0.18520000,0.19070000,0.18740000,0.23800000,0.18520000,0.19070000,34494283.00000000,34494283.00000000
2022-09-25,0.19780000,0.21240000,0.17800000,0.18750000,0.19780000,0.21240000,0.17800000,0.18750000,28045344.00000000,28045344.00000000
2022-09-18,0.22590000,0.23700000,0.19540000,0.19780000,0.22590000,0.23700000,0.19540000,0.19780000,42139151.00000000,42139151.00000000
2022-09-11,0.20600000,0.23370000,0.19210000,0.22600000,0.20600000,0.23370000,0.19210000,0.22600000,29920005.00000000,29920005.00000000
2022-09-04,0.19860000,0.21070000,0.19660000,0.20570000,0.19860000,0.21070000,0.19660000,0.20570000,17288781.00000000,17288781.00000000
2022-08-28,0.21880000,0.23700000,0.19590000,0.19820000,0.21880000,0.23700000,0.19590000,0.19820000,32228846.00000000,32228846.00000000
2022-08-21,0.24660000,0.28310000,0.20000000,0.21870000,0.24660000,0.28310000,0.20000000,0.21870000,94118731.00000000,94118731.00000000
2022-08-14,0.26850000,0.27600000,0.24450000,0.24660000,0.26850000,0.27600000,0.24450000,0.24660000,21076407.00000000,21076407.00000000
2022-08-07,0.24540000,0.27580000,0.23090000,0.26820000,0.24540000,0.27580000,0.23090000,0.26820000,50062806.00000000,50062806.00000000
2022-07-31,0.22650000,0.26360000,0.20560000,0.24410000,0.22650000,0.26360000,0.20560000,0.24410000,32727774.00000000,32727774.00000000
2022-07-24,0.23210000,0.24720000,0.21000000,0.22600000,0.23210000,0.24720000,0.21000000,0.22600000,28178564.00000000,28178564.00000000
2022-07-17,0.20390000,0.24850000,0.19030000,0.23180000,0.20390000,0.24850000,0.19030000,0.23180000,78166093.00000000,78166093.00000000
2022-07-10,0.17650000,0.27800000,0.17100000,0.20390000,0.17650000,0.27800000,0.17100000,0.20390000,147741581.00000000,147741581.00000000
2022-07-03,0.17390000,0.22050000,0.15760000,0.17670000,0.17390000,0.22050000,0.15760000,0.17670000,82907639.00000000,82907639.00000000
2022-06-26,0.16210000,0.19420000,0.15320000,0.17430000,0.16210000,0.19420000,0.15320000,0.17430000,38670722.00000000,38670722.00000000
2022-06-19,0.16260000,0.21620000,0.14660000,0.16220000,0.16260000,0.21620000,0.14660000,0.16220000,96250338.00000000,96250338.00000000
2022-06-12,0.21180000,0.24160000,0.16270000,0.16310000,0.21180000,0.24160000,0.16270000,0.16310000,42202479.00000000,42202479.00000000
2022-06-05,0.21770000,0.23840000,0.19770000,0.21210000,0.21770000,0.23840000,0.19770000,0.21210000,32405284.00000000,32405284.00000000
2022-05-29,0.22060000,0.23800000,0.19060000,0.21750000,0.22060000,0.23800000,0.19060000,0.21750000,39408908.00000000,39408908.00000000
