timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.99900000,1.00400000,0.99300000,0.99900000,0.99900000,1.00400000,0.99300000,0.99900000,91932.30000000,91932.30000000
2023-05-07,1.04600000,1.13300000,0.96800000,0.99900000,1.04600000,1.13300000,0.96800000,0.99900000,34138618.09999999,34138618.09999999
2023-04-30,1.19300000,1.29300000,0.99700000,1.04600000,1.19300000,1.29300000,0.99700000,1.04600000,51445694.00000000,51445694.00000000
2023-04-23,1.46300000,1.55600000,1.15100000,1.19400000,1.46300000,1.55600000,1.15100000,1.19400000,19482036.60000000,19482036.60000000
2023-04-16,1.45500000,1.59600000,1.38100000,1.46200000,1.45500000,1.59600000,1.38100000,1.46200000,30121093.09999999,30121093.09999999
2023-04-09,1.50200000,1.58300000,1.41900000,1.45500000,1.50200000,1.58300000,1.41900000,1.45500000,18920525.00000000,18920525.00000000
2023-04-02,1.86000000,1.94200000,1.47300000,1.50100000,1.86000000,1.94200000,1.47300000,1.50100000,36090791.40000000,36090791.40000000
2023-03-26,2.31800000,2.53900000,1.64000000,1.86000000,2.31800000,2.53900000,1.64000000,1.86000000,68328504.50000000,68328504.50000000
2023-03-19,1.35600000,2.50000000,1.31500000,2.31800000,1.35600000,2.50000000,1.31500000,2.31800000,47222733.20000000,47222733.20000000
2023-03-12,1.49300000,1.52000000,1.18600000,1.35600000,1.49300000,1.52000000,1.18600000,1.35600000,7064036.90000000,7064036.90000000
2023-03-05,1.71500000,1.89800000,1.48600000,1.49300000,1.71500000,1.89800000,1.48600000,1.49300000,7332245.20000000,7332245.20000000
2023-02-26,1.75400000,2.09200000,1.63300000,1.71400000,1.75400000,2.09200000,1.63300000,1.71400000,11201003.50000000,11201003.50000000
2023-02-19,1.51600000,1.82500000,1.40700000,1.75300000,1.51600000,1.82500000,1.40700000,1.75300000,9916536.10000000,9916536.10000000
2023-02-12,1.60600000,1.84700000,1.46100000,1.51600000,1.60600000,1.84700000,1.46100000,1.51600000,17013612.90000000,17013612.90000000
2023-02-05,1.52900000,1.79000000,1.33500000,1.60500000,1.52900000,1.79000000,1.33500000,1.60500000,14168207.50000000,14168207.50000000
2023-01-29,1.38600000,1.58300000,1.35100000,1.52900000,1.38600000,1.58300000,1.35100000,1.52900000,10684911.80000000,10684911.80000000
2023-01-22,1.31800000,1.41600000,1.17900000,1.38600000,1.31800000,1.41600000,1.17900000,1.38600000,11684032.30000000,11684032.30000000
2023-01-15,1.12600000,1.35800000,1.10700000,1.31800000,1.12600000,1.35800000,1.10700000,1.31800000,11386416.50000000,11386416.50000000
2023-01-08,1.04400000,1.14400000,1.02400000,1.12500000,1.04400000,1.14400000,1.02400000,1.12500000,5894465.70000000,5894465.70000000
2023-01-01,1.02500000,1.06200000,0.98000000,1.04300000,1.02500000,1.06200000,0.98000000,1.04300000,9482407.60000000,9482407.60000000
2022-12-25,1.01400000,1.02900000,0.94400000,1.02400000,1.01400000,1.02900000,0.94400000,1.02400000,2926575.40000000,2926575.40000000
2022-12-18,1.18500000,1.19800000,0.99200000,1.01300000,1.18500000,1.19800000,0.99200000,1.01300000,5729723.70000000,5729723.70000000
2022-12-11,1.20500000,1.23800000,1.13100000,1.18600000,1.20500000,1.23800000,1.13100000,1.18600000,8071479.10000000,8071479.10000000
2022-12-04,1.16600000,1.33000000,1.11400000,1.20500000,1.16600000,1.33000000,1.11400000,1.20500000,15598979.50000000,15598979.50000000
