timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.22250000,0.22370000,0.22110000,0.22280000,0.22250000,0.22370000,0.22110000,0.22280000,392681.00000000,392681.00000000
2023-05-07,0.23620000,0.23800000,0.22160000,0.22260000,0.23620000,0.23800000,0.22160000,0.22260000,49301191.00000000,49301191.00000000
2023-04-30,0.24180000,0.25340000,0.22270000,0.23620000,0.24180000,0.25340000,0.22270000,0.23620000,63810401.00000000,63810401.00000000
2023-04-23,0.30370000,0.31930000,0.23500000,0.24170000,0.30370000,0.31930000,0.23500000,0.24170000,143673007.00000000,143673007.00000000
2023-04-16,0.26180000,0.32130000,0.24110000,0.30370000,0.26180000,0.32130000,0.24110000,0.30370000,272715959.00000000,272715959.00000000
2023-04-09,0.23580000,0.35190000,0.22810000,0.26160000,0.23580000,0.35190000,0.22810000,0.26160000,676306791.00000000,676306791.00000000
2023-04-02,0.22980000,0.24980000,0.21190000,0.23570000,0.22980000,0.24980000,0.21190000,0.23570000,95998024.00000000,95998024.00000000
2023-03-26,0.24940000,0.25330000,0.21140000,0.22980000,0.24940000,0.25330000,0.21140000,0.22980000,106754458.00000000,106754458.00000000
2023-03-19,0.20540000,0.26440000,0.19800000,0.24940000,0.20540000,0.26440000,0.19800000,0.24940000,154396423.00000000,154396423.00000000
2023-03-12,0.22150000,0.23110000,0.17630000,0.20530000,0.22150000,0.23110000,0.17630000,0.20530000,94030615.00000000,94030615.00000000
2023-03-05,0.25510000,0.26590000,0.21600000,0.22160000,0.25510000,0.26590000,0.21600000,0.22160000,94228730.00000000,94228730.00000000
2023-02-26,0.25260000,0.31000000,0.24170000,0.25520000,0.25260000,0.31000000,0.24170000,0.25520000,203682535.00000000,203682535.00000000
2023-02-19,0.22430000,0.26220000,0.20330000,0.25270000,0.22430000,0.26220000,0.20330000,0.25270000,125671021.00000000,125671021.00000000
2023-02-12,0.23680000,0.26140000,0.20790000,0.22450000,0.23680000,0.26140000,0.20790000,0.22450000,129920429.00000000,129920429.00000000
2023-02-05,0.21950000,0.23740000,0.19820000,0.23680000,0.21950000,0.23740000,0.19820000,0.23680000,87844154.00000000,87844154.00000000
2023-01-29,0.20070000,0.22260000,0.19050000,0.21960000,0.20070000,0.22260000,0.19050000,0.21960000,74649219.00000000,74649219.00000000
2023-01-22,0.19700000,0.20990000,0.18540000,0.20030000,0.19700000,0.20990000,0.18540000,0.20030000,81553055.00000000,81553055.00000000
2023-01-15,0.16370000,0.20200000,0.16340000,0.19700000,0.16370000,0.20200000,0.16340000,0.19700000,76016702.00000000,76016702.00000000
2023-01-08,0.15350000,0.16420000,0.15070000,0.16380000,0.15350000,0.16420000,0.15070000,0.16380000,32485957.00000000,32485957.00000000
2023-01-01,0.15740000,0.15930000,0.14460000,0.15350000,0.15740000,0.15930000,0.14460000,0.15350000,33338569.00000000,33338569.00000000
2022-12-25,0.16310000,0.16540000,0.15180000,0.15770000,0.16310000,0.16540000,0.15180000,0.15770000,30870631.00000000,30870631.00000000
2022-12-18,0.18250000,0.20000000,0.15850000,0.16290000,0.18250000,0.20000000,0.15850000,0.16290000,58887836.00000000,58887836.00000000
2022-12-11,0.18750000,0.19240000,0.17430000,0.18270000,0.18750000,0.19240000,0.17430000,0.18270000,55501184.00000000,55501184.00000000
2022-12-04,0.17890000,0.19170000,0.17020000,0.18730000,0.17890000,0.19170000,0.17020000,0.18730000,50711253.00000000,50711253.00000000
2022-11-27,0.16560000,0.18710000,0.16100000,0.17890000,0.16560000,0.18710000,0.16100000,0.17890000,53773924.00000000,53773924.00000000
2022-11-20,0.16570000,0.18560000,0.15590000,0.16590000,0.16570000,0.18560000,0.15590000,0.16590000,48081869.00000000,48081869.00000000
2022-11-13,0.22610000,0.23640000,0.15730000,0.16580000,0.22610000,0.23640000,0.15730000,0.16580000,123988628.31000000,123988628.31000000
2022-11-06,0.22510000,0.25550000,0.21060000,0.22620000,0.22510000,0.25550000,0.21060000,0.22620000,69198036.00000000,69198036.00000000
2022-10-30,0.21440000,0.23380000,0.20840000,0.22520000,0.21440000,0.23380000,0.20840000,0.22520000,45559496.00000000,45559496.00000000
2022-10-23,0.20980000,0.21820000,0.19800000,0.21440000,0.20980000,0.21820000,0.19800000,0.21440000,34690243.00000000,34690243.00000000
2022-10-16,0.22540000,0.23220000,0.19360000,0.21000000,0.22540000,0.23220000,0.19360000,0.21000000,35428514.00000000,35428514.00000000
2022-10-09,0.21540000,0.23040000,0.21290000,0.22540000,0.21540000,0.23040000,0.21290000,0.22540000,25872797.00000000,25872797.00000000
2022-10-02,0.21650000,0.23270000,0.21020000,0.21540000,0.21650000,0.23270000,0.21020000,0.21540000,50428791.00000000,50428791.00000000
2022-09-25,0.21880000,0.23260000,0.20720000,0.21640000,0.21880000,0.23260000,0.20720000,0.21640000,57241447.00000000,57241447.00000000
2022-09-18,0.25280000,0.25970000,0.21350000,0.21910000,0.25280000,0.25970000,0.21350000,0.21910000,61022023.00000000,61022023.00000000
2022-09-11,0.24420000,0.25940000,0.21670000,0.25290000,0.24420000,0.25940000,0.21670000,0.25290000,64007171.00000000,64007171.00000000
2022-09-04,0.23340000,0.25210000,0.23000000,0.24400000,0.23340000,0.25210000,0.23000000,0.24400000,43561229.00000000,43561229.00000000
2022-08-28,0.25530000,0.26610000,0.23240000,0.23320000,0.25530000,0.26610000,0.23240000,0.23320000,53613751.00000000,53613751.00000000
2022-08-21,0.29180000,0.42000000,0.24110000,0.25520000,0.29180000,0.42000000,0.24110000,0.25520000,157826550.00000000,157826550.00000000
2022-08-14,0.28880000,0.32890000,0.26450000,0.29170000,0.28880000,0.32890000,0.26450000,0.29170000,72649048.00000000,72649048.00000000
2022-08-07,0.27210000,0.36000000,0.25950000,0.28900000,0.27210000,0.36000000,0.25950000,0.28900000,97194843.00000000,97194843.00000000
