timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.18490000,1.21130000,1.18300000,1.18800000,1.18490000,1.21130000,1.18300000,1.18800000,143920.60000000,143920.60000000
2023-05-07,0.91490000,1.37500000,0.85580000,1.18500000,0.91490000,1.37500000,0.85580000,1.18500000,89124352.19999999,89124352.19999999
2023-04-30,0.84480000,1.22500000,0.78000000,0.91450000,0.84480000,1.22500000,0.78000000,0.91450000,44953425.70000000,44953425.70000000
2023-04-23,0.95800000,1.00960000,0.83090000,0.84500000,0.95800000,1.00960000,0.83090000,0.84500000,4439846.10000000,4439846.10000000
2023-04-16,0.95600000,0.98800000,0.89300000,0.95800000,0.95600000,0.98800000,0.89300000,0.95800000,5355214.40000000,5355214.40000000
2023-04-09,0.91500000,1.05200000,0.87000000,0.95600000,0.91500000,1.05200000,0.87000000,0.95600000,9027964.10000000,9027964.10000000
2023-04-02,0.94000000,0.94000000,0.88100000,0.91500000,0.94000000,0.94000000,0.88100000,0.91500000,2979192.10000000,2979192.10000000
2023-03-26,0.93200000,0.96200000,0.85600000,0.94000000,0.93200000,0.96200000,0.85600000,0.94000000,3990790.80000000,3990790.80000000
2023-03-19,0.89100000,1.00500000,0.86500000,0.93200000,0.89100000,1.00500000,0.86500000,0.93200000,4613246.70000000,4613246.70000000
2023-03-12,1.01300000,1.04000000,0.79100000,0.89000000,1.01300000,1.04000000,0.79100000,0.89000000,3701729.10000000,3701729.10000000
2023-03-05,1.13200000,1.20300000,0.97000000,1.01400000,1.13200000,1.20300000,0.97000000,1.01400000,6359816.70000000,6359816.70000000
2023-02-26,1.15300000,1.34000000,1.02000000,1.13200000,1.15300000,1.34000000,1.02000000,1.13200000,11702633.60000000,11702633.60000000
2023-02-19,0.91000000,1.23500000,0.85800000,1.15500000,0.91000000,1.23500000,0.85800000,1.15500000,15525359.70000000,15525359.70000000
2023-02-12,0.97000000,1.05000000,0.89600000,0.90900000,0.97000000,1.05000000,0.89600000,0.90900000,4571584.70000000,4571584.70000000
2023-02-05,1.01400000,1.08800000,0.89800000,0.97200000,1.01400000,1.08800000,0.89800000,0.97200000,10153135.20000000,10153135.20000000
2023-01-29,0.90700000,1.03800000,0.90100000,1.01400000,0.90700000,1.03800000,0.90100000,1.01400000,6807533.30000000,6807533.30000000
2023-01-22,0.87100000,0.94400000,0.78200000,0.90800000,0.87100000,0.94400000,0.78200000,0.90800000,5204096.80000000,5204096.80000000
2023-01-15,0.78200000,0.90000000,0.78200000,0.87200000,0.78200000,0.90000000,0.78200000,0.87200000,4293183.60000000,4293183.60000000
2023-01-08,0.72300000,0.79200000,0.71600000,0.78200000,0.72300000,0.79200000,0.71600000,0.78200000,2701820.30000000,2701820.30000000
2023-01-01,0.76500000,0.78200000,0.71000000,0.72300000,0.76500000,0.78200000,0.71000000,0.72300000,1419543.70000000,1419543.70000000
2022-12-25,0.82300000,0.82900000,0.75100000,0.76700000,0.82300000,0.82900000,0.75100000,0.76700000,1683942.70000000,1683942.70000000
2022-12-18,0.91400000,0.92400000,0.78600000,0.82400000,0.91400000,0.92400000,0.78600000,0.82400000,3038833.10000000,3038833.10000000
2022-12-11,1.00800000,1.01800000,0.88400000,0.91500000,1.00800000,1.01800000,0.88400000,0.91500000,4075707.90000000,4075707.90000000
2022-12-04,0.89600000,1.39000000,0.85400000,1.00700000,0.89600000,1.39000000,0.85400000,1.00700000,20406524.60000000,20406524.60000000
2022-11-27,0.84000000,0.94200000,0.81400000,0.89500000,0.84000000,0.94200000,0.81400000,0.89500000,3969855.70000000,3969855.70000000
2022-11-20,0.96600000,0.99500000,0.84000000,0.84000000,0.96600000,0.99500000,0.84000000,0.84000000,4109011.00000000,4109011.00000000
2022-11-13,1.16100000,1.21400000,0.88600000,0.96700000,1.16100000,1.21400000,0.88600000,0.96700000,7928513.40000000,7928513.40000000
2022-11-06,1.09600000,1.55200000,1.08100000,1.16100000,1.09600000,1.55200000,1.08100000,1.16100000,20617994.30000000,20617994.30000000
2022-10-30,1.05300000,1.15200000,1.03500000,1.09500000,1.05300000,1.15200000,1.03500000,1.09500000,2652443.50000000,2652443.50000000
2022-10-23,1.15200000,1.25200000,1.01100000,1.05400000,1.15200000,1.25200000,1.01100000,1.05400000,6235244.80000000,6235244.80000000
2022-10-16,1.06500000,1.20000000,0.95500000,1.14700000,1.06500000,1.20000000,0.95500000,1.14700000,6041788.90000000,6041788.90000000
2022-10-09,1.06100000,1.25200000,1.05100000,1.06500000,1.06100000,1.25200000,1.05100000,1.06500000,3594236.00000000,3594236.00000000
2022-10-02,1.04400000,1.26300000,1.01300000,1.06300000,1.04400000,1.26300000,1.01300000,1.06300000,11245158.10000000,11245158.10000000
2022-09-25,1.04600000,1.13000000,1.00300000,1.04400000,1.04600000,1.13000000,1.00300000,1.04400000,3399402.40000000,3399402.40000000
2022-09-18,1.22500000,1.24000000,0.98400000,1.04600000,1.22500000,1.24000000,0.98400000,1.04600000,3348522.60000000,3348522.60000000
2022-09-11,1.14300000,1.26400000,1.10800000,1.22400000,1.14300000,1.26400000,1.10800000,1.22400000,4566185.70000000,4566185.70000000
2022-09-04,1.14300000,1.28600000,1.11200000,1.14200000,1.14300000,1.28600000,1.11200000,1.14200000,3584694.70000000,3584694.70000000
2022-08-28,1.24200000,1.45800000,1.12800000,1.14200000,1.24200000,1.45800000,1.12800000,1.14200000,5398544.80000000,5398544.80000000
2022-08-21,1.50100000,1.54100000,1.18200000,1.24200000,1.50100000,1.54100000,1.18200000,1.24200000,4034063.80000000,4034063.80000000
2022-08-14,1.51200000,1.74200000,1.39500000,1.50200000,1.51200000,1.74200000,1.39500000,1.50200000,8269728.20000000,8269728.20000000
2022-08-07,1.41300000,1.53000000,1.36800000,1.51100000,1.41300000,1.53000000,1.36800000,1.51100000,5542804.60000000,5542804.60000000
2022-07-31,1.65100000,1.75000000,1.25900000,1.41400000,1.65100000,1.75000000,1.25900000,1.41400000,17786562.50000000,17786562.50000000
2022-07-24,1.27800000,1.78200000,1.20200000,1.64900000,1.27800000,1.78200000,1.20200000,1.64900000,20183957.40000000,20183957.40000000
2022-07-17,1.17500000,1.67700000,1.03700000,1.27700000,1.17500000,1.67700000,1.03700000,1.27700000,16541399.60000000,16541399.60000000
2022-07-10,1.26200000,1.31000000,1.13700000,1.17400000,1.26200000,1.31000000,1.13700000,1.17400000,5486118.70000000,5486118.70000000
2022-07-03,1.28600000,1.45000000,1.17800000,1.26300000,1.28600000,1.45000000,1.17800000,1.26300000,4179333.90000000,4179333.90000000
2022-06-26,1.18400000,1.52300000,1.13600000,1.29200000,1.18400000,1.52300000,1.13600000,1.29200000,7307980.80000000,7307980.80000000
2022-06-19,1.33700000,1.44000000,1.02700000,1.18500000,1.33700000,1.44000000,1.02700000,1.18500000,7357860.90000000,7357860.90000000
2022-06-12,1.40900000,2.13900000,1.32700000,1.33700000,1.40900000,2.13900000,1.32700000,1.33700000,18039975.20000000,18039975.20000000
2022-06-05,1.42100000,1.62000000,1.34100000,1.40800000,1.42100000,1.62000000,1.34100000,1.40800000,5835572.80000000,5835572.80000000
2022-05-29,1.52200000,1.81200000,1.25600000,1.42100000,1.52200000,1.81200000,1.25600000,1.42100000,12253118.40000000,12253118.40000000
2022-05-22,1.51800000,1.60000000,1.30500000,1.52200000,1.51800000,1.60000000,1.30500000,1.52200000,5439103.40000000,5439103.40000000
2022-05-15,2.11700000,2.17200000,1.12000000,1.51800000,2.11700000,2.17200000,1.12000000,1.51800000,7580745.36900000,7580745.36900000
2022-05-08,2.51000000,2.87600000,2.09900000,2.11600000,2.51000000,2.87600000,2.09900000,2.11600000,5018704.42500000,5018704.42500000
2022-05-01,3.01300000,3.07500000,2.43900000,2.51200000,3.01300000,3.07500000,2.43900000,2.51200000,4789821.30000000,4789821.30000000
2022-04-24,3.31000000,3.85000000,2.91500000,3.01200000,3.31000000,3.85000000,2.91500000,3.01200000,7662191.70000000,7662191.70000000
2022-04-17,4.14900000,4.26600000,3.29100000,3.30900000,4.14900000,4.26600000,3.29100000,3.30900000,4418826.10000000,4418826.10000000
2022-04-10,4.31300000,4.80000000,3.34800000,4.14900000,4.31300000,4.80000000,3.34800000,4.14900000,19443555.60000000,19443555.60000000
2022-04-03,3.72200000,4.32000000,3.25000000,4.32000000,3.72200000,4.32000000,3.25000000,4.32000000,10150434.40000000,10150434.40000000
2022-03-27,3.28800000,3.73400000,3.20100000,3.72000000,3.28800000,3.73400000,3.20100000,3.72000000,3865423.40000000,3865423.40000000
2022-03-20,2.95200000,3.54700000,2.76400000,3.29100000,2.95200000,3.54700000,2.76400000,3.29100000,4963532.70000000,4963532.70000000
2022-03-13,3.69300000,3.78500000,2.88300000,2.95100000,3.69300000,3.78500000,2.88300000,2.95100000,5358121.30000000,5358121.30000000
2022-03-06,3.05000000,4.81500000,2.98900000,3.69300000,3.05000000,4.81500000,2.98900000,3.69300000,12479786.30000000,12479786.30000000
2022-02-27,3.43500000,3.56400000,2.71300000,3.05200000,3.43500000,3.56400000,2.71300000,3.05200000,2076039.07300000,2076039.07300000
2022-02-20,3.79500000,4.30000000,3.28400000,3.44100000,3.79500000,4.30000000,3.28400000,3.44100000,2294878.20000000,2294878.20000000
2022-02-13,4.10900000,4.35000000,3.71000000,3.79500000,4.10900000,4.35000000,3.71000000,3.79500000,2002659.40000000,2002659.40000000
2022-02-06,4.57300000,4.76900000,3.77400000,4.11400000,4.57300000,4.76900000,3.77400000,4.11400000,2763957.70000000,2763957.70000000
2022-01-30,3.55700000,5.00000000,3.06100000,4.57300000,3.55700000,5.00000000,3.06100000,4.57300000,4273857.90000000,4273857.90000000
2022-01-23,5.20100000,5.28700000,3.10600000,3.55700000,5.20100000,5.28700000,3.10600000,3.55700000,4076929.80000000,4076929.80000000
2022-01-16,4.94600000,5.42700000,4.41600000,5.18400000,4.94600000,5.42700000,4.41600000,5.18400000,2682576.30000000,2682576.30000000
2022-01-09,6.05100000,6.23000000,4.64600000,4.94900000,6.05100000,6.23000000,4.64600000,4.94900000,2720919.20000000,2720919.20000000
2022-01-02,5.94800000,7.35100000,5.12000000,6.05200000,5.94800000,7.35100000,5.12000000,6.05200000,6862467.10000000,6862467.10000000
2021-12-26,5.31000000,6.45000000,4.67200000,5.94600000,5.31000000,6.45000000,4.67200000,5.94600000,3982195.90000000,3982195.90000000
2021-12-19,5.68500000,6.09800000,4.78500000,5.31000000,5.68500000,6.09800000,4.78500000,5.31000000,4534693.83200000,4534693.83200000
2021-12-12,5.99200000,6.36400000,5.20100000,5.68500000,5.99200000,6.36400000,5.20100000,5.68500000,3836851.50000000,3836851.50000000
2021-12-05,7.44600000,8.96900000,5.88900000,5.98900000,7.44600000,8.96900000,5.88900000,5.98900000,5591722.14000000,5591722.14000000
2021-11-28,7.77700000,8.38400000,6.87400000,7.44600000,7.77700000,8.38400000,6.87400000,7.44600000,5564927.30000000,5564927.30000000
2021-11-21,8.31700000,8.60000000,6.56000000,7.78000000,8.31700000,8.60000000,6.56000000,7.78000000,6107289.99200000,6107289.99200000
2021-11-14,8.78700000,9.59000000,7.78800000,8.30600000,8.78700000,9.59000000,7.78800000,8.30600000,6055782.00000000,6055782.00000000
2021-11-07,7.79900000,8.95000000,7.36900000,8.77300000,7.79900000,8.95000000,7.36900000,8.77300000,5382391.20000000,5382391.20000000
2021-10-31,7.92400000,8.30400000,7.21000000,7.79400000,7.92400000,8.30400000,7.21000000,7.79400000,4150664.80000000,4150664.80000000
2021-10-24,8.00300000,8.50000000,7.62100000,7.92000000,8.00300000,8.50000000,7.62100000,7.92000000,3741837.00000000,3741837.00000000
2021-10-17,7.64500000,9.11000000,7.05100000,8.00300000,7.64500000,9.11000000,7.05100000,8.00300000,6421229.70000000,6421229.70000000
2021-10-10,8.70800000,8.96900000,7.60800000,7.65400000,8.70800000,8.96900000,7.60800000,7.65400000,4401707.60000000,4401707.60000000
2021-10-03,8.16600000,9.45900000,7.31400000,8.70700000,8.16600000,9.45900000,7.31400000,8.70700000,6242325.00000000,6242325.00000000
2021-09-26,10.29300000,10.48500000,7.59800000,8.17600000,10.29300000,10.48500000,7.59800000,8.17600000,9542063.90000000,9542063.90000000
2021-09-19,9.62700000,13.18700000,8.45600000,10.27600000,9.62700000,13.18700000,8.45600000,10.27600000,15455965.18000000,15455965.18000000
2021-09-12,9.58000000,10.80000000,6.70000000,9.63300000,9.58000000,10.80000000,6.70000000,9.63300000,10255336.87500000,10255336.87500000
2021-09-05,8.37300000,9.88000000,8.11100000,9.58300000,8.37300000,9.88000000,8.11100000,9.58300000,7458852.92600000,7458852.92600000
2021-08-29,9.20000000,9.79000000,7.79400000,8.37500000,9.20000000,9.79000000,7.79400000,8.37500000,5040797.31500000,5040797.31500000
2021-08-22,8.52000000,10.48700000,8.11500000,9.20800000,8.52000000,10.48700000,8.11500000,9.20800000,7555917.86800000,7555917.86800000
2021-08-15,6.76400000,11.60000000,6.61400000,8.52000000,6.76400000,11.60000000,6.61400000,8.52000000,17247072.72500000,17247072.72500000
2021-08-08,6.09300000,7.33600000,5.90100000,6.77200000,6.09300000,7.33600000,5.90100000,6.77200000,5500581.20300000,5500581.20300000
2021-08-01,4.84200000,6.41500000,4.65300000,6.08800000,4.84200000,6.41500000,4.65300000,6.08800000,6882855.37300000,6882855.37300000
2021-07-25,4.15800000,4.85600000,3.60000000,4.84500000,4.15800000,4.85600000,3.60000000,4.84500000,2513363.14200000,2513363.14200000
2021-07-18,5.24100000,5.43900000,4.10100000,4.17000000,5.24100000,5.43900000,4.10100000,4.17000000,2194066.96700000,2194066.96700000
2021-07-11,5.65500000,6.10900000,4.81000000,5.25300000,5.65500000,6.10900000,4.81000000,5.25300000,2726916.53600000,2726916.53600000
2021-07-04,5.39700000,6.11500000,5.11000000,5.65100000,5.39700000,6.11500000,5.11000000,5.65100000,3429052.59200000,3429052.59200000
2021-06-27,7.58400000,7.78000000,4.74500000,5.38400000,7.58400000,7.78000000,4.74500000,5.38400000,5925588.01700000,5925588.01700000
2021-06-20,7.31600000,10.00000000,6.55000000,7.57200000,7.31600000,10.00000000,6.55000000,7.57200000,6139724.07900000,6139724.07900000
2021-06-13,7.39700000,8.55000000,5.75000000,7.31900000,7.39700000,8.55000000,5.75000000,7.31900000,4895073.52000000,4895073.52000000
2021-06-06,7.12300000,8.50000000,6.75000000,7.35400000,7.12300000,8.50000000,6.75000000,7.35400000,2207689.38300000,2207689.38300000
2021-05-30,6.55300000,9.50000000,6.10900000,7.12400000,6.55300000,9.50000000,6.10900000,7.12400000,5155074.77900000,5155074.77900000
2021-05-23,12.38300000,12.44000000,4.92200000,6.55800000,12.38300000,12.44000000,4.92200000,6.55800000,6881833.67700000,6881833.67700000
2021-05-16,15.61000000,16.28400000,11.00000000,12.36900000,15.61000000,16.28400000,11.00000000,12.36900000,4723252.55200000,4723252.55200000
2021-05-09,16.17100000,17.65000000,13.62800000,15.59700000,16.17100000,17.65000000,13.62800000,15.59700000,5969687.05800000,5969687.05800000
2021-05-02,11.18300000,19.22300000,11.10000000,16.17000000,11.18300000,19.22300000,11.10000000,16.17000000,8138465.28000000,8138465.28000000
