timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-10-10,0.26250000,0.27300000,0.26040000,0.26960000,0.26250000,0.27300000,0.26040000,0.26960000,6536327.20000000,6536327.20000000
2022-10-09,0.22970000,0.28180000,0.22970000,0.26250000,0.22970000,0.28180000,0.22970000,0.26250000,94956795.69999999,94956795.69999999
2022-10-02,0.21230000,0.29000000,0.19940000,0.22960000,0.21230000,0.29000000,0.19940000,0.22960000,226387803.40000001,226387803.40000001
2022-09-25,0.19730000,0.24000000,0.18910000,0.21230000,0.19730000,0.24000000,0.18910000,0.21230000,109037994.10000001,109037994.10000001
2022-09-18,0.28800000,0.31800000,0.19000000,0.19740000,0.28800000,0.31800000,0.19000000,0.19740000,121956448.90000001,121956448.90000001
2022-09-11,0.19040000,0.48500000,0.17110000,0.28850000,0.19040000,0.48500000,0.17110000,0.28850000,320968627.50000000,320968627.50000000
2022-09-04,0.18440000,0.19940000,0.18220000,0.19030000,0.18440000,0.19940000,0.18220000,0.19030000,10376536.10000000,10376536.10000000
2022-08-28,0.20190000,0.21710000,0.18410000,0.18410000,0.20190000,0.21710000,0.18410000,0.18410000,19938298.10000000,19938298.10000000
2022-08-21,0.23820000,0.26600000,0.19250000,0.20230000,0.23820000,0.26600000,0.19250000,0.20230000,21135381.80000000,21135381.80000000
2022-08-14,0.22960000,0.24810000,0.21270000,0.23840000,0.22960000,0.24810000,0.21270000,0.23840000,25134418.70000000,25134418.70000000
2022-08-07,0.22210000,0.23810000,0.21510000,0.22960000,0.22210000,0.23810000,0.21510000,0.22960000,24613001.80000000,24613001.80000000
2022-07-31,0.21200000,0.23390000,0.19350000,0.22200000,0.21200000,0.23390000,0.19350000,0.22200000,22996126.30000000,22996126.30000000
2022-07-24,0.19740000,0.25000000,0.19700000,0.21220000,0.19740000,0.25000000,0.19700000,0.21220000,72892838.30000000,72892838.30000000
2022-07-17,0.20750000,0.21770000,0.17970000,0.19810000,0.20750000,0.21770000,0.17970000,0.19810000,30585257.70000000,30585257.70000000
2022-07-10,0.19070000,0.21920000,0.18460000,0.20750000,0.19070000,0.21920000,0.18460000,0.20750000,37216971.10000000,37216971.10000000
2022-07-03,0.19720000,0.24580000,0.17170000,0.19020000,0.19720000,0.24580000,0.17170000,0.19020000,88944399.59999999,88944399.59999999
2022-06-26,0.18230000,0.20660000,0.17300000,0.19760000,0.18230000,0.20660000,0.17300000,0.19760000,22739710.70000000,22739710.70000000
2022-06-19,0.19740000,0.19930000,0.14800000,0.18230000,0.19740000,0.19930000,0.14800000,0.18230000,70693245.90000001,70693245.90000001
2022-06-12,0.26440000,0.33560000,0.19430000,0.19720000,0.26440000,0.33560000,0.19430000,0.19720000,81462353.50000000,81462353.50000000
2022-06-05,0.22590000,0.28490000,0.22250000,0.26450000,0.22590000,0.28490000,0.22250000,0.26450000,63143981.40000000,63143981.40000000
2022-05-29,0.25990000,0.26850000,0.21380000,0.22570000,0.25990000,0.26850000,0.21380000,0.22570000,25265998.80000000,25265998.80000000
2022-05-22,0.22410000,0.26520000,0.20210000,0.26010000,0.22410000,0.26520000,0.20210000,0.26010000,44596210.90000000,44596210.90000000
2022-05-15,0.30170000,0.30370000,0.14300000,0.22390000,0.30170000,0.30370000,0.14300000,0.22390000,71571447.20000000,71571447.20000000
2022-05-08,0.35000000,0.37900000,0.29590000,0.30220000,0.35000000,0.37900000,0.29590000,0.30220000,39882841.80000000,39882841.80000000
2022-05-01,0.42140000,0.42200000,0.32860000,0.34990000,0.42140000,0.42200000,0.32860000,0.34990000,31813330.10000000,31813330.10000000
2022-04-24,0.40740000,0.52710000,0.38050000,0.42160000,0.40740000,0.52710000,0.38050000,0.42160000,75834771.30000001,75834771.30000001
2022-04-17,0.41740000,0.48600000,0.37320000,0.40690000,0.41740000,0.48600000,0.37320000,0.40690000,63964998.20000000,63964998.20000000
2022-04-10,0.54640000,0.55150000,0.41410000,0.41800000,0.54640000,0.55150000,0.41410000,0.41800000,24250930.30000000,24250930.30000000
2022-04-03,0.48810000,0.57810000,0.46470000,0.54640000,0.48810000,0.57810000,0.46470000,0.54640000,42224414.70000000,42224414.70000000
2022-03-27,0.41040000,0.49130000,0.39440000,0.48820000,0.41040000,0.49130000,0.39440000,0.48820000,29511553.10000000,29511553.10000000
2022-03-20,0.36900000,0.44430000,0.36700000,0.41030000,0.36900000,0.44430000,0.36700000,0.41030000,35402824.70000000,35402824.70000000
2022-03-13,0.39980000,0.43000000,0.36830000,0.36950000,0.39980000,0.43000000,0.36830000,0.36950000,30507834.20000000,30507834.20000000
2022-03-06,0.37020000,0.53430000,0.35880000,0.39960000,0.37020000,0.53430000,0.35880000,0.39960000,100713886.59999999,100713886.59999999
2022-02-27,0.37340000,0.42700000,0.30020000,0.37030000,0.37340000,0.42700000,0.30020000,0.37030000,56430296.20000000,56430296.20000000
2022-02-20,0.43060000,0.45600000,0.36450000,0.37350000,0.43060000,0.45600000,0.36450000,0.37350000,16223987.40000000,16223987.40000000
2022-02-13,0.50690000,0.51180000,0.41600000,0.43070000,0.50690000,0.51180000,0.41600000,0.43070000,26736990.00000000,26736990.00000000
2022-02-06,0.37950000,0.55060000,0.36670000,0.50750000,0.37950000,0.55060000,0.36670000,0.50750000,69258712.00000000,69258712.00000000
2022-01-30,0.35960000,0.39680000,0.30760000,0.38020000,0.35960000,0.39680000,0.30760000,0.38020000,34741867.59999999,34741867.59999999
2022-01-23,0.50470000,0.50510000,0.29390000,0.36000000,0.50470000,0.50510000,0.29390000,0.36000000,38941706.00000000,38941706.00000000
2022-01-16,0.49510000,0.54100000,0.44840000,0.50400000,0.49510000,0.54100000,0.44840000,0.50400000,29186161.30000000,29186161.30000000
2022-01-09,0.58710000,0.62500000,0.45000000,0.49520000,0.58710000,0.62500000,0.45000000,0.49520000,94698100.90000001,94698100.90000001
