timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.17000000,0.17100000,0.16980000,0.17040000,0.17000000,0.17100000,0.16980000,0.17040000,22989.00000000,22989.00000000
2023-05-07,0.17600000,0.17980000,0.16640000,0.17010000,0.17600000,0.17980000,0.16640000,0.17010000,10540860.00000000,10540860.00000000
2023-04-30,0.18030000,0.18310000,0.16920000,0.17590000,0.18030000,0.18310000,0.16920000,0.17590000,10249674.00000000,10249674.00000000
2023-04-23,0.20070000,0.23630000,0.17600000,0.18030000,0.20070000,0.23630000,0.17600000,0.18030000,119014245.00000000,119014245.00000000
2023-04-16,0.19380000,0.20190000,0.19000000,0.20070000,0.19380000,0.20190000,0.19000000,0.20070000,12753570.00000000,12753570.00000000
2023-04-09,0.18930000,0.23130000,0.18300000,0.19350000,0.18930000,0.23130000,0.18300000,0.19350000,43119026.00000000,43119026.00000000
2023-04-02,0.18460000,0.20130000,0.16610000,0.18940000,0.18460000,0.20130000,0.16610000,0.18940000,32986290.00000000,32986290.00000000
2023-03-26,0.19300000,0.20650000,0.17490000,0.18460000,0.19300000,0.20650000,0.17490000,0.18460000,16305418.00000000,16305418.00000000
2023-03-19,0.16530000,0.19780000,0.16080000,0.19250000,0.16530000,0.19780000,0.16080000,0.19250000,21674349.00000000,21674349.00000000
2023-03-12,0.18400000,0.19470000,0.14810000,0.16500000,0.18400000,0.19470000,0.14810000,0.16500000,32835380.00000000,32835380.00000000
2023-03-05,0.20950000,0.26400000,0.18190000,0.18380000,0.20950000,0.26400000,0.18190000,0.18380000,147449999.00000000,147449999.00000000
2023-02-26,0.21020000,0.23140000,0.19670000,0.20950000,0.21020000,0.23140000,0.19670000,0.20950000,51631535.00000000,51631535.00000000
2023-02-19,0.18640000,0.21360000,0.17170000,0.21020000,0.18640000,0.21360000,0.17170000,0.21020000,40825889.00000000,40825889.00000000
2023-02-12,0.20790000,0.22530000,0.18090000,0.18640000,0.20790000,0.22530000,0.18090000,0.18640000,114239488.00000000,114239488.00000000
2023-02-05,0.18820000,0.28230000,0.15980000,0.20790000,0.18820000,0.28230000,0.15980000,0.20790000,114710559.00000000,114710559.00000000
2023-01-29,0.17180000,0.19670000,0.16240000,0.18830000,0.17180000,0.19670000,0.16240000,0.18830000,26325297.00000000,26325297.00000000
2023-01-22,0.15990000,0.18830000,0.15200000,0.17180000,0.15990000,0.18830000,0.15200000,0.17180000,39289668.00000000,39289668.00000000
2023-01-15,0.12910000,0.17670000,0.12880000,0.15970000,0.12910000,0.17670000,0.12880000,0.15970000,32745529.00000000,32745529.00000000
2023-01-08,0.12340000,0.13020000,0.12030000,0.12910000,0.12340000,0.13020000,0.12030000,0.12910000,11564298.00000000,11564298.00000000
2023-01-01,0.13020000,0.13260000,0.11650000,0.12350000,0.13020000,0.13260000,0.11650000,0.12350000,28738261.00000000,28738261.00000000
2022-12-25,0.13060000,0.17040000,0.12060000,0.13020000,0.13060000,0.17040000,0.12060000,0.13020000,113319341.00000000,113319341.00000000
2022-12-18,0.15080000,0.15140000,0.12370000,0.13060000,0.15080000,0.15140000,0.12370000,0.13060000,28010611.00000000,28010611.00000000
2022-12-11,0.15190000,0.16300000,0.14080000,0.15080000,0.15190000,0.16300000,0.14080000,0.15080000,47519228.00000000,47519228.00000000
2022-12-04,0.15080000,0.15920000,0.14220000,0.15210000,0.15080000,0.15920000,0.14220000,0.15210000,30799496.00000000,30799496.00000000
2022-11-27,0.13780000,0.16840000,0.13370000,0.15070000,0.13780000,0.16840000,0.13370000,0.15070000,40578278.00000000,40578278.00000000
2022-11-20,0.13470000,0.18380000,0.12190000,0.13740000,0.13470000,0.18380000,0.12190000,0.13740000,82737187.00000000,82737187.00000000
2022-11-13,0.20630000,0.20630000,0.12510000,0.13460000,0.20630000,0.20630000,0.12510000,0.13460000,44716228.00000000,44716228.00000000
2022-11-06,0.20780000,0.21960000,0.19560000,0.20640000,0.20780000,0.21960000,0.19560000,0.20640000,18757259.00000000,18757259.00000000
2022-10-30,0.19150000,0.21100000,0.18520000,0.20760000,0.19150000,0.21100000,0.18520000,0.20760000,18331923.00000000,18331923.00000000
2022-10-23,0.18620000,0.21190000,0.17980000,0.19130000,0.18620000,0.21190000,0.17980000,0.19130000,53520229.00000000,53520229.00000000
2022-10-16,0.19920000,0.20260000,0.16750000,0.18600000,0.19920000,0.20260000,0.16750000,0.18600000,14944878.00000000,14944878.00000000
2022-10-09,0.18930000,0.21590000,0.18840000,0.19960000,0.18930000,0.21590000,0.18840000,0.19960000,18629421.00000000,18629421.00000000
2022-10-02,0.19650000,0.20500000,0.18760000,0.18960000,0.19650000,0.20500000,0.18760000,0.18960000,16749448.00000000,16749448.00000000
