timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,2.71700000,2.72900000,2.69700000,2.72000000,2.71700000,2.72900000,2.69700000,2.72000000,22726.90000000,22726.90000000
2023-05-07,2.83500000,2.89200000,2.68900000,2.71700000,2.83500000,2.89200000,2.68900000,2.71700000,1930751.70000000,1930751.70000000
2023-04-30,2.91500000,3.04900000,2.72300000,2.83400000,2.91500000,3.04900000,2.72300000,2.83400000,3664737.80000000,3664737.80000000
2023-04-23,3.41400000,3.43400000,2.83800000,2.91500000,3.41400000,3.43400000,2.83800000,2.91500000,3031568.00000000,3031568.00000000
2023-04-16,3.12900000,3.52100000,3.06600000,3.41500000,3.12900000,3.52100000,3.06600000,3.41500000,3975395.30000000,3975395.30000000
2023-04-09,3.09600000,3.39400000,3.00700000,3.12600000,3.09600000,3.39400000,3.00700000,3.12600000,5254145.00000000,5254145.00000000
2023-04-02,3.12200000,3.21900000,2.91200000,3.09700000,3.12200000,3.21900000,2.91200000,3.09700000,3528074.30000000,3528074.30000000
2023-03-26,3.56300000,3.87200000,2.93500000,3.12300000,3.56300000,3.87200000,2.93500000,3.12300000,8486692.40000000,8486692.40000000
2023-03-19,2.71500000,3.70000000,2.62700000,3.56800000,2.71500000,3.70000000,2.62700000,3.56800000,10108153.60000000,10108153.60000000
2023-03-12,2.95200000,3.09000000,2.35100000,2.71700000,2.95200000,3.09000000,2.35100000,2.71700000,5140216.50000000,5140216.50000000
2023-03-05,3.40100000,3.55400000,2.86600000,2.95200000,3.40100000,3.55400000,2.86600000,2.95200000,5423678.20000000,5423678.20000000
2023-02-26,3.20900000,4.33100000,3.12800000,3.40400000,3.20900000,4.33100000,3.12800000,3.40400000,18734869.00000000,18734869.00000000
2023-02-19,2.69100000,3.37300000,2.49500000,3.21200000,2.69100000,3.37300000,2.49500000,3.21200000,10310547.60000000,10310547.60000000
2023-02-12,2.82200000,3.20600000,2.57000000,2.69200000,2.82200000,3.20600000,2.57000000,2.69200000,7819205.00000000,7819205.00000000
2023-02-05,2.72300000,3.03900000,2.53800000,2.81800000,2.72300000,3.03900000,2.53800000,2.81800000,8440237.50000000,8440237.50000000
2023-01-29,2.55000000,2.75700000,2.40000000,2.73000000,2.55000000,2.75700000,2.40000000,2.73000000,4653198.70000000,4653198.70000000
2023-01-22,2.41800000,2.63000000,2.18400000,2.54400000,2.41800000,2.63000000,2.18400000,2.54400000,5400150.30000000,5400150.30000000
2023-01-15,2.01800000,2.50500000,2.01100000,2.41900000,2.01800000,2.50500000,2.01100000,2.41900000,6049754.20000000,6049754.20000000
2023-01-08,1.88000000,2.02600000,1.84300000,2.01800000,1.88000000,2.02600000,1.84300000,2.01800000,2224037.90000000,2224037.90000000
2023-01-01,1.96600000,1.98000000,1.76500000,1.87800000,1.96600000,1.98000000,1.76500000,1.87800000,2347816.20000000,2347816.20000000
2022-12-25,2.02800000,2.05700000,1.87500000,1.97000000,2.02800000,2.05700000,1.87500000,1.97000000,1815477.40000000,1815477.40000000
2022-12-18,2.24900000,2.42300000,2.00400000,2.02700000,2.24900000,2.42300000,2.00400000,2.02700000,5815020.60000000,5815020.60000000
2022-12-11,2.19700000,2.38400000,2.08600000,2.25300000,2.19700000,2.38400000,2.08600000,2.25300000,6924810.90000000,6924810.90000000
2022-12-04,2.15100000,2.25900000,2.06000000,2.19700000,2.15100000,2.25900000,2.06000000,2.19700000,4506425.30000000,4506425.30000000
2022-11-27,2.01200000,2.26000000,1.93700000,2.15400000,2.01200000,2.26000000,1.93700000,2.15400000,3353715.60000000,3353715.60000000
2022-11-20,2.01000000,2.16300000,1.86900000,2.01100000,2.01000000,2.16300000,1.86900000,2.01100000,3954762.30000000,3954762.30000000
2022-11-13,2.84400000,2.95600000,1.95200000,2.01100000,2.84400000,2.95600000,1.95200000,2.01100000,6700930.45200000,6700930.45200000
2022-11-06,2.85900000,3.08800000,2.70100000,2.85300000,2.85900000,3.08800000,2.70100000,2.85300000,3870006.40000000,3870006.40000000
2022-10-30,2.74200000,3.00300000,2.65400000,2.86200000,2.74200000,3.00300000,2.65400000,2.86200000,2884189.40000000,2884189.40000000
2022-10-23,2.66700000,2.77500000,2.51800000,2.74300000,2.66700000,2.77500000,2.51800000,2.74300000,2182220.50000000,2182220.50000000
2022-10-16,2.86300000,2.94100000,2.44100000,2.67000000,2.86300000,2.94100000,2.44100000,2.67000000,2409913.50000000,2409913.50000000
2022-10-09,2.76600000,2.92600000,2.74100000,2.86200000,2.76600000,2.92600000,2.74100000,2.86200000,1824771.40000000,1824771.40000000
2022-10-02,2.78100000,3.07000000,2.71400000,2.76700000,2.78100000,3.07000000,2.71400000,2.76700000,3313527.00000000,3313527.00000000
2022-09-25,2.85700000,3.00000000,2.71200000,2.78200000,2.85700000,3.00000000,2.71200000,2.78200000,3648749.90000000,3648749.90000000
2022-09-18,3.30200000,3.40600000,2.78700000,2.85400000,3.30200000,3.40600000,2.78700000,2.85400000,3997669.80000000,3997669.80000000
2022-09-11,3.23400000,3.44700000,2.91800000,3.30400000,3.23400000,3.44700000,2.91800000,3.30400000,4616907.90000000,4616907.90000000
2022-09-04,2.98400000,3.25300000,2.94100000,3.23400000,2.98400000,3.25300000,2.94100000,3.23400000,2238370.10000000,2238370.10000000
2022-08-28,3.47300000,3.58100000,2.97000000,2.98400000,3.47300000,3.58100000,2.97000000,2.98400000,3879930.80000000,3879930.80000000
2022-08-21,4.16700000,4.27200000,3.24200000,3.47300000,4.16700000,4.27200000,3.24200000,3.47300000,3435266.70000000,3435266.70000000
2022-08-14,4.08600000,4.37300000,3.89900000,4.16600000,4.08600000,4.37300000,3.89900000,4.16600000,3357096.50000000,3357096.50000000
2022-08-07,4.05900000,4.25100000,3.83000000,4.08400000,4.05900000,4.25100000,3.83000000,4.08400000,5836100.70000000,5836100.70000000
2022-07-31,3.40500000,5.25800000,3.17400000,4.05900000,3.40500000,5.25800000,3.17400000,4.05900000,18234103.00000000,18234103.00000000
2022-07-24,2.95200000,3.51300000,2.93800000,3.40600000,2.95200000,3.51300000,2.93800000,3.40600000,10074175.40000000,10074175.40000000
2022-07-17,2.93700000,3.08400000,2.50700000,2.94900000,2.93700000,3.08400000,2.50700000,2.94900000,6162637.80000000,6162637.80000000
2022-07-10,2.82400000,3.17700000,2.72100000,2.93900000,2.82400000,3.17700000,2.72100000,2.93900000,4209399.50000000,4209399.50000000
2022-07-03,2.95200000,3.13700000,2.61500000,2.82200000,2.95200000,3.13700000,2.61500000,2.82200000,5668217.40000000,5668217.40000000
2022-06-26,2.75200000,3.22600000,2.63800000,2.95200000,2.75200000,3.22600000,2.63800000,2.95200000,7203124.20000000,7203124.20000000
2022-06-19,3.07400000,3.13800000,2.38200000,2.75100000,3.07400000,3.13800000,2.38200000,2.75100000,10891893.18000000,10891893.18000000
2022-06-12,3.87600000,4.25400000,3.07400000,3.07800000,3.87600000,4.25400000,3.07400000,3.07800000,5438599.00000000,5438599.00000000
2022-06-05,3.87000000,4.32500000,3.73300000,3.87700000,3.87000000,4.32500000,3.73300000,3.87700000,6386503.10000000,6386503.10000000
2022-05-29,4.10700000,4.59500000,3.61100000,3.86900000,4.10700000,4.59500000,3.61100000,3.86900000,9129072.50000000,9129072.50000000
2022-05-22,4.27900000,4.48500000,3.66400000,4.10800000,4.27900000,4.48500000,3.66400000,4.10800000,5547927.80000000,5547927.80000000
2022-05-15,5.05000000,5.44300000,3.12100000,4.27900000,5.05000000,5.44300000,3.12100000,4.27900000,17678892.78500000,17678892.78500000
