timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.08990000,0.09030000,0.08970000,0.09000000,0.08990000,0.09030000,0.08970000,0.09000000,67112.00000000,67112.00000000
2023-05-07,0.09310000,0.10100000,0.08990000,0.08990000,0.09310000,0.10100000,0.08990000,0.08990000,41455724.00000000,41455724.00000000
2023-04-30,0.09290000,0.10210000,0.08900000,0.09310000,0.09290000,0.10210000,0.08900000,0.09310000,38740469.00000000,38740469.00000000
2023-04-23,0.10440000,0.10800000,0.09120000,0.09280000,0.10440000,0.10800000,0.09120000,0.09280000,25231955.00000000,25231955.00000000
2023-04-16,0.10070000,0.12470000,0.10000000,0.10450000,0.10070000,0.12470000,0.10000000,0.10450000,113720710.00000000,113720710.00000000
2023-04-09,0.09490000,0.10750000,0.09230000,0.10070000,0.09490000,0.10750000,0.09230000,0.10070000,77021618.00000000,77021618.00000000
2023-04-02,0.09550000,0.09970000,0.09230000,0.09490000,0.09550000,0.09970000,0.09230000,0.09490000,32325367.00000000,32325367.00000000
2023-03-26,0.10130000,0.10760000,0.09380000,0.09550000,0.10130000,0.10760000,0.09380000,0.09550000,39779537.00000000,39779537.00000000
2023-03-19,0.09490000,0.10400000,0.09000000,0.10130000,0.09490000,0.10400000,0.09000000,0.10130000,48847445.00000000,48847445.00000000
2023-03-12,0.10080000,0.10280000,0.08340000,0.09480000,0.10080000,0.10280000,0.08340000,0.09480000,30031732.00000000,30031732.00000000
2023-03-05,0.11220000,0.11640000,0.09830000,0.10080000,0.11220000,0.11640000,0.09830000,0.10080000,43110728.00000000,43110728.00000000
2023-02-26,0.11910000,0.12440000,0.10780000,0.11220000,0.11910000,0.12440000,0.10780000,0.11220000,75781299.00000000,75781299.00000000
2023-02-19,0.10310000,0.12950000,0.09790000,0.11910000,0.10310000,0.12950000,0.09790000,0.11910000,89772710.00000000,89772710.00000000
2023-02-12,0.10840000,0.12140000,0.10170000,0.10330000,0.10840000,0.12140000,0.10170000,0.10330000,53021663.00000000,53021663.00000000
2023-02-05,0.11230000,0.11390000,0.10120000,0.10850000,0.11230000,0.11390000,0.10120000,0.10850000,43416286.00000000,43416286.00000000
2023-01-29,0.10800000,0.11500000,0.10290000,0.11240000,0.10800000,0.11500000,0.10290000,0.11240000,55488975.00000000,55488975.00000000
2023-01-22,0.09870000,0.12270000,0.09230000,0.10800000,0.09870000,0.12270000,0.09230000,0.10800000,117871305.00000000,117871305.00000000
2023-01-15,0.08920000,0.10380000,0.08880000,0.09870000,0.08920000,0.10380000,0.08880000,0.09870000,35073558.00000000,35073558.00000000
2023-01-08,0.08550000,0.09080000,0.08490000,0.08920000,0.08550000,0.09080000,0.08490000,0.08920000,22744326.00000000,22744326.00000000
2023-01-01,0.08820000,0.10130000,0.08300000,0.08530000,0.08820000,0.10130000,0.08300000,0.08530000,43471718.00000000,43471718.00000000
2022-12-25,0.08810000,0.09540000,0.08150000,0.08800000,0.08810000,0.09540000,0.08150000,0.08800000,29653198.00000000,29653198.00000000
2022-12-18,0.09370000,0.10600000,0.08360000,0.08810000,0.09370000,0.10600000,0.08360000,0.08810000,97844731.00000000,97844731.00000000
2022-12-11,0.09270000,0.10300000,0.08960000,0.09380000,0.09270000,0.10300000,0.08960000,0.09380000,63141013.00000000,63141013.00000000
2022-12-04,0.08930000,0.09990000,0.08580000,0.09270000,0.08930000,0.09990000,0.08580000,0.09270000,39949248.00000000,39949248.00000000
2022-11-27,0.08240000,0.10930000,0.08030000,0.08940000,0.08240000,0.10930000,0.08030000,0.08940000,85847313.00000000,85847313.00000000
2022-11-20,0.08100000,0.10960000,0.07720000,0.08250000,0.08100000,0.10960000,0.07720000,0.08250000,106623456.00000000,106623456.00000000
2022-11-13,0.11110000,0.11190000,0.07480000,0.08090000,0.11110000,0.11190000,0.07480000,0.08090000,45979138.00000000,45979138.00000000
2022-11-06,0.10890000,0.12250000,0.10670000,0.11110000,0.10890000,0.12250000,0.10670000,0.11110000,54801248.00000000,54801248.00000000
2022-10-30,0.10790000,0.11860000,0.10350000,0.10880000,0.10790000,0.11860000,0.10350000,0.10880000,59078998.00000000,59078998.00000000
2022-10-23,0.11610000,0.12480000,0.10490000,0.10790000,0.11610000,0.12480000,0.10490000,0.10790000,146667824.00000000,146667824.00000000
2022-10-16,0.10380000,0.18980000,0.08690000,0.11630000,0.10380000,0.18980000,0.08690000,0.11630000,513292860.00000000,513292860.00000000
2022-10-09,0.10230000,0.10790000,0.10150000,0.10380000,0.10230000,0.10790000,0.10150000,0.10380000,22882036.00000000,22882036.00000000
2022-10-02,0.10150000,0.11820000,0.09830000,0.10230000,0.10150000,0.11820000,0.09830000,0.10230000,104355171.00000000,104355171.00000000
2022-09-25,0.10650000,0.11190000,0.09910000,0.10140000,0.10650000,0.11190000,0.09910000,0.10140000,20713754.00000000,20713754.00000000
2022-09-18,0.12380000,0.13940000,0.10630000,0.10650000,0.12380000,0.13940000,0.10630000,0.10650000,49979043.00000000,49979043.00000000
2022-09-11,0.11370000,0.14000000,0.11130000,0.12380000,0.11370000,0.14000000,0.11130000,0.12380000,169580898.00000000,169580898.00000000
2022-09-04,0.10460000,0.12670000,0.10320000,0.11370000,0.10460000,0.12670000,0.10320000,0.11370000,58933136.00000000,58933136.00000000
