timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.76000000,1.79400000,1.74300000,1.78400000,1.76000000,1.79400000,1.74300000,1.78400000,229956.10000000,229956.10000000
2023-05-07,1.87000000,2.13200000,1.57700000,1.76000000,1.87000000,2.13200000,1.57700000,1.76000000,46302664.70000000,46302664.70000000
2023-04-30,1.52700000,1.99200000,1.46600000,1.87100000,1.52700000,1.99200000,1.46600000,1.87100000,31475417.80000000,31475417.80000000
2023-04-23,1.85000000,1.94300000,1.46000000,1.52600000,1.85000000,1.94300000,1.46000000,1.52600000,9383724.50000000,9383724.50000000
2023-04-16,1.70900000,1.87900000,1.66800000,1.85100000,1.70900000,1.87900000,1.66800000,1.85100000,8223722.00000000,8223722.00000000
2023-04-09,1.65700000,1.72300000,1.58000000,1.71200000,1.65700000,1.72300000,1.58000000,1.71200000,8122960.00000000,8122960.00000000
2023-04-02,1.81000000,1.82000000,1.60500000,1.65700000,1.81000000,1.82000000,1.60500000,1.65700000,12930732.30000000,12930732.30000000
2023-03-26,1.60500000,2.27800000,1.56100000,1.80900000,1.60500000,2.27800000,1.56100000,1.80900000,42737437.30000000,42737437.30000000
2023-03-19,1.43000000,1.70300000,1.37500000,1.60400000,1.43000000,1.70300000,1.37500000,1.60400000,9745174.20000000,9745174.20000000
2023-03-12,1.72900000,1.74000000,1.19700000,1.42900000,1.72900000,1.74000000,1.19700000,1.42900000,10765486.90000000,10765486.90000000
2023-03-05,1.93800000,2.01700000,1.67000000,1.73000000,1.93800000,2.01700000,1.67000000,1.73000000,7447684.00000000,7447684.00000000
2023-02-26,2.00900000,2.37800000,1.83100000,1.93800000,2.00900000,2.37800000,1.83100000,1.93800000,17624928.60000000,17624928.60000000
2023-02-19,1.92400000,2.17800000,1.81000000,2.00800000,1.92400000,2.17800000,1.81000000,2.00800000,14427145.30000000,14427145.30000000
2023-02-12,2.05800000,2.33800000,1.87000000,1.92200000,2.05800000,2.33800000,1.87000000,1.92200000,33460070.10000000,33460070.10000000
2023-02-05,1.81100000,2.12200000,1.58400000,2.05500000,1.81100000,2.12200000,1.58400000,2.05500000,25355144.30000000,25355144.30000000
2023-01-29,1.67100000,1.87000000,1.58700000,1.81100000,1.67100000,1.87000000,1.58700000,1.81100000,21501768.10000000,21501768.10000000
2023-01-22,1.61100000,1.80800000,1.47800000,1.67200000,1.61100000,1.80800000,1.47800000,1.67200000,27042202.10000000,27042202.10000000
2023-01-15,1.33200000,1.88200000,1.31800000,1.61300000,1.33200000,1.88200000,1.31800000,1.61300000,56461353.30000000,56461353.30000000
2023-01-08,1.17300000,1.35000000,1.13900000,1.33000000,1.17300000,1.35000000,1.13900000,1.33000000,20148309.20000000,20148309.20000000
2023-01-01,1.32100000,1.43800000,1.16300000,1.17200000,1.32100000,1.43800000,1.16300000,1.17200000,23626786.00000000,23626786.00000000
2022-12-25,1.17600000,1.41900000,1.10800000,1.32100000,1.17600000,1.41900000,1.10800000,1.32100000,30333140.60000000,30333140.60000000
2022-12-18,1.07300000,1.23400000,1.04100000,1.17600000,1.07300000,1.23400000,1.04100000,1.17600000,25414485.80000000,25414485.80000000
2022-12-11,1.09000000,1.15500000,1.00500000,1.07300000,1.09000000,1.15500000,1.00500000,1.07300000,13863252.80000000,13863252.80000000
