timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.28100000,1.29000000,1.27600000,1.28700000,1.28100000,1.29000000,1.27600000,1.28700000,159207.60000000,159207.60000000
2023-05-07,1.34200000,1.35800000,1.27500000,1.28000000,1.34200000,1.35800000,1.27500000,1.28000000,18860975.90000000,18860975.90000000
2023-04-30,1.37500000,1.45700000,1.29400000,1.34300000,1.37500000,1.45700000,1.29400000,1.34300000,32815349.40000000,32815349.40000000
2023-04-23,1.68200000,1.71100000,1.33800000,1.37500000,1.68200000,1.71100000,1.33800000,1.37500000,31613692.80000000,31613692.80000000
2023-04-16,1.58900000,1.69600000,1.57400000,1.68200000,1.58900000,1.69600000,1.57400000,1.68200000,29534533.80000000,29534533.80000000
2023-04-09,1.43700000,1.66200000,1.39700000,1.58800000,1.43700000,1.66200000,1.39700000,1.58800000,39732264.40000000,39732264.40000000
2023-04-02,1.40200000,1.49000000,1.29200000,1.43500000,1.40200000,1.49000000,1.29200000,1.43500000,29040811.00000000,29040811.00000000
2023-03-26,1.45200000,1.46500000,1.33200000,1.40200000,1.45200000,1.46500000,1.33200000,1.40200000,31147843.20000000,31147843.20000000
2023-03-19,1.33100000,1.53600000,1.29200000,1.45100000,1.33100000,1.53600000,1.29200000,1.45100000,52056231.90000000,52056231.90000000
2023-03-12,1.47900000,1.51700000,1.16200000,1.33100000,1.47900000,1.51700000,1.16200000,1.33100000,34328566.10000000,34328566.10000000
2023-03-05,1.65000000,1.69700000,1.43800000,1.48000000,1.65000000,1.69700000,1.43800000,1.48000000,26906818.00000000,26906818.00000000
2023-02-26,1.73600000,1.85500000,1.55600000,1.65100000,1.73600000,1.85500000,1.55600000,1.65100000,29976585.70000000,29976585.70000000
2023-02-19,1.68300000,1.83600000,1.59200000,1.73500000,1.68300000,1.83600000,1.59200000,1.73500000,37002911.20000000,37002911.20000000
2023-02-12,1.77600000,1.97200000,1.62400000,1.68400000,1.77600000,1.97200000,1.62400000,1.68400000,38357788.30000000,38357788.30000000
2023-02-05,1.91100000,1.97000000,1.68700000,1.77700000,1.91100000,1.97000000,1.68700000,1.77700000,42256599.80000000,42256599.80000000
2023-01-29,1.75600000,1.94200000,1.63800000,1.91100000,1.75600000,1.94200000,1.63800000,1.91100000,44813449.30000000,44813449.30000000
2023-01-22,1.75000000,1.85000000,1.58600000,1.75500000,1.75000000,1.85000000,1.58600000,1.75500000,31811394.30000000,31811394.30000000
2023-01-15,1.41900000,1.82000000,1.40300000,1.75000000,1.41900000,1.82000000,1.40300000,1.75000000,40428282.30000000,40428282.30000000
2023-01-08,1.28800000,1.42800000,1.27500000,1.42000000,1.28800000,1.42800000,1.27500000,1.42000000,14343490.00000000,14343490.00000000
2023-01-01,1.38600000,1.39800000,1.25000000,1.28700000,1.38600000,1.39800000,1.25000000,1.28700000,11584203.90000000,11584203.90000000
2022-12-25,1.32000000,1.41900000,1.28800000,1.38500000,1.32000000,1.41900000,1.28800000,1.38500000,17555126.20000000,17555126.20000000
2022-12-18,1.37900000,1.49700000,1.27500000,1.32000000,1.37900000,1.49700000,1.27500000,1.32000000,30885501.30000000,30885501.30000000
2022-12-11,1.37700000,1.43900000,1.32400000,1.37900000,1.37700000,1.43900000,1.32400000,1.37900000,20882256.10000000,20882256.10000000
2022-12-04,1.18200000,1.40700000,1.13200000,1.37700000,1.18200000,1.40700000,1.13200000,1.37700000,29190085.90000000,29190085.90000000
2022-11-27,1.15300000,1.22800000,1.05400000,1.18100000,1.15300000,1.22800000,1.05400000,1.18100000,22463735.40000000,22463735.40000000
2022-11-20,1.13100000,1.32600000,1.07100000,1.15300000,1.13100000,1.32600000,1.07100000,1.15300000,33016651.30000000,33016651.30000000
2022-11-13,1.60800000,1.68600000,1.00300000,1.13100000,1.60800000,1.68600000,1.00300000,1.13100000,79812025.89999999,79812025.89999999
2022-11-06,1.55600000,1.73000000,1.44900000,1.60800000,1.55600000,1.73000000,1.44900000,1.60800000,47639684.00000000,47639684.00000000
2022-10-30,1.48400000,1.62400000,1.42700000,1.55500000,1.48400000,1.62400000,1.42700000,1.55500000,40379367.80000000,40379367.80000000
2022-10-23,1.47800000,1.55900000,1.37300000,1.48400000,1.47800000,1.55900000,1.37300000,1.48400000,25092063.90000000,25092063.90000000
2022-10-16,1.60500000,1.64900000,1.36800000,1.47800000,1.60500000,1.64900000,1.36800000,1.47800000,26412847.70000000,26412847.70000000
2022-10-09,1.50000000,1.69500000,1.47600000,1.60500000,1.50000000,1.69500000,1.47600000,1.60500000,25719029.00000000,25719029.00000000
2022-10-02,1.58800000,1.68000000,1.49200000,1.50000000,1.58800000,1.68000000,1.49200000,1.50000000,33811813.50000000,33811813.50000000
2022-09-25,1.64500000,1.76800000,1.53000000,1.58700000,1.64500000,1.76800000,1.53000000,1.58700000,52804100.40000000,52804100.40000000
2022-09-18,2.00800000,2.09000000,1.61000000,1.64400000,2.00800000,2.09000000,1.61000000,1.64400000,66385882.70000000,66385882.70000000
2022-09-11,1.94300000,2.05800000,1.72400000,2.00900000,1.94300000,2.05800000,1.72400000,2.00900000,54390342.30000000,54390342.30000000
2022-09-04,1.84400000,1.99200000,1.82800000,1.94300000,1.84400000,1.99200000,1.82800000,1.94300000,47384949.00000000,47384949.00000000
2022-08-28,2.17100000,2.28300000,1.84000000,1.84400000,2.17100000,2.28300000,1.84000000,1.84400000,74546658.90000001,74546658.90000001
2022-08-21,2.80100000,2.95300000,2.02400000,2.17100000,2.80100000,2.95300000,2.02400000,2.17100000,90488556.40000001,90488556.40000001
2022-08-14,2.77800000,3.14900000,2.60600000,2.80000000,2.77800000,3.14900000,2.60600000,2.80000000,114313513.80000001,114313513.80000001
2022-08-07,2.59800000,2.84600000,2.43900000,2.77800000,2.59800000,2.84600000,2.43900000,2.77800000,84313512.80000000,84313512.80000000
2022-07-31,2.63200000,2.98200000,2.20800000,2.59900000,2.63200000,2.98200000,2.20800000,2.59900000,118840852.20000000,118840852.20000000
2022-07-24,2.15900000,3.04800000,2.15500000,2.63200000,2.15900000,3.04800000,2.15500000,2.63200000,156524361.39999998,156524361.39999998
2022-07-17,2.27100000,2.35100000,1.86000000,2.15900000,2.27100000,2.35100000,1.86000000,2.15900000,108486936.80000001,108486936.80000001
2022-07-10,1.95300000,2.52800000,1.93700000,2.27200000,1.95300000,2.52800000,1.93700000,2.27200000,169815491.80000001,169815491.80000001
2022-07-03,2.15500000,2.23500000,1.72800000,1.95300000,2.15500000,2.23500000,1.72800000,1.95300000,161716421.79999998,161716421.79999998
2022-06-26,1.78100000,2.45300000,1.68600000,2.15500000,1.78100000,2.45300000,1.68600000,2.15500000,125414650.60000001,125414650.60000001
2022-06-19,2.22000000,2.24400000,1.43300000,1.78100000,2.22000000,2.24400000,1.43300000,1.78100000,106186239.18000001,106186239.18000001
2022-06-12,2.82300000,3.29500000,2.20200000,2.21900000,2.82300000,3.29500000,2.20200000,2.21900000,54103631.05700000,54103631.05700000
2022-06-05,2.69600000,3.50000000,2.65700000,2.82300000,2.69600000,3.50000000,2.65700000,2.82300000,81160577.80000001,81160577.80000001
2022-05-29,3.09700000,3.39900000,2.36400000,2.69700000,3.09700000,3.39900000,2.36400000,2.69700000,89357191.80000001,89357191.80000001
2022-05-22,3.77900000,3.77900000,2.78200000,3.09700000,3.77900000,3.77900000,2.78200000,3.09700000,57940757.90000000,57940757.90000000
2022-05-15,5.76200000,5.89800000,2.46700000,3.77900000,5.76200000,5.89800000,2.46700000,3.77900000,136624883.23200002,136624883.23200002
2022-05-08,6.40200000,7.77700000,5.63300000,5.76100000,6.40200000,7.77700000,5.63300000,5.76100000,60866966.20000000,60866966.20000000
2022-05-01,7.81400000,8.66300000,5.83100000,6.40800000,7.81400000,8.66300000,5.83100000,6.40800000,62636615.30000000,62636615.30000000
2022-04-24,7.61800000,9.89100000,7.18000000,7.81500000,7.61800000,9.89100000,7.18000000,7.81500000,58798008.50000000,58798008.50000000
2022-04-17,8.89000000,9.38000000,7.41000000,7.61300000,8.89000000,9.38000000,7.41000000,7.61300000,49910730.09999999,49910730.09999999
2022-04-10,11.21200000,11.98000000,8.55600000,8.89300000,11.21200000,11.98000000,8.55600000,8.89300000,54217744.50000001,54217744.50000001
2022-04-03,10.40200000,13.20300000,9.92500000,11.21100000,10.40200000,13.20300000,9.92500000,11.21100000,66418104.80000000,66418104.80000000
2022-03-27,8.60300000,10.96400000,7.90200000,10.40200000,8.60300000,10.96400000,7.90200000,10.40200000,64854065.40000000,64854065.40000000
2022-03-20,6.36500000,9.59000000,6.27300000,8.60100000,6.36500000,9.59000000,6.27300000,8.60100000,114316177.09999999,114316177.09999999
