timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00377000,0.00380000,0.00377000,0.00379000,0.00377000,0.00380000,0.00377000,0.00379000,3072550.00000000,3072550.00000000
2023-05-07,0.00403000,0.00404000,0.00375000,0.00378000,0.00403000,0.00404000,0.00375000,0.00378000,623808669.00000000,623808669.00000000
2023-04-30,0.00395000,0.00430000,0.00372000,0.00403000,0.00395000,0.00430000,0.00372000,0.00403000,1941139517.00000000,1941139517.00000000
2023-04-23,0.00440000,0.00440000,0.00383000,0.00395000,0.00440000,0.00440000,0.00383000,0.00395000,1134825190.00000000,1134825190.00000000
2023-04-16,0.00435000,0.00448000,0.00415000,0.00440000,0.00435000,0.00448000,0.00415000,0.00440000,998767934.00000000,998767934.00000000
2023-04-09,0.00432000,0.00465000,0.00406000,0.00436000,0.00432000,0.00465000,0.00406000,0.00436000,1946198553.00000000,1946198553.00000000
2023-04-02,0.00401000,0.00465000,0.00365000,0.00434000,0.00401000,0.00465000,0.00365000,0.00434000,2378859946.00000000,2378859946.00000000
2023-03-26,0.00427000,0.00431000,0.00370000,0.00400000,0.00427000,0.00431000,0.00370000,0.00400000,1428438770.00000000,1428438770.00000000
2023-03-19,0.00364000,0.00450000,0.00352000,0.00426000,0.00364000,0.00450000,0.00352000,0.00426000,2134704174.00000000,2134704174.00000000
2023-03-12,0.00392000,0.00393000,0.00316000,0.00365000,0.00392000,0.00393000,0.00316000,0.00365000,1360795025.00000000,1360795025.00000000
2023-03-05,0.00424000,0.00459000,0.00383000,0.00393000,0.00424000,0.00459000,0.00383000,0.00393000,2396367037.00000000,2396367037.00000000
2023-02-26,0.00463000,0.00534000,0.00410000,0.00424000,0.00463000,0.00534000,0.00410000,0.00424000,2872602653.00000000,2872602653.00000000
2023-02-19,0.00400000,0.00565000,0.00363000,0.00462000,0.00400000,0.00565000,0.00363000,0.00462000,5254095530.00000000,5254095530.00000000
2023-02-12,0.00375000,0.00710000,0.00360000,0.00400000,0.00375000,0.00710000,0.00360000,0.00400000,10336902981.00000000,10336902981.00000000
2023-02-05,0.00328000,0.00396000,0.00291000,0.00375000,0.00328000,0.00396000,0.00291000,0.00375000,2910977537.00000000,2910977537.00000000
2023-01-29,0.00302000,0.00399000,0.00300000,0.00328000,0.00302000,0.00399000,0.00300000,0.00328000,2656213011.00000000,2656213011.00000000
2023-01-22,0.00290000,0.00369000,0.00271000,0.00303000,0.00290000,0.00369000,0.00271000,0.00303000,2247531622.00000000,2247531622.00000000
2023-01-15,0.00240000,0.00311000,0.00239000,0.00291000,0.00240000,0.00311000,0.00239000,0.00291000,1902777228.00000000,1902777228.00000000
2023-01-08,0.00228000,0.00244000,0.00225000,0.00241000,0.00228000,0.00244000,0.00225000,0.00241000,541015303.00000000,541015303.00000000
2023-01-01,0.00237000,0.00288000,0.00218000,0.00227000,0.00237000,0.00288000,0.00218000,0.00227000,1971943951.00000000,1971943951.00000000
2022-12-25,0.00245000,0.00257000,0.00227000,0.00236000,0.00245000,0.00257000,0.00227000,0.00236000,1213777234.00000000,1213777234.00000000
2022-12-18,0.00259000,0.00422000,0.00233000,0.00244000,0.00259000,0.00422000,0.00233000,0.00244000,8288630653.00000000,8288630653.00000000
2022-12-11,0.00264000,0.00276000,0.00244000,0.00259000,0.00264000,0.00276000,0.00244000,0.00259000,954161401.00000000,954161401.00000000
2022-12-04,0.00260000,0.00278000,0.00246000,0.00263000,0.00260000,0.00278000,0.00246000,0.00263000,715616111.00000000,715616111.00000000
2022-11-27,0.00246000,0.00288000,0.00235000,0.00259000,0.00246000,0.00288000,0.00235000,0.00259000,1743233261.00000000,1743233261.00000000
2022-11-20,0.00232000,0.00315000,0.00213000,0.00246000,0.00232000,0.00315000,0.00213000,0.00246000,3156311809.00000000,3156311809.00000000
2022-11-13,0.00328000,0.00343000,0.00228000,0.00231000,0.00328000,0.00343000,0.00228000,0.00231000,1738797128.00000000,1738797128.00000000
2022-11-06,0.00331000,0.00365000,0.00316000,0.00328000,0.00331000,0.00365000,0.00316000,0.00328000,1615287709.00000000,1615287709.00000000
2022-10-30,0.00325000,0.00342000,0.00314000,0.00331000,0.00325000,0.00342000,0.00314000,0.00331000,706081922.00000000,706081922.00000000
2022-10-23,0.00324000,0.00355000,0.00303000,0.00325000,0.00324000,0.00355000,0.00303000,0.00325000,916758373.00000000,916758373.00000000
2022-10-16,0.00353000,0.00355000,0.00307000,0.00324000,0.00353000,0.00355000,0.00307000,0.00324000,461697446.00000000,461697446.00000000
2022-10-09,0.00340000,0.00362000,0.00339000,0.00353000,0.00340000,0.00362000,0.00339000,0.00353000,403308930.00000000,403308930.00000000
2022-10-02,0.00351000,0.00361000,0.00337000,0.00341000,0.00351000,0.00361000,0.00337000,0.00341000,636488864.00000000,636488864.00000000
2022-09-25,0.00355000,0.00372000,0.00338000,0.00351000,0.00355000,0.00372000,0.00338000,0.00351000,1241881480.00000000,1241881480.00000000
2022-09-18,0.00420000,0.00425000,0.00351000,0.00354000,0.00420000,0.00425000,0.00351000,0.00354000,1065093547.00000000,1065093547.00000000
2022-09-11,0.00402000,0.00428000,0.00368000,0.00420000,0.00402000,0.00428000,0.00368000,0.00420000,850940090.00000000,850940090.00000000
2022-09-04,0.00393000,0.00433000,0.00385000,0.00402000,0.00393000,0.00433000,0.00385000,0.00402000,1015340996.00000000,1015340996.00000000
2022-08-28,0.00423000,0.00442000,0.00381000,0.00392000,0.00423000,0.00442000,0.00381000,0.00392000,1716793458.00000000,1716793458.00000000
2022-08-21,0.00499000,0.00509000,0.00403000,0.00424000,0.00499000,0.00509000,0.00403000,0.00424000,1185535475.00000000,1185535475.00000000
2022-08-14,0.00472000,0.00526000,0.00443000,0.00500000,0.00472000,0.00526000,0.00443000,0.00500000,2899900048.00000000,2899900048.00000000
2022-08-07,0.00453000,0.00519000,0.00448000,0.00471000,0.00453000,0.00519000,0.00448000,0.00471000,1717441674.00000000,1717441674.00000000
2022-07-31,0.00426000,0.00482000,0.00380000,0.00453000,0.00426000,0.00482000,0.00380000,0.00453000,1667419507.00000000,1667419507.00000000
2022-07-24,0.00396000,0.00500000,0.00396000,0.00426000,0.00396000,0.00500000,0.00396000,0.00426000,4079611191.00000000,4079611191.00000000
2022-07-17,0.00409000,0.00416000,0.00360000,0.00396000,0.00409000,0.00416000,0.00360000,0.00396000,1414288657.00000000,1414288657.00000000
2022-07-10,0.00388000,0.00450000,0.00368000,0.00408000,0.00388000,0.00450000,0.00368000,0.00408000,1820415974.00000000,1820415974.00000000
2022-07-03,0.00398000,0.00422000,0.00345000,0.00388000,0.00398000,0.00422000,0.00345000,0.00388000,1821955902.00000000,1821955902.00000000
2022-06-26,0.00370000,0.00432000,0.00365000,0.00398000,0.00370000,0.00432000,0.00365000,0.00398000,3197936726.00000000,3197936726.00000000
2022-06-19,0.00405000,0.00412000,0.00312000,0.00369000,0.00405000,0.00412000,0.00312000,0.00369000,5275208901.00000000,5275208901.00000000
2022-06-12,0.00559000,0.00594000,0.00405000,0.00405000,0.00559000,0.00594000,0.00405000,0.00405000,2803930756.00000000,2803930756.00000000
2022-06-05,0.00541000,0.00597000,0.00523000,0.00559000,0.00541000,0.00597000,0.00523000,0.00559000,1966946313.00000000,1966946313.00000000
2022-05-29,0.00542000,0.00601000,0.00504000,0.00541000,0.00542000,0.00601000,0.00504000,0.00541000,4807921727.00000000,4807921727.00000000
2022-05-22,0.00570000,0.00570000,0.00470000,0.00542000,0.00570000,0.00570000,0.00470000,0.00542000,2087485074.00000000,2087485074.00000000
2022-05-15,0.00742000,0.00758000,0.00350000,0.00569000,0.00742000,0.00758000,0.00350000,0.00569000,5954023694.00000000,5954023694.00000000
2022-05-08,0.00850000,0.00913000,0.00730000,0.00741000,0.00850000,0.00913000,0.00730000,0.00741000,2003134178.00000000,2003134178.00000000
2022-05-01,0.01015000,0.01021000,0.00789000,0.00850000,0.01015000,0.01021000,0.00789000,0.00850000,2261627997.00000000,2261627997.00000000
2022-04-24,0.01013000,0.01120000,0.00962000,0.01017000,0.01013000,0.01120000,0.00962000,0.01017000,2415862188.00000000,2415862188.00000000
