timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00000934,0.00000936,0.00000926,0.00000930,0.00000934,0.00000936,0.00000926,0.00000930,72279650007.00000000,72279650007.00000000
2023-05-07,0.00001008,0.00001020,0.00000918,0.00000934,0.00001008,0.00001020,0.00000918,0.00000934,13930844437688.00000000,13930844437688.00000000
2023-04-30,0.00001032,0.00001075,0.00000972,0.00001007,0.00001032,0.00001075,0.00000972,0.00001007,11957730471691.00000000,11957730471691.00000000
2023-04-23,0.00001157,0.00001172,0.00001003,0.00001032,0.00001157,0.00001172,0.00001003,0.00001032,22430997438773.00000000,22430997438773.00000000
2023-04-16,0.00001096,0.00001188,0.00001058,0.00001157,0.00001096,0.00001188,0.00001058,0.00001157,22566576328726.00000000,22566576328726.00000000
2023-04-09,0.00001078,0.00001165,0.00001049,0.00001096,0.00001078,0.00001165,0.00001049,0.00001096,27726251555516.00000000,27726251555516.00000000
2023-04-02,0.00001062,0.00001153,0.00001017,0.00001078,0.00001062,0.00001153,0.00001017,0.00001078,27008570788859.00000000,27008570788859.00000000
2023-03-26,0.00001091,0.00001110,0.00001022,0.00001061,0.00001091,0.00001110,0.00001022,0.00001061,27166285446515.00000000,27166285446515.00000000
2023-03-19,0.00001073,0.00001186,0.00001015,0.00001091,0.00001073,0.00001186,0.00001015,0.00001091,45825760250267.00000000,45825760250267.00000000
2023-03-12,0.00001110,0.00001169,0.00000965,0.00001073,0.00001110,0.00001169,0.00000965,0.00001073,37443349253220.00000000,37443349253220.00000000
2023-03-05,0.00001284,0.00001288,0.00001077,0.00001109,0.00001284,0.00001288,0.00001077,0.00001109,19552659960231.00000000,19552659960231.00000000
2023-02-26,0.00001333,0.00001378,0.00001198,0.00001284,0.00001333,0.00001378,0.00001198,0.00001284,30055914249334.00000000,30055914249334.00000000
2023-02-19,0.00001283,0.00001400,0.00001198,0.00001332,0.00001283,0.00001400,0.00001198,0.00001332,44599682097931.00000000,44599682097931.00000000
2023-02-12,0.00001430,0.00001484,0.00001170,0.00001283,0.00001430,0.00001484,0.00001170,0.00001283,50162245663258.00000000,50162245663258.00000000
2023-02-05,0.00001207,0.00001575,0.00001112,0.00001430,0.00001207,0.00001575,0.00001112,0.00001430,76748858961149.00000000,76748858961149.00000000
