timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,2.36100000,2.38500000,2.34900000,2.36800000,2.36100000,2.38500000,2.34900000,2.36800000,142628.40000000,142628.40000000
2023-05-07,2.42700000,2.58400000,2.30500000,2.36000000,2.42700000,2.58400000,2.30500000,2.36000000,14246383.00000000,14246383.00000000
2023-04-30,2.48200000,2.60800000,2.26300000,2.42800000,2.48200000,2.60800000,2.26300000,2.42800000,21629592.40000000,21629592.40000000
2023-04-23,2.83900000,3.08900000,2.40700000,2.48200000,2.83900000,3.08900000,2.40700000,2.48200000,41916629.50000000,41916629.50000000
2023-04-16,2.63200000,2.87300000,2.51100000,2.83900000,2.63200000,2.87300000,2.51100000,2.83900000,24380530.70000000,24380530.70000000
2023-04-09,2.56000000,2.88200000,2.45400000,2.63300000,2.56000000,2.88200000,2.45400000,2.63300000,23961472.80000000,23961472.80000000
2023-04-02,2.46900000,2.66000000,2.28600000,2.56000000,2.46900000,2.66000000,2.28600000,2.56000000,36368317.50000000,36368317.50000000
2023-03-26,2.87000000,3.20500000,2.35000000,2.47000000,2.87000000,3.20500000,2.35000000,2.47000000,55983155.00000000,55983155.00000000
2023-03-19,2.77800000,3.39000000,2.51900000,2.87100000,2.77800000,3.39000000,2.51900000,2.87100000,102392256.70000002,102392256.70000002
2023-03-12,3.10900000,3.29900000,1.98700000,2.78200000,3.10900000,3.29900000,1.98700000,2.78200000,52271194.20000000,52271194.20000000
2023-03-05,2.67200000,3.37000000,2.55700000,3.11100000,2.67200000,3.37000000,2.55700000,3.11100000,54542276.10000001,54542276.10000001
2023-02-26,2.61300000,2.83700000,2.38600000,2.67300000,2.61300000,2.83700000,2.38600000,2.67300000,39865569.80000000,39865569.80000000
2023-02-19,2.35300000,2.78000000,2.21900000,2.61400000,2.35300000,2.78000000,2.21900000,2.61400000,29105749.70000000,29105749.70000000
2023-02-12,2.56200000,3.10000000,2.28200000,2.35200000,2.56200000,3.10000000,2.28200000,2.35200000,32641671.60000000,32641671.60000000
2023-02-05,2.48700000,2.90000000,2.18300000,2.56000000,2.48700000,2.90000000,2.18300000,2.56000000,29397005.40000000,29397005.40000000
2023-01-29,2.59400000,2.68500000,2.27700000,2.48800000,2.59400000,2.68500000,2.27700000,2.48800000,14780581.90000000,14780581.90000000
2023-01-22,2.17300000,2.73000000,1.99100000,2.59500000,2.17300000,2.73000000,1.99100000,2.59500000,28483896.40000000,28483896.40000000
2023-01-15,1.76700000,2.33800000,1.70300000,2.17300000,1.76700000,2.33800000,1.70300000,2.17300000,22029428.10000000,22029428.10000000
2023-01-08,1.47600000,1.77500000,1.45100000,1.76700000,1.47600000,1.77500000,1.45100000,1.76700000,16563568.90000000,16563568.90000000
2023-01-01,1.48100000,1.52700000,1.39600000,1.47700000,1.48100000,1.52700000,1.39600000,1.47700000,12541524.80000000,12541524.80000000
2022-12-25,1.61200000,1.65500000,1.45300000,1.48100000,1.61200000,1.65500000,1.45300000,1.48100000,13103809.40000000,13103809.40000000
2022-12-18,1.92900000,1.93600000,1.50900000,1.61200000,1.92900000,1.93600000,1.50900000,1.61200000,16353269.70000000,16353269.70000000
2022-12-11,1.76600000,2.06000000,1.75600000,1.92900000,1.76600000,2.06000000,1.75600000,1.92900000,24554437.80000000,24554437.80000000
2022-12-04,1.67400000,1.81200000,1.60300000,1.76600000,1.67400000,1.81200000,1.60300000,1.76600000,13594479.80000000,13594479.80000000
2022-11-27,1.66700000,1.81900000,1.54800000,1.67500000,1.66700000,1.81900000,1.54800000,1.67500000,18920581.30000000,18920581.30000000
2022-11-20,1.57200000,1.96800000,1.54200000,1.66700000,1.57200000,1.96800000,1.54200000,1.66700000,22275879.80000000,22275879.80000000
2022-11-13,2.51600000,2.78000000,1.54600000,1.57300000,2.51600000,2.78000000,1.54600000,1.57300000,42218244.10000000,42218244.10000000
2022-11-06,2.44400000,2.79500000,2.32700000,2.51600000,2.44400000,2.79500000,2.32700000,2.51600000,27620032.60000000,27620032.60000000
2022-10-30,2.26900000,2.61800000,2.18600000,2.44400000,2.26900000,2.61800000,2.18600000,2.44400000,24783014.80000000,24783014.80000000
2022-10-23,2.28200000,2.44900000,2.12100000,2.26900000,2.28200000,2.44900000,2.12100000,2.26900000,23326474.20000000,23326474.20000000
2022-10-16,2.25000000,2.36700000,1.86300000,2.28200000,2.25000000,2.36700000,1.86300000,2.28200000,20197272.40000000,20197272.40000000
2022-10-09,2.21700000,2.37200000,2.19300000,2.25000000,2.21700000,2.37200000,2.19300000,2.25000000,14607608.20000000,14607608.20000000
2022-10-02,2.31900000,2.50300000,2.15600000,2.21700000,2.31900000,2.50300000,2.15600000,2.21700000,22935516.80000000,22935516.80000000
2022-09-25,2.43800000,2.55400000,2.24000000,2.31900000,2.43800000,2.55400000,2.24000000,2.31900000,18078688.50000000,18078688.50000000
2022-09-18,2.96200000,3.03700000,2.34300000,2.43900000,2.96200000,3.03700000,2.34300000,2.43900000,18882966.90000000,18882966.90000000
2022-09-11,2.98200000,3.15400000,2.70600000,2.96100000,2.98200000,3.15400000,2.70600000,2.96100000,20980777.00000000,20980777.00000000
2022-09-04,2.97000000,3.57800000,2.78300000,2.98200000,2.97000000,3.57800000,2.78300000,2.98200000,41082555.59999999,41082555.59999999
2022-08-28,3.11300000,3.30000000,2.60700000,2.96700000,3.11300000,3.30000000,2.60700000,2.96700000,33883303.50000001,33883303.50000001
2022-08-21,3.81900000,3.95200000,2.63900000,3.11400000,3.81900000,3.95200000,2.63900000,3.11400000,20649498.10000000,20649498.10000000
2022-08-14,4.08400000,4.34800000,3.70700000,3.82000000,4.08400000,4.34800000,3.70700000,3.82000000,20921016.90000000,20921016.90000000
2022-08-07,3.56200000,4.40400000,3.31500000,4.08100000,3.56200000,4.40400000,3.31500000,4.08100000,39363520.90000000,39363520.90000000
2022-07-31,3.42400000,4.44000000,2.81100000,3.56200000,3.42400000,4.44000000,2.81100000,3.56200000,38595426.80000000,38595426.80000000
2022-07-24,2.65800000,3.53700000,2.65200000,3.42400000,2.65800000,3.53700000,2.65200000,3.42400000,36484126.50000000,36484126.50000000
2022-07-17,2.44400000,2.98000000,2.22100000,2.65600000,2.44400000,2.98000000,2.22100000,2.65600000,30951983.50000000,30951983.50000000
2022-07-10,2.58900000,2.98000000,2.38700000,2.44300000,2.58900000,2.98000000,2.38700000,2.44300000,33126758.80000000,33126758.80000000
2022-07-03,2.66700000,2.85000000,2.10300000,2.59000000,2.66700000,2.85000000,2.10300000,2.59000000,43469001.30000000,43469001.30000000
2022-06-26,2.09300000,3.72300000,1.97100000,2.66700000,2.09300000,3.72300000,1.97100000,2.66700000,110514871.80000001,110514871.80000001
2022-06-19,2.22000000,2.27300000,1.42600000,2.09300000,2.22000000,2.27300000,1.42600000,2.09300000,20732706.45100000,20732706.45100000
2022-06-12,2.60900000,2.91000000,2.18500000,2.22000000,2.60900000,2.91000000,2.18500000,2.22000000,14431899.20000000,14431899.20000000
2022-06-05,2.60600000,3.44400000,2.54600000,2.61000000,2.60600000,3.44400000,2.54600000,2.61000000,21329015.30000000,21329015.30000000
2022-05-29,2.72500000,2.91900000,2.31200000,2.60000000,2.72500000,2.91900000,2.31200000,2.60000000,23712519.50000000,23712519.50000000
2022-05-22,3.05900000,3.10500000,2.34800000,2.72700000,3.05900000,3.10500000,2.34800000,2.72700000,18019434.50000000,18019434.50000000
2022-05-15,4.21800000,4.36800000,2.17700000,3.05900000,4.21800000,4.36800000,2.17700000,3.05900000,32686311.56600000,32686311.56600000
2022-05-08,4.81900000,5.50000000,4.17100000,4.21400000,4.81900000,5.50000000,4.17100000,4.21400000,16073494.10000000,16073494.10000000
2022-05-01,5.88000000,6.78000000,4.22900000,4.82400000,5.88000000,6.78000000,4.22900000,4.82400000,26112404.60000000,26112404.60000000
2022-04-24,4.99300000,7.20000000,4.75500000,5.88000000,4.99300000,7.20000000,4.75500000,5.88000000,28169319.00000000,28169319.00000000
2022-04-17,5.08800000,5.78200000,4.43800000,4.99200000,5.08800000,5.78200000,4.43800000,4.99200000,14759394.70000000,14759394.70000000
