timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,21.65000000,21.81000000,21.50000000,21.66000000,21.65000000,21.81000000,21.50000000,21.66000000,311067.16000000,311067.16000000
2023-05-07,22.73000000,23.23000000,21.23000000,21.66000000,22.73000000,23.23000000,21.23000000,21.66000000,22477592.84000000,22477592.84000000
2023-04-30,21.47000000,23.99000000,20.36000000,22.74000000,21.47000000,23.99000000,20.36000000,22.74000000,28524164.19000000,28524164.19000000
2023-04-23,25.34000000,26.00000000,20.91000000,21.47000000,25.34000000,26.00000000,20.91000000,21.47000000,30025652.76000000,30025652.76000000
2023-04-16,20.29000000,25.49000000,20.08000000,25.34000000,20.29000000,25.49000000,20.08000000,25.34000000,39115609.89000000,39115609.89000000
2023-04-09,20.52000000,21.34000000,19.85000000,20.28000000,20.52000000,21.34000000,19.85000000,20.28000000,14657767.01000000,14657767.01000000
2023-04-02,20.94000000,21.67000000,19.33000000,20.52000000,20.94000000,21.67000000,19.33000000,20.52000000,21475148.25000000,21475148.25000000
2023-03-26,21.86000000,23.91000000,20.09000000,20.94000000,21.86000000,23.91000000,20.09000000,20.94000000,39438731.71000000,39438731.71000000
2023-03-19,20.19000000,22.94000000,18.70000000,21.86000000,20.19000000,22.94000000,18.70000000,21.86000000,50070726.53000000,50070726.53000000
2023-03-12,20.98000000,21.19000000,16.00000000,20.20000000,20.98000000,21.19000000,16.00000000,20.20000000,41649760.05000000,41649760.05000000
2023-03-05,23.25000000,23.41000000,20.20000000,20.97000000,23.25000000,23.41000000,20.20000000,20.97000000,17761874.22000000,17761874.22000000
2023-02-26,24.83000000,27.12000000,21.41000000,23.25000000,24.83000000,27.12000000,21.41000000,23.25000000,40783972.25000000,40783972.25000000
2023-02-19,21.49000000,25.64000000,19.73000000,24.84000000,21.49000000,25.64000000,19.73000000,24.84000000,42248862.47000000,42248862.47000000
2023-02-12,23.46000000,24.24000000,19.68000000,21.49000000,23.46000000,24.24000000,19.68000000,21.49000000,30869792.33000000,30869792.33000000
2023-02-05,26.07000000,26.31000000,22.48000000,23.47000000,26.07000000,26.31000000,22.48000000,23.47000000,37762054.41000000,37762054.41000000
2023-01-29,24.21000000,26.80000000,22.24000000,26.07000000,24.21000000,26.80000000,22.24000000,26.07000000,41897668.31000000,41897668.31000000
2023-01-22,22.90000000,26.60000000,20.34000000,24.21000000,22.90000000,26.60000000,20.34000000,24.21000000,62487437.69000000,62487437.69000000
2023-01-15,14.46000000,25.00000000,14.28000000,22.89000000,14.46000000,25.00000000,14.28000000,22.89000000,92426809.97999999,92426809.97999999
2023-01-08,9.99000000,14.89000000,9.81000000,14.45000000,9.99000000,14.89000000,9.81000000,14.45000000,54667041.05000000,54667041.05000000
2023-01-01,11.39000000,11.49000000,8.00000000,9.99000000,11.39000000,11.49000000,8.00000000,9.99000000,42617644.91100001,42617644.91100001
2022-12-25,12.38000000,12.59000000,11.07000000,11.38000000,12.38000000,12.59000000,11.07000000,11.38000000,12290168.81000000,12290168.81000000
2022-12-18,13.42000000,14.96000000,11.92000000,12.38000000,13.42000000,14.96000000,11.92000000,12.38000000,22751251.12000000,22751251.12000000
2022-12-11,13.71000000,14.38000000,13.27000000,13.42000000,13.71000000,14.38000000,13.27000000,13.42000000,16866570.91000000,16866570.91000000
2022-12-04,14.11000000,14.32000000,12.78000000,13.71000000,14.11000000,14.32000000,12.78000000,13.71000000,20094104.49000000,20094104.49000000
2022-11-27,12.26000000,14.98000000,10.94000000,14.12000000,12.26000000,14.98000000,10.94000000,14.12000000,30809377.05900000,30809377.05900000
2022-11-20,13.18000000,15.10000000,12.07000000,12.27000000,13.18000000,15.10000000,12.07000000,12.27000000,41445238.19000000,41445238.19000000
2022-11-13,32.61000000,33.13000000,12.37000000,13.18000000,32.61000000,33.13000000,12.37000000,13.18000000,135754076.09499997,135754076.09499997
2022-11-06,32.93000000,38.79000000,30.24000000,32.62000000,32.93000000,38.79000000,30.24000000,32.62000000,27119839.35000000,27119839.35000000
2022-10-30,29.28000000,33.84000000,28.05000000,32.94000000,29.28000000,33.84000000,28.05000000,32.94000000,22730168.90000000,22730168.90000000
2022-10-23,30.16000000,31.48000000,26.84000000,29.28000000,30.16000000,31.48000000,26.84000000,29.28000000,14446840.32000000,14446840.32000000
2022-10-16,32.92000000,33.46000000,27.87000000,30.17000000,32.92000000,33.46000000,27.87000000,30.17000000,13257504.70000000,13257504.70000000
2022-10-09,32.06000000,34.50000000,31.73000000,32.92000000,32.06000000,34.50000000,31.73000000,32.92000000,11049426.26000000,11049426.26000000
2022-10-02,32.33000000,35.41000000,31.65000000,32.06000000,32.33000000,35.41000000,31.65000000,32.06000000,20717720.17000000,20717720.17000000
2022-09-25,31.10000000,34.79000000,30.01000000,32.34000000,31.10000000,34.79000000,30.01000000,32.34000000,22005029.38000000,22005029.38000000
2022-09-18,34.99000000,39.01000000,30.86000000,31.10000000,34.99000000,39.01000000,30.86000000,31.10000000,24349554.58000000,24349554.58000000
2022-09-11,32.17000000,36.00000000,30.31000000,34.99000000,32.17000000,36.00000000,30.31000000,34.99000000,19512604.60000000,19512604.60000000
2022-09-04,30.43000000,33.16000000,30.00000000,32.16000000,30.43000000,33.16000000,30.00000000,32.16000000,16639278.09000000,16639278.09000000
2022-08-28,36.48000000,36.56000000,30.19000000,30.44000000,36.48000000,36.56000000,30.19000000,30.44000000,22077203.86000000,22077203.86000000
2022-08-21,44.86000000,47.24000000,34.21000000,36.47000000,44.86000000,47.24000000,34.21000000,36.47000000,28064151.68000000,28064151.68000000
2022-08-14,40.60000000,48.38000000,39.15000000,44.87000000,40.60000000,48.38000000,39.15000000,44.87000000,28492697.50000001,28492697.50000001
2022-08-07,42.34000000,43.26000000,37.43000000,40.60000000,42.34000000,43.26000000,37.43000000,40.60000000,26300852.45000000,26300852.45000000
2022-07-31,40.93000000,46.65000000,34.67000000,42.35000000,40.93000000,46.65000000,34.67000000,42.35000000,34974486.70000000,34974486.70000000
2022-07-24,38.61000000,47.36000000,38.55000000,40.93000000,38.61000000,47.36000000,38.55000000,40.93000000,37936396.31000000,37936396.31000000
2022-07-17,36.71000000,41.09000000,31.82000000,38.62000000,36.71000000,41.09000000,31.82000000,38.62000000,28325542.57000000,28325542.57000000
2022-07-10,33.40000000,39.72000000,32.45000000,36.71000000,33.40000000,39.72000000,32.45000000,36.71000000,29101071.57000000,29101071.57000000
2022-07-03,39.39000000,41.25000000,30.92000000,33.39000000,39.39000000,41.25000000,30.92000000,33.39000000,32137486.49000000,32137486.49000000
2022-06-26,34.19000000,42.92000000,31.73000000,39.39000000,34.19000000,42.92000000,31.73000000,39.39000000,44045964.16000000,44045964.16000000
2022-06-19,30.60000000,36.00000000,25.86000000,34.19000000,30.60000000,36.00000000,25.86000000,34.19000000,72724886.10600001,72724886.10600001
2022-06-12,38.53000000,44.87000000,30.56000000,30.61000000,38.53000000,44.87000000,30.56000000,30.61000000,38889572.94100000,38889572.94100000
2022-06-05,44.98000000,48.39000000,35.71000000,38.52000000,44.98000000,48.39000000,35.71000000,38.52000000,31680429.89000000,31680429.89000000
2022-05-29,52.48000000,54.68000000,39.93000000,44.98000000,52.48000000,54.68000000,39.93000000,44.98000000,34662211.99000000,34662211.99000000
2022-05-22,58.83000000,58.83000000,47.81000000,52.48000000,58.83000000,58.83000000,47.81000000,52.48000000,28533931.25000000,28533931.25000000
