timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.20900000,0.21000000,0.20350000,0.20530000,0.20900000,0.21000000,0.20350000,0.20530000,169495.40000000,169495.40000000
2023-05-07,0.21380000,0.21760000,0.20110000,0.20920000,0.21380000,0.21760000,0.20110000,0.20920000,10796418.90000000,10796418.90000000
2023-04-30,0.21940000,0.22230000,0.20580000,0.21390000,0.21940000,0.22230000,0.20580000,0.21390000,11785109.30000000,11785109.30000000
2023-04-23,0.23600000,0.28000000,0.21270000,0.21950000,0.23600000,0.28000000,0.21270000,0.21950000,69923434.40000001,69923434.40000001
2023-04-16,0.22060000,0.24320000,0.20950000,0.23610000,0.22060000,0.24320000,0.20950000,0.23610000,50299759.90000000,50299759.90000000
2023-04-09,0.20780000,0.35500000,0.20130000,0.22050000,0.20780000,0.35500000,0.20130000,0.22050000,231944015.00000000,231944015.00000000
2023-04-02,0.20930000,0.22400000,0.18860000,0.20750000,0.20930000,0.22400000,0.18860000,0.20750000,25012485.70000000,25012485.70000000
2023-03-26,0.21730000,0.22520000,0.20050000,0.20950000,0.21730000,0.22520000,0.20050000,0.20950000,13947651.70000000,13947651.70000000
2023-03-19,0.18950000,0.22480000,0.18390000,0.21700000,0.18950000,0.22480000,0.18390000,0.21700000,9471512.90000000,9471512.90000000
2023-03-12,0.21380000,0.21390000,0.16480000,0.18960000,0.21380000,0.21390000,0.16480000,0.18960000,10169377.50000000,10169377.50000000
2023-03-05,0.24290000,0.24960000,0.20770000,0.21440000,0.24290000,0.24960000,0.20770000,0.21440000,9356078.70000000,9356078.70000000
2023-02-26,0.23820000,0.25970000,0.22520000,0.24300000,0.23820000,0.25970000,0.22520000,0.24300000,19453257.40000000,19453257.40000000
2023-02-19,0.22110000,0.25300000,0.20250000,0.23850000,0.22110000,0.25300000,0.20250000,0.23850000,27231469.70000000,27231469.70000000
2023-02-12,0.21690000,0.24150000,0.20520000,0.22180000,0.21690000,0.24150000,0.20520000,0.22180000,35609308.40000000,35609308.40000000
2023-02-05,0.20370000,0.23800000,0.18470000,0.21690000,0.20370000,0.23800000,0.18470000,0.21690000,43731973.90000000,43731973.90000000
