timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.33160000,0.33330000,0.33030000,0.33240000,0.33160000,0.33330000,0.33030000,0.33240000,74713.00000000,74713.00000000
2023-05-07,0.35040000,0.35110000,0.33030000,0.33150000,0.35040000,0.35110000,0.33030000,0.33150000,9347615.00000000,9347615.00000000
2023-04-30,0.35720000,0.37240000,0.33490000,0.35030000,0.35720000,0.37240000,0.33490000,0.35030000,11138961.00000000,11138961.00000000
2023-04-23,0.40970000,0.41150000,0.34250000,0.35730000,0.40970000,0.41150000,0.34250000,0.35730000,34337712.00000000,34337712.00000000
2023-04-16,0.39920000,0.41360000,0.37900000,0.40980000,0.39920000,0.41360000,0.37900000,0.40980000,27054517.00000000,27054517.00000000
2023-04-09,0.38240000,0.43840000,0.36350000,0.39900000,0.38240000,0.43840000,0.36350000,0.39900000,60841325.00000000,60841325.00000000
2023-04-02,0.35660000,0.42370000,0.32660000,0.38220000,0.35660000,0.42370000,0.32660000,0.38220000,51484945.00000000,51484945.00000000
2023-03-26,0.39220000,0.39370000,0.34290000,0.35630000,0.39220000,0.39370000,0.34290000,0.35630000,19808567.00000000,19808567.00000000
2023-03-19,0.33230000,0.40250000,0.31830000,0.39240000,0.33230000,0.40250000,0.31830000,0.39240000,53326440.00000000,53326440.00000000
2023-03-12,0.37400000,0.38800000,0.28500000,0.33150000,0.37400000,0.38800000,0.28500000,0.33150000,35191114.00000000,35191114.00000000
2023-03-05,0.44810000,0.45060000,0.36650000,0.37410000,0.44810000,0.45060000,0.36650000,0.37410000,17039755.00000000,17039755.00000000
2023-02-26,0.44150000,0.52790000,0.42160000,0.44840000,0.44150000,0.52790000,0.42160000,0.44840000,105073194.00000000,105073194.00000000
2023-02-19,0.39740000,0.48000000,0.36430000,0.44120000,0.39740000,0.48000000,0.36430000,0.44120000,127713830.00000000,127713830.00000000
2023-02-12,0.44300000,0.51980000,0.31180000,0.39740000,0.44300000,0.51980000,0.31180000,0.39740000,114779300.00000000,114779300.00000000
2023-02-05,0.39410000,0.44880000,0.34240000,0.44280000,0.39410000,0.44880000,0.34240000,0.44280000,78764094.00000000,78764094.00000000
2023-01-29,0.36360000,0.41300000,0.33100000,0.39410000,0.36360000,0.41300000,0.33100000,0.39410000,53030204.00000000,53030204.00000000
2023-01-22,0.34550000,0.38170000,0.31000000,0.36380000,0.34550000,0.38170000,0.31000000,0.36380000,59434006.00000000,59434006.00000000
2023-01-15,0.27120000,0.35160000,0.26840000,0.34570000,0.27120000,0.35160000,0.26840000,0.34570000,75083392.00000000,75083392.00000000
2023-01-08,0.24930000,0.27270000,0.24310000,0.27120000,0.24930000,0.27270000,0.24310000,0.27120000,31462776.00000000,31462776.00000000
2023-01-01,0.26480000,0.26930000,0.23850000,0.24940000,0.26480000,0.26930000,0.23850000,0.24940000,17769638.00000000,17769638.00000000
2022-12-25,0.27310000,0.27690000,0.24220000,0.26500000,0.27310000,0.27690000,0.24220000,0.26500000,28330766.00000000,28330766.00000000
