timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-06-08,0.00333200,0.00342500,0.00325500,0.00339700,0.00333200,0.00342500,0.00325500,0.00339700,76619584.00000000,76619584.00000000
2020-06-07,0.00196500,0.00420000,0.00194100,0.00333200,0.00196500,0.00420000,0.00194100,0.00333200,8599917967.00000000,8599917967.00000000
2020-05-31,0.00138900,0.00230000,0.00134500,0.00196600,0.00138900,0.00230000,0.00134500,0.00196600,3839142908.00000000,3839142908.00000000
2020-05-24,0.00116200,0.00175200,0.00116100,0.00138900,0.00116200,0.00175200,0.00116100,0.00138900,1028387950.00000000,1028387950.00000000
2020-05-17,0.00111600,0.00119100,0.00104400,0.00116500,0.00111600,0.00119100,0.00104400,0.00116500,195916863.00000000,195916863.00000000
2020-05-10,0.00116700,0.00130700,0.00105800,0.00111700,0.00116700,0.00130700,0.00105800,0.00111700,542289132.00000000,542289132.00000000
2020-05-03,0.00111600,0.00128100,0.00089400,0.00116500,0.00111600,0.00128100,0.00089400,0.00116500,826089328.00000000,826089328.00000000
2020-04-26,0.00108200,0.00112400,0.00099300,0.00110500,0.00108200,0.00112400,0.00099300,0.00110500,171053419.00000000,171053419.00000000
2020-04-19,0.00106800,0.00115200,0.00101100,0.00109200,0.00106800,0.00115200,0.00101100,0.00109200,182288451.00000000,182288451.00000000
2020-04-12,0.00115300,0.00127700,0.00103900,0.00106800,0.00115300,0.00127700,0.00103900,0.00106800,447454957.00000000,447454957.00000000
2020-04-05,0.00097100,0.00124200,0.00097100,0.00115000,0.00097100,0.00124200,0.00097100,0.00115000,394553501.00000000,394553501.00000000
2020-03-29,0.00110200,0.00139700,0.00092200,0.00096900,0.00110200,0.00139700,0.00092200,0.00096900,640444235.00000000,640444235.00000000
2020-03-22,0.00087800,0.00127100,0.00068600,0.00110200,0.00087800,0.00127100,0.00068600,0.00110200,573330265.00000000,573330265.00000000
2020-03-15,0.00113100,0.00128000,0.00049600,0.00088300,0.00113100,0.00128000,0.00049600,0.00088300,844853536.00000000,844853536.00000000
2020-03-08,0.00112700,0.00145600,0.00110000,0.00112500,0.00112700,0.00145600,0.00110000,0.00112500,700500626.00000000,700500626.00000000
2020-03-01,0.00132500,0.00134800,0.00097500,0.00112200,0.00132500,0.00134800,0.00097500,0.00112200,267436230.00000000,267436230.00000000
2020-02-23,0.00157500,0.00251400,0.00108800,0.00131500,0.00157500,0.00251400,0.00108800,0.00131500,1196863624.00000000,1196863624.00000000
2020-02-16,0.00124300,0.00169000,0.00115400,0.00159100,0.00124300,0.00169000,0.00115400,0.00159100,930417655.00000000,930417655.00000000
2020-02-09,0.00108700,0.00131600,0.00102700,0.00123300,0.00108700,0.00131600,0.00102700,0.00123300,842787138.00000000,842787138.00000000
2020-02-02,0.00103600,0.00116100,0.00096200,0.00108700,0.00103600,0.00116100,0.00096200,0.00108700,374705147.00000000,374705147.00000000
2020-01-26,0.00107000,0.00114700,0.00099000,0.00102900,0.00107000,0.00114700,0.00099000,0.00102900,120827222.00000000,120827222.00000000
2020-01-19,0.00106600,0.00122100,0.00103600,0.00107300,0.00106600,0.00122100,0.00103600,0.00107300,272131794.00000000,272131794.00000000
2020-01-12,0.00104000,0.00111600,0.00096400,0.00106800,0.00104000,0.00111600,0.00096400,0.00106800,297376293.00000000,297376293.00000000
2020-01-05,0.00111500,0.00114000,0.00101500,0.00104400,0.00111500,0.00114000,0.00101500,0.00104400,248151889.00000000,248151889.00000000
2019-12-29,0.00113500,0.00117400,0.00106500,0.00111700,0.00113500,0.00117400,0.00106500,0.00111700,318090626.00000000,318090626.00000000
2019-12-22,0.00131200,0.00139800,0.00110700,0.00113900,0.00131200,0.00139800,0.00110700,0.00113900,574497141.00000000,574497141.00000000
2019-12-15,0.00159000,0.00160900,0.00124100,0.00131500,0.00159000,0.00160900,0.00124100,0.00131500,348904377.00000000,348904377.00000000
2019-12-08,0.00133200,0.00161300,0.00126400,0.00159200,0.00133200,0.00161300,0.00126400,0.00159200,543827800.00000000,543827800.00000000
2019-12-01,0.00143000,0.00160900,0.00121100,0.00133200,0.00143000,0.00160900,0.00121100,0.00133200,536254988.00000000,536254988.00000000
2019-11-24,0.00151900,0.00187700,0.00135000,0.00143000,0.00151900,0.00187700,0.00135000,0.00143000,908990825.00000000,908990825.00000000
2019-11-17,0.00138900,0.00166400,0.00133600,0.00153200,0.00138900,0.00166400,0.00133600,0.00153200,526926424.00000000,526926424.00000000
2019-11-10,0.00133000,0.00189000,0.00131400,0.00137000,0.00133000,0.00189000,0.00131400,0.00137000,393438143.00000000,393438143.00000000
2019-11-03,0.00134400,0.00140000,0.00125100,0.00133000,0.00134400,0.00140000,0.00125100,0.00133000,113234571.00000000,113234571.00000000
2019-10-27,0.00135500,0.00145800,0.00114500,0.00130800,0.00135500,0.00145800,0.00114500,0.00130800,258535167.00000000,258535167.00000000
2019-10-20,0.00132100,0.00147100,0.00119800,0.00135400,0.00132100,0.00147100,0.00119800,0.00135400,210582211.00000000,210582211.00000000
2019-10-13,0.00122500,0.00142700,0.00120000,0.00132100,0.00122500,0.00142700,0.00120000,0.00132100,79976193.00000000,79976193.00000000
2019-10-06,0.00113800,0.00132900,0.00108100,0.00126500,0.00113800,0.00132900,0.00108100,0.00126500,77694344.00000000,77694344.00000000
2019-09-29,0.00152800,0.00154300,0.00103000,0.00112400,0.00152800,0.00154300,0.00103000,0.00112400,80315091.00000000,80315091.00000000
2019-09-22,0.00150400,0.00175500,0.00125000,0.00155900,0.00150400,0.00175500,0.00125000,0.00155900,123181227.00000000,123181227.00000000
2019-09-15,0.00166800,0.00198800,0.00145300,0.00150400,0.00166800,0.00198800,0.00145300,0.00150400,74045332.00000000,74045332.00000000
2019-09-08,0.00159400,0.00230900,0.00120900,0.00166800,0.00159400,0.00230900,0.00120900,0.00166800,85222329.00000000,85222329.00000000
