timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.73120000,0.74870000,0.72700000,0.74530000,0.73120000,0.74870000,0.72700000,0.74530000,1686148.30000000,1686148.30000000
2023-05-07,0.71750000,0.82770000,0.66830000,0.73140000,0.71750000,0.82770000,0.66830000,0.73140000,187090392.99999997,187090392.99999997
2023-04-30,0.71030000,0.80310000,0.69740000,0.71760000,0.71030000,0.80310000,0.69740000,0.71760000,106514507.50000000,106514507.50000000
2023-04-23,0.85870000,0.87200000,0.67020000,0.71040000,0.85870000,0.87200000,0.67020000,0.71040000,102280854.50000000,102280854.50000000
2023-04-16,0.87440000,1.01000000,0.82650000,0.85860000,0.87440000,1.01000000,0.82650000,0.85860000,173823045.30000001,173823045.30000001
2023-04-09,0.87260000,0.93120000,0.77550000,0.87460000,0.87260000,0.93120000,0.77550000,0.87460000,127549067.09999999,127549067.09999999
2023-04-02,1.00590000,1.05900000,0.85500000,0.87210000,1.00590000,1.05900000,0.85500000,0.87210000,191765915.50000003,191765915.50000003
2023-03-26,1.14190000,1.31150000,0.90440000,1.00590000,1.14190000,1.31150000,0.90440000,1.00590000,378291979.09999996,378291979.09999996
2023-03-19,0.74540000,1.29400000,0.70270000,1.14230000,0.74540000,1.29400000,0.70270000,1.14230000,616042137.29999995,616042137.29999995
2023-03-12,0.74740000,0.76890000,0.52130000,0.74600000,0.74740000,0.76890000,0.52130000,0.74600000,356033667.89999998,356033667.89999998
2023-03-05,0.78060000,1.04910000,0.69950000,0.74760000,0.78060000,1.04910000,0.69950000,0.74760000,583021920.20000005,583021920.20000005
2023-02-26,0.65580000,0.89000000,0.55030000,0.78060000,0.65580000,0.89000000,0.55030000,0.78060000,701156079.59999990,701156079.59999990
2023-02-19,0.29500000,0.70200000,0.28300000,0.65600000,0.29500000,0.70200000,0.28300000,0.65600000,220675394.50000000,220675394.50000000
2023-02-12,0.29800000,0.33900000,0.27700000,0.29600000,0.29800000,0.33900000,0.27700000,0.29600000,51549525.70000000,51549525.70000000
2023-02-05,0.29400000,0.31200000,0.26200000,0.29800000,0.29400000,0.31200000,0.26200000,0.29800000,48286130.80000000,48286130.80000000
2023-01-29,0.27800000,0.31200000,0.26600000,0.29400000,0.27800000,0.31200000,0.26600000,0.29400000,31858177.10000000,31858177.10000000
2023-01-22,0.27100000,0.28400000,0.23900000,0.27700000,0.27100000,0.28400000,0.23900000,0.27700000,28103456.90000000,28103456.90000000
2023-01-15,0.22700000,0.28500000,0.22500000,0.27200000,0.22700000,0.28500000,0.22500000,0.27200000,43192885.90000000,43192885.90000000
2023-01-08,0.21300000,0.22800000,0.21000000,0.22700000,0.21300000,0.22800000,0.21000000,0.22700000,18854388.60000000,18854388.60000000
2023-01-01,0.22900000,0.22900000,0.20400000,0.21300000,0.22900000,0.22900000,0.20400000,0.21300000,18470888.30000000,18470888.30000000
2022-12-25,0.23600000,0.26600000,0.21700000,0.22900000,0.23600000,0.26600000,0.21700000,0.22900000,27975245.90000001,27975245.90000001
2022-12-18,0.28300000,0.32200000,0.22200000,0.23500000,0.28300000,0.32200000,0.22200000,0.23500000,43540826.00000000,43540826.00000000
2022-12-11,0.24900000,0.38000000,0.24100000,0.28300000,0.24900000,0.38000000,0.24100000,0.28300000,85977922.30000000,85977922.30000000
2022-12-04,0.23800000,0.35900000,0.23200000,0.24900000,0.23800000,0.35900000,0.23200000,0.24900000,56931185.70000000,56931185.70000000
2022-11-27,0.22200000,0.25500000,0.20800000,0.23800000,0.22200000,0.25500000,0.20800000,0.23800000,21610895.40000000,21610895.40000000
2022-11-20,0.21800000,0.33500000,0.19900000,0.22100000,0.21800000,0.33500000,0.19900000,0.22100000,49851010.20000001,49851010.20000001
2022-11-13,0.31800000,0.32300000,0.21000000,0.21700000,0.31800000,0.32300000,0.21000000,0.21700000,23531202.90000000,23531202.90000000
2022-11-06,0.31600000,0.34400000,0.27000000,0.31800000,0.31600000,0.34400000,0.27000000,0.31800000,18467181.00000000,18467181.00000000
2022-10-30,0.30500000,0.32600000,0.29500000,0.31700000,0.30500000,0.32600000,0.29500000,0.31700000,12411837.60000000,12411837.60000000
2022-10-23,0.30000000,0.32100000,0.28600000,0.30500000,0.30000000,0.32100000,0.28600000,0.30500000,19156008.10000000,19156008.10000000
2022-10-16,0.33800000,0.33800000,0.28300000,0.30000000,0.33800000,0.33800000,0.28300000,0.30000000,8900961.20000000,8900961.20000000
2022-10-09,0.31600000,0.34500000,0.31300000,0.33800000,0.31600000,0.34500000,0.31300000,0.33800000,11668008.20000000,11668008.20000000
2022-10-02,0.32700000,0.33800000,0.31400000,0.31600000,0.32700000,0.33800000,0.31400000,0.31600000,12362579.60000000,12362579.60000000
2022-09-25,0.32700000,0.35500000,0.31400000,0.32600000,0.32700000,0.35500000,0.31400000,0.32600000,15918854.90000000,15918854.90000000
2022-09-18,0.39000000,0.40000000,0.32400000,0.32600000,0.39000000,0.40000000,0.32400000,0.32600000,12156216.50000000,12156216.50000000
2022-09-11,0.36800000,0.43900000,0.33000000,0.39100000,0.36800000,0.43900000,0.33000000,0.39100000,20657137.20000000,20657137.20000000
2022-09-04,0.35300000,0.37700000,0.35100000,0.36700000,0.35300000,0.37700000,0.35100000,0.36700000,14191232.30000000,14191232.30000000
2022-08-28,0.39500000,0.43000000,0.35200000,0.35200000,0.39500000,0.43000000,0.35200000,0.35200000,18518610.50000000,18518610.50000000
2022-08-21,0.49200000,0.51000000,0.38000000,0.39600000,0.49200000,0.51000000,0.38000000,0.39600000,19302546.40000000,19302546.40000000
