timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.13340000,0.13430000,0.13320000,0.13340000,0.13340000,0.13430000,0.13320000,0.13340000,96654.00000000,96654.00000000
2023-05-07,0.14890000,0.15460000,0.13340000,0.13340000,0.14890000,0.15460000,0.13340000,0.13340000,20313904.00000000,20313904.00000000
2023-04-30,0.15270000,0.16680000,0.14080000,0.14880000,0.15270000,0.16680000,0.14080000,0.14880000,33841649.00000000,33841649.00000000
2023-04-23,0.17460000,0.18800000,0.14740000,0.15280000,0.17460000,0.18800000,0.14740000,0.15280000,37086293.00000000,37086293.00000000
2023-04-16,0.16610000,0.18500000,0.15800000,0.17440000,0.16610000,0.18500000,0.15800000,0.17440000,45019790.00000000,45019790.00000000
2023-04-09,0.16030000,0.16890000,0.15350000,0.16610000,0.16030000,0.16890000,0.15350000,0.16610000,29471190.00000000,29471190.00000000
2023-04-02,0.17140000,0.17450000,0.15540000,0.16020000,0.17140000,0.17450000,0.15540000,0.16020000,22581657.00000000,22581657.00000000
2023-03-26,0.16680000,0.20130000,0.16330000,0.17140000,0.16680000,0.20130000,0.16330000,0.17140000,67047566.00000000,67047566.00000000
2023-03-19,0.15200000,0.17910000,0.14900000,0.16670000,0.15200000,0.17910000,0.14900000,0.16670000,38272860.00000000,38272860.00000000
2023-03-12,0.16350000,0.16460000,0.13180000,0.15190000,0.16350000,0.16460000,0.13180000,0.15190000,27286020.00000000,27286020.00000000
2023-03-05,0.18930000,0.19160000,0.16250000,0.16340000,0.18930000,0.19160000,0.16250000,0.16340000,27179948.00000000,27179948.00000000
2023-02-26,0.19540000,0.21240000,0.17850000,0.18930000,0.19540000,0.21240000,0.17850000,0.18930000,48226454.00000000,48226454.00000000
2023-02-19,0.20900000,0.22800000,0.18030000,0.19560000,0.20900000,0.22800000,0.18030000,0.19560000,84761807.00000000,84761807.00000000
2023-02-12,0.16670000,0.23800000,0.15000000,0.20880000,0.16670000,0.23800000,0.15000000,0.20880000,217956864.00000000,217956864.00000000
2023-02-05,0.16400000,0.18970000,0.15390000,0.16660000,0.16400000,0.18970000,0.15390000,0.16660000,81749159.00000000,81749159.00000000
2023-01-29,0.13530000,0.17100000,0.13530000,0.16340000,0.13530000,0.17100000,0.13530000,0.16340000,68126853.00000000,68126853.00000000
2023-01-22,0.12590000,0.13980000,0.11360000,0.13530000,0.12590000,0.13980000,0.11360000,0.13530000,47388753.00000000,47388753.00000000
2023-01-15,0.10520000,0.13680000,0.10480000,0.12600000,0.10520000,0.13680000,0.10480000,0.12600000,54948108.00000000,54948108.00000000
2023-01-08,0.10020000,0.11050000,0.09690000,0.10510000,0.10020000,0.11050000,0.09690000,0.10510000,15591240.00000000,15591240.00000000
2023-01-01,0.10530000,0.10880000,0.09770000,0.10020000,0.10530000,0.10880000,0.09770000,0.10020000,13719613.00000000,13719613.00000000
2022-12-25,0.10420000,0.12340000,0.10310000,0.10530000,0.10420000,0.12340000,0.10310000,0.10530000,51688552.00000000,51688552.00000000
2022-12-18,0.11840000,0.11850000,0.09880000,0.10430000,0.11840000,0.11850000,0.09880000,0.10430000,28986872.00000000,28986872.00000000
2022-12-11,0.11840000,0.13080000,0.11460000,0.11840000,0.11840000,0.13080000,0.11460000,0.11840000,30377354.00000000,30377354.00000000
2022-12-04,0.11860000,0.12720000,0.11310000,0.11830000,0.11860000,0.12720000,0.11310000,0.11830000,38148263.00000000,38148263.00000000
2022-11-27,0.11600000,0.13020000,0.10680000,0.11860000,0.11600000,0.13020000,0.10680000,0.11860000,41392755.00000000,41392755.00000000
2022-11-20,0.10620000,0.13290000,0.10090000,0.11600000,0.10620000,0.13290000,0.10090000,0.11600000,36691520.00000000,36691520.00000000
2022-11-13,0.15700000,0.15930000,0.10530000,0.10620000,0.15700000,0.15930000,0.10530000,0.10620000,47697701.00000000,47697701.00000000
2022-11-06,0.15010000,0.16500000,0.14660000,0.15700000,0.15010000,0.16500000,0.14660000,0.15700000,35697835.00000000,35697835.00000000
2022-10-30,0.14450000,0.16500000,0.13870000,0.15000000,0.14450000,0.16500000,0.13870000,0.15000000,42462216.00000000,42462216.00000000
2022-10-23,0.14390000,0.17730000,0.13100000,0.14460000,0.14390000,0.17730000,0.13100000,0.14460000,74886435.00000000,74886435.00000000
2022-10-16,0.16150000,0.16270000,0.13000000,0.14410000,0.16150000,0.16270000,0.13000000,0.14410000,28653206.00000000,28653206.00000000
2022-10-09,0.16360000,0.17300000,0.16050000,0.16150000,0.16360000,0.17300000,0.16050000,0.16150000,29108190.00000000,29108190.00000000
2022-10-02,0.17420000,0.18500000,0.16010000,0.16390000,0.17420000,0.18500000,0.16010000,0.16390000,54383610.00000000,54383610.00000000
2022-09-25,0.16200000,0.19140000,0.16050000,0.17420000,0.16200000,0.19140000,0.16050000,0.17420000,103615220.00000000,103615220.00000000
2022-09-18,0.18120000,0.20500000,0.15710000,0.16210000,0.18120000,0.20500000,0.15710000,0.16210000,114415663.00000000,114415663.00000000
2022-09-11,0.14920000,0.19730000,0.13790000,0.18180000,0.14920000,0.19730000,0.13790000,0.18180000,122438351.00000000,122438351.00000000
