timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.94500000,0.95200000,0.94100000,0.95100000,0.94500000,0.95200000,0.94100000,0.95100000,95372.40000000,95372.40000000
2023-05-07,0.98800000,1.01600000,0.94000000,0.94500000,0.98800000,1.01600000,0.94000000,0.94500000,16053589.30000000,16053589.30000000
2023-04-30,1.01900000,1.06400000,0.95100000,0.98800000,1.01900000,1.06400000,0.95100000,0.98800000,22438823.20000000,22438823.20000000
2023-04-23,1.13300000,1.24300000,0.96900000,1.01900000,1.13300000,1.24300000,0.96900000,1.01900000,41276019.20000000,41276019.20000000
2023-04-16,1.05000000,1.15600000,1.01900000,1.13200000,1.05000000,1.15600000,1.01900000,1.13200000,25978154.20000000,25978154.20000000
2023-04-09,1.04400000,1.13200000,1.01500000,1.05100000,1.04400000,1.13200000,1.01500000,1.05100000,32922954.40000000,32922954.40000000
2023-04-02,1.02000000,1.09000000,0.93900000,1.04300000,1.02000000,1.09000000,0.93900000,1.04300000,31105264.60000000,31105264.60000000
2023-03-26,1.06800000,1.07800000,0.96200000,1.01900000,1.06800000,1.07800000,0.96200000,1.01900000,28450772.60000000,28450772.60000000
2023-03-19,0.97700000,1.10200000,0.95400000,1.06800000,0.97700000,1.10200000,0.95400000,1.06800000,41468771.70000000,41468771.70000000
2023-03-12,0.99300000,1.03200000,0.85000000,0.97600000,0.99300000,1.03200000,0.85000000,0.97600000,30238727.20000000,30238727.20000000
2023-03-05,1.22900000,1.23300000,0.99000000,0.99400000,1.22900000,1.23300000,0.99000000,0.99400000,29389711.50000000,29389711.50000000
2023-02-26,1.19500000,1.30200000,1.13300000,1.22900000,1.19500000,1.30200000,1.13300000,1.22900000,51445322.60000000,51445322.60000000
2023-02-19,1.06600000,1.26000000,1.00000000,1.19500000,1.06600000,1.26000000,1.00000000,1.19500000,49492731.00000001,49492731.00000001
2023-02-12,1.09500000,1.20900000,1.01500000,1.06700000,1.09500000,1.20900000,1.01500000,1.06700000,41087742.50000000,41087742.50000000
2023-02-05,1.10800000,1.17600000,0.97100000,1.09600000,1.10800000,1.17600000,0.97100000,1.09600000,43190469.20000000,43190469.20000000
2023-01-29,1.06900000,1.19200000,0.97000000,1.10800000,1.06900000,1.19200000,0.97000000,1.10800000,61380773.80000000,61380773.80000000
2023-01-22,0.92800000,1.07700000,0.86100000,1.06900000,0.92800000,1.07700000,0.86100000,1.06900000,59090480.89999999,59090480.89999999
2023-01-15,0.79400000,0.95400000,0.78000000,0.92900000,0.79400000,0.95400000,0.78000000,0.92900000,52044901.20000000,52044901.20000000
2023-01-08,0.73400000,0.79900000,0.72100000,0.79400000,0.73400000,0.79900000,0.72100000,0.79400000,19380802.60000000,19380802.60000000
2023-01-01,0.75800000,0.77900000,0.70600000,0.73300000,0.75800000,0.77900000,0.70600000,0.73300000,17516702.00000000,17516702.00000000
2022-12-25,0.75000000,0.78900000,0.71500000,0.75800000,0.75000000,0.78900000,0.71500000,0.75800000,15020624.50000000,15020624.50000000
2022-12-18,0.84500000,0.85500000,0.71200000,0.75000000,0.84500000,0.85500000,0.71200000,0.75000000,29217520.50000000,29217520.50000000
2022-12-11,0.89100000,0.91000000,0.83700000,0.84500000,0.89100000,0.91000000,0.83700000,0.84500000,23971612.90000000,23971612.90000000
2022-12-04,0.95600000,0.96700000,0.87500000,0.89100000,0.95600000,0.96700000,0.87500000,0.89100000,36600512.10000000,36600512.10000000
2022-11-27,0.84700000,0.98200000,0.80100000,0.95500000,0.84700000,0.98200000,0.80100000,0.95500000,37099918.20000000,37099918.20000000
2022-11-20,0.87300000,0.94300000,0.82400000,0.84700000,0.87300000,0.94300000,0.82400000,0.84700000,31571955.20000000,31571955.20000000
2022-11-13,1.20000000,1.24000000,0.85100000,0.87400000,1.20000000,1.24000000,0.85100000,0.87400000,75678252.80000000,75678252.80000000
2022-11-06,1.17200000,1.33700000,1.11500000,1.20000000,1.17200000,1.33700000,1.11500000,1.20000000,60635155.79999999,60635155.79999999
2022-10-30,1.02200000,1.25000000,0.99600000,1.17200000,1.02200000,1.25000000,0.99600000,1.17200000,58996983.90000000,58996983.90000000
2022-10-23,1.00700000,1.02800000,0.94100000,1.02100000,1.00700000,1.02800000,0.94100000,1.02100000,21862688.90000000,21862688.90000000
2022-10-16,1.06300000,1.07200000,0.91100000,1.00700000,1.06300000,1.07200000,0.91100000,1.00700000,23137157.90000000,23137157.90000000
2022-10-09,1.03000000,1.10700000,1.01800000,1.06200000,1.03000000,1.10700000,1.01800000,1.06200000,20343768.50000000,20343768.50000000
2022-10-02,1.08000000,1.15500000,1.02700000,1.03000000,1.08000000,1.15500000,1.02700000,1.03000000,39196673.50000000,39196673.50000000
2022-09-25,1.03500000,1.16100000,1.00800000,1.08100000,1.03500000,1.16100000,1.00800000,1.08100000,50354715.30000000,50354715.30000000
2022-09-18,1.18000000,1.22400000,1.02700000,1.03600000,1.18000000,1.22400000,1.02700000,1.03600000,47096099.00000000,47096099.00000000
2022-09-11,1.17000000,1.21900000,1.05300000,1.18000000,1.17000000,1.21900000,1.05300000,1.18000000,39418350.10000000,39418350.10000000
2022-09-04,1.09800000,1.20000000,1.08100000,1.17000000,1.09800000,1.20000000,1.08100000,1.17000000,29149618.70000000,29149618.70000000
2022-08-28,1.22900000,1.30000000,1.09000000,1.09700000,1.22900000,1.30000000,1.09000000,1.09700000,44644104.99999999,44644104.99999999
2022-08-21,1.52600000,1.57600000,1.15600000,1.22900000,1.52600000,1.57600000,1.15600000,1.22900000,52689696.20000000,52689696.20000000
2022-08-14,1.66200000,1.71500000,1.47200000,1.52500000,1.66200000,1.71500000,1.47200000,1.52500000,73175053.00000000,73175053.00000000
2022-08-07,1.33800000,1.70000000,1.31300000,1.66200000,1.33800000,1.70000000,1.31300000,1.66200000,107731108.09999999,107731108.09999999
2022-07-31,1.28700000,1.50000000,1.13900000,1.33800000,1.28700000,1.50000000,1.13900000,1.33800000,71249490.59999999,71249490.59999999
2022-07-24,1.20300000,1.36500000,1.18800000,1.28800000,1.20300000,1.36500000,1.18800000,1.28800000,61743394.60000000,61743394.60000000
2022-07-17,1.19600000,1.21400000,1.05500000,1.20300000,1.19600000,1.21400000,1.05500000,1.20300000,37118037.30000000,37118037.30000000
2022-07-10,1.21800000,1.31100000,1.15800000,1.19500000,1.21800000,1.31100000,1.15800000,1.19500000,44804476.50000000,44804476.50000000
2022-07-03,1.33600000,1.41500000,1.10800000,1.21800000,1.33600000,1.41500000,1.10800000,1.21800000,58840703.80000000,58840703.80000000
2022-06-26,1.22100000,1.55000000,1.20300000,1.33600000,1.22100000,1.55000000,1.20300000,1.33600000,86175879.30000000,86175879.30000000
2022-06-19,1.08300000,1.38000000,0.95600000,1.22100000,1.08300000,1.38000000,0.95600000,1.22100000,139461749.79999998,139461749.79999998
2022-06-12,1.20900000,1.48500000,1.08000000,1.08500000,1.20900000,1.48500000,1.08000000,1.08500000,109062981.80000000,109062981.80000000
2022-06-05,1.17300000,1.39700000,1.14800000,1.21000000,1.17300000,1.39700000,1.14800000,1.21000000,62159263.80000000,62159263.80000000
2022-05-29,1.31300000,1.36900000,1.06400000,1.17300000,1.31300000,1.36900000,1.06400000,1.17300000,71464145.40000001,71464145.40000001
2022-05-22,1.47500000,1.47500000,1.15400000,1.31400000,1.47500000,1.47500000,1.15400000,1.31400000,70792533.80000000,70792533.80000000
2022-05-15,2.08600000,2.15500000,1.02700000,1.47500000,2.08600000,2.15500000,1.02700000,1.47500000,215514703.43800002,215514703.43800002
2022-05-08,2.34700000,2.64300000,2.03900000,2.08600000,2.34700000,2.64300000,2.03900000,2.08600000,79278455.15400000,79278455.15400000
2022-05-01,2.99600000,3.11900000,2.13000000,2.34700000,2.99600000,3.11900000,2.13000000,2.34700000,64855184.16900001,64855184.16900001
2022-04-24,2.87000000,3.54100000,2.75400000,2.99600000,2.87000000,3.54100000,2.75400000,2.99600000,68756438.09999999,68756438.09999999
2022-04-17,3.33000000,3.34500000,2.85400000,2.87000000,3.33000000,3.34500000,2.85400000,2.87000000,41860525.30000000,41860525.30000000
2022-04-10,4.04100000,4.04600000,3.25200000,3.32900000,4.04100000,4.04600000,3.25200000,3.32900000,60894879.60000000,60894879.60000000
2022-04-03,3.57900000,4.39000000,3.54400000,4.04000000,3.57900000,4.39000000,3.54400000,4.04000000,125947297.10000001,125947297.10000001
2022-03-27,2.88000000,3.65000000,2.81400000,3.57800000,2.88000000,3.65000000,2.81400000,3.57800000,62671996.99999999,62671996.99999999
2022-03-20,2.68800000,3.08000000,2.62800000,2.88000000,2.68800000,3.08000000,2.62800000,2.88000000,45336200.00000000,45336200.00000000
2022-03-13,2.70600000,3.15100000,2.59800000,2.68800000,2.70600000,3.15100000,2.59800000,2.68800000,57092273.80000000,57092273.80000000
2022-03-06,2.74900000,3.46000000,2.64300000,2.70700000,2.74900000,3.46000000,2.64300000,2.70700000,84170625.90000001,84170625.90000001
2022-02-27,2.96500000,3.14600000,2.27100000,2.75000000,2.96500000,3.14600000,2.27100000,2.75000000,117548663.19999999,117548663.19999999
2022-02-20,3.57600000,4.05200000,2.86900000,2.96500000,3.57600000,4.05200000,2.86900000,2.96500000,104448820.69999999,104448820.69999999
2022-02-13,3.50500000,4.38800000,3.22700000,3.57600000,3.50500000,4.38800000,3.22700000,3.57600000,170138676.60000002,170138676.60000002
2022-02-06,2.88000000,3.61400000,2.68200000,3.50500000,2.88000000,3.61400000,2.68200000,3.50500000,102409929.00000001,102409929.00000001
2022-01-30,2.78400000,3.17500000,2.27400000,2.88000000,2.78400000,3.17500000,2.27400000,2.88000000,164121086.27200001,164121086.27200001
2022-01-23,4.20600000,4.66500000,2.33600000,2.78400000,4.20600000,4.66500000,2.33600000,2.78400000,198176457.29999998,198176457.29999998
2022-01-16,4.03600000,4.36400000,3.67800000,4.20500000,4.03600000,4.36400000,3.67800000,4.20500000,57662143.09999999,57662143.09999999
2022-01-09,4.88200000,5.24400000,3.80000000,4.03600000,4.88200000,5.24400000,3.80000000,4.03600000,90144307.40000001,90144307.40000001
2022-01-02,5.48400000,5.94600000,4.56100000,4.88300000,5.48400000,5.94600000,4.56100000,4.88300000,80700360.09999999,80700360.09999999
2021-12-26,4.13500000,5.53700000,3.83900000,5.48300000,4.13500000,5.53700000,3.83900000,5.48300000,78007525.89999999,78007525.89999999
2021-12-19,4.42200000,4.51600000,3.81200000,4.13600000,4.42200000,4.51600000,3.81200000,4.13600000,74606881.09999999,74606881.09999999
2021-12-12,4.74000000,5.06400000,4.15100000,4.42200000,4.74000000,5.06400000,4.15100000,4.42200000,98220404.80000000,98220404.80000000
2021-12-05,6.60900000,6.82700000,3.65400000,4.73900000,6.60900000,6.82700000,3.65400000,4.73900000,120805501.97500001,120805501.97500001
2021-11-28,7.10500000,7.57000000,6.00600000,6.60800000,7.10500000,7.57000000,6.00600000,6.60800000,101816092.59999999,101816092.59999999
2021-11-21,7.04700000,7.21000000,5.83000000,7.10600000,7.04700000,7.21000000,5.83000000,7.10600000,85739423.70000002,85739423.70000002
2021-11-14,7.45200000,8.49000000,6.36200000,7.04700000,7.45200000,8.49000000,6.36200000,7.04700000,97387036.89999999,97387036.89999999
2021-11-07,7.22000000,8.13800000,6.90100000,7.45300000,7.22000000,8.13800000,6.90100000,7.45300000,96357988.00000000,96357988.00000000
2021-10-31,6.44300000,8.59000000,5.69000000,7.22000000,6.44300000,8.59000000,5.69000000,7.22000000,156544249.67900002,156544249.67900002
2021-10-24,5.96600000,6.84300000,5.75400000,6.44300000,5.96600000,6.84300000,5.75400000,6.44300000,83481316.40000001,83481316.40000001
