timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-11-28,0.20160000,0.20300000,0.19830000,0.20180000,0.20160000,0.20300000,0.19830000,0.20180000,123942.00000000,123942.00000000
2022-11-27,0.20900000,0.20940000,0.18640000,0.20170000,0.20900000,0.20940000,0.18640000,0.20170000,8753318.00000000,8753318.00000000
2022-11-20,0.21040000,0.28880000,0.20120000,0.20940000,0.21040000,0.28880000,0.20120000,0.20940000,30397212.00000000,30397212.00000000
2022-11-13,0.24690000,0.29360000,0.20920000,0.21080000,0.24690000,0.29360000,0.20920000,0.21080000,20540596.00000000,20540596.00000000
2022-11-06,0.24860000,0.29510000,0.24000000,0.24680000,0.24860000,0.29510000,0.24000000,0.24680000,12729070.00000000,12729070.00000000
2022-10-30,0.22180000,0.34570000,0.21950000,0.24860000,0.22180000,0.34570000,0.21950000,0.24860000,29906841.00000000,29906841.00000000
2022-10-23,0.21350000,0.23080000,0.21010000,0.22180000,0.21350000,0.23080000,0.21010000,0.22180000,7296667.00000000,7296667.00000000
2022-10-16,0.21350000,0.21870000,0.20440000,0.21340000,0.21350000,0.21870000,0.20440000,0.21340000,5514505.00000000,5514505.00000000
2022-10-09,0.21200000,0.26350000,0.21020000,0.21330000,0.21200000,0.26350000,0.21020000,0.21330000,10469498.00000000,10469498.00000000
2022-10-02,0.21080000,0.24500000,0.20800000,0.21230000,0.21080000,0.24500000,0.20800000,0.21230000,14988747.00000000,14988747.00000000
2022-09-25,0.22070000,0.22320000,0.19330000,0.21110000,0.22070000,0.22320000,0.19330000,0.21110000,14023262.00000000,14023262.00000000
2022-09-18,0.24110000,0.24200000,0.21890000,0.22050000,0.24110000,0.24200000,0.21890000,0.22050000,12844644.00000000,12844644.00000000
2022-09-11,0.28530000,0.29650000,0.24090000,0.24150000,0.28530000,0.29650000,0.24090000,0.24150000,25911306.00000000,25911306.00000000
2022-09-04,0.23400000,0.29870000,0.22640000,0.28540000,0.23400000,0.29870000,0.22640000,0.28540000,56472922.00000000,56472922.00000000
2022-08-28,0.19760000,0.25140000,0.18900000,0.23380000,0.19760000,0.25140000,0.18900000,0.23380000,151843041.00000000,151843041.00000000
2022-08-21,0.15020000,0.22770000,0.14380000,0.19740000,0.15020000,0.22770000,0.14380000,0.19740000,261174471.00000000,261174471.00000000
2022-08-14,0.16050000,0.16430000,0.14930000,0.15020000,0.16050000,0.16430000,0.14930000,0.15020000,40924029.00000000,40924029.00000000
2022-08-07,0.16210000,0.17010000,0.15710000,0.16050000,0.16210000,0.17010000,0.15710000,0.16050000,35214776.00000000,35214776.00000000
2022-07-31,0.15810000,0.17300000,0.15360000,0.16240000,0.15810000,0.17300000,0.15360000,0.16240000,71185873.00000000,71185873.00000000
2022-07-24,0.15240000,0.16450000,0.15200000,0.15810000,0.15240000,0.16450000,0.15200000,0.15810000,54802478.00000000,54802478.00000000
2022-07-17,0.15350000,0.17500000,0.14800000,0.15250000,0.15350000,0.17500000,0.14800000,0.15250000,63908714.00000000,63908714.00000000
2022-07-10,0.15030000,0.23440000,0.14750000,0.15360000,0.15030000,0.23440000,0.14750000,0.15360000,67290522.00000000,67290522.00000000
2022-07-03,0.15840000,0.21700000,0.14810000,0.15030000,0.15840000,0.21700000,0.14810000,0.15030000,49133951.00000000,49133951.00000000
2022-06-26,0.16450000,0.16480000,0.15630000,0.15820000,0.16450000,0.16480000,0.15630000,0.15820000,21511428.00000000,21511428.00000000
2022-06-19,0.20950000,0.21280000,0.15790000,0.16440000,0.20950000,0.21280000,0.15790000,0.16440000,28398603.00000000,28398603.00000000
2022-06-12,0.22950000,0.23950000,0.20800000,0.20980000,0.22950000,0.23950000,0.20800000,0.20980000,15628597.00000000,15628597.00000000
2022-06-05,0.23730000,0.25120000,0.22690000,0.22930000,0.23730000,0.25120000,0.22690000,0.22930000,18824209.00000000,18824209.00000000
2022-05-29,0.25370000,0.26390000,0.23160000,0.23690000,0.25370000,0.26390000,0.23160000,0.23690000,26084692.00000000,26084692.00000000
2022-05-22,0.27800000,0.27800000,0.24910000,0.25450000,0.27800000,0.27800000,0.24910000,0.25450000,15173432.00000000,15173432.00000000
2022-05-15,0.35440000,0.35750000,0.26320000,0.27800000,0.35440000,0.35750000,0.26320000,0.27800000,34326737.00000000,34326737.00000000
2022-05-08,0.40000000,0.40150000,0.35230000,0.35430000,0.40000000,0.40150000,0.35230000,0.35430000,23260882.00000000,23260882.00000000
2022-05-01,0.50100000,0.51900000,0.39100000,0.39920000,0.50100000,0.51900000,0.39100000,0.39920000,29839099.00000000,29839099.00000000
2022-04-24,0.56060000,0.56580000,0.50010000,0.50070000,0.56060000,0.56580000,0.50010000,0.50070000,12693450.00000000,12693450.00000000
2022-04-17,0.53400000,0.59870000,0.51010000,0.56090000,0.53400000,0.59870000,0.51010000,0.56090000,43734592.00000000,43734592.00000000
2022-04-10,0.61880000,0.61880000,0.52750000,0.53370000,0.61880000,0.61880000,0.52750000,0.53370000,27714007.00000000,27714007.00000000
2022-04-03,0.57060000,0.63000000,0.55530000,0.61880000,0.57060000,0.63000000,0.55530000,0.61880000,52010850.00000000,52010850.00000000
2022-03-27,0.54340000,0.57640000,0.53880000,0.57120000,0.54340000,0.57640000,0.53880000,0.57120000,16852214.00000000,16852214.00000000
2022-03-20,0.54230000,0.56410000,0.53350000,0.54450000,0.54230000,0.56410000,0.53350000,0.54450000,10463778.00000000,10463778.00000000
2022-03-13,0.56100000,0.68880000,0.52720000,0.54220000,0.56100000,0.68880000,0.52720000,0.54220000,21758960.00000000,21758960.00000000
2022-03-06,0.57230000,0.61810000,0.55770000,0.56180000,0.57230000,0.61810000,0.55770000,0.56180000,13745818.00000000,13745818.00000000
2022-02-27,0.63110000,0.65150000,0.56770000,0.57200000,0.63110000,0.65150000,0.56770000,0.57200000,20648930.00000000,20648930.00000000
2022-02-20,0.68240000,0.70650000,0.62980000,0.63000000,0.68240000,0.70650000,0.62980000,0.63000000,11341498.00000000,11341498.00000000
2022-02-13,0.73050000,0.81850000,0.67820000,0.68040000,0.73050000,0.81850000,0.67820000,0.68040000,25975805.00000000,25975805.00000000
2022-02-06,0.68120000,0.75020000,0.67010000,0.73040000,0.68120000,0.75020000,0.67010000,0.73040000,10999734.00000000,10999734.00000000
2022-01-30,0.74900000,0.83590000,0.65890000,0.68120000,0.74900000,0.83590000,0.65890000,0.68120000,21102942.00000000,21102942.00000000
2022-01-23,1.21620000,1.22230000,0.71990000,0.74950000,1.21620000,1.22230000,0.71990000,0.74950000,22357197.00000000,22357197.00000000
2022-01-16,0.84870000,1.27170000,0.82570000,1.21540000,0.84870000,1.27170000,0.82570000,1.21540000,39500116.00000000,39500116.00000000
2022-01-09,0.99530000,1.00000000,0.84100000,0.84890000,0.99530000,1.00000000,0.84100000,0.84890000,8202839.00000000,8202839.00000000
2022-01-02,1.04530000,1.12000000,0.99070000,0.99720000,1.04530000,1.12000000,0.99070000,0.99720000,7127555.00000000,7127555.00000000
2021-12-26,0.91160000,1.09000000,0.88450000,1.04530000,0.91160000,1.09000000,0.88450000,1.04530000,13430882.00000000,13430882.00000000
2021-12-19,1.02240000,1.04630000,0.89740000,0.91150000,1.02240000,1.04630000,0.89740000,0.91150000,8533445.00000000,8533445.00000000
2021-12-12,1.01530000,1.08650000,1.00010000,1.02100000,1.01530000,1.08650000,1.00010000,1.02100000,16605761.00000000,16605761.00000000
2021-12-05,0.93100000,1.52090000,0.92470000,1.01370000,0.93100000,1.52090000,0.92470000,1.01370000,76691725.00000000,76691725.00000000
2021-11-28,1.11100000,1.15600000,0.90310000,0.93100000,1.11100000,1.15600000,0.90310000,0.93100000,17709842.00000000,17709842.00000000
2021-11-21,1.23940000,1.35800000,0.96910000,1.11090000,1.23940000,1.35800000,0.96910000,1.11090000,40886935.00000000,40886935.00000000
2021-11-14,1.11200000,1.35450000,1.09540000,1.23940000,1.11200000,1.35450000,1.09540000,1.23940000,39571584.00000000,39571584.00000000
2021-11-07,0.89230000,1.17200000,0.88130000,1.11170000,0.89230000,1.17200000,0.88130000,1.11170000,44590318.00000000,44590318.00000000
2021-10-31,0.89660000,0.92240000,0.86510000,0.89210000,0.89660000,0.92240000,0.86510000,0.89210000,19481980.00000000,19481980.00000000
2021-10-24,0.83190000,0.98000000,0.79270000,0.89710000,0.83190000,0.98000000,0.79270000,0.89710000,29058857.00000000,29058857.00000000
2021-10-17,0.72070000,0.91810000,0.72010000,0.83150000,0.72070000,0.91810000,0.72010000,0.83150000,70380213.00000000,70380213.00000000
2021-10-10,0.61480000,0.75240000,0.60110000,0.72180000,0.61480000,0.75240000,0.60110000,0.72180000,62545647.00000000,62545647.00000000
2021-10-03,0.58100000,0.63350000,0.57720000,0.61440000,0.58100000,0.63350000,0.57720000,0.61440000,35628828.00000000,35628828.00000000
2021-09-26,0.63260000,0.90350000,0.57420000,0.58040000,0.63260000,0.90350000,0.57420000,0.58040000,131680769.00000000,131680769.00000000
2021-09-19,0.63200000,0.73290000,0.59450000,0.63340000,0.63200000,0.73290000,0.59450000,0.63340000,86849102.00000000,86849102.00000000
2021-09-12,0.77240000,0.79750000,0.58530000,0.63200000,0.77240000,0.79750000,0.58530000,0.63200000,55442108.00000000,55442108.00000000
2021-09-05,0.79510000,0.88280000,0.75690000,0.77150000,0.79510000,0.88280000,0.75690000,0.77150000,77133944.00000000,77133944.00000000
