timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.06919000,0.06940000,0.06901000,0.06919000,0.06919000,0.06940000,0.06901000,0.06919000,10386033.90000000,10386033.90000000
2023-05-07,0.06714000,0.07137000,0.06676000,0.06920000,0.06714000,0.07137000,0.06676000,0.06920000,2362479253.50000000,2362479253.50000000
2023-04-30,0.06671000,0.06823000,0.06388000,0.06713000,0.06671000,0.06823000,0.06388000,0.06713000,2004027583.59999990,2004027583.59999990
2023-04-23,0.06655000,0.06716000,0.06430000,0.06671000,0.06655000,0.06716000,0.06430000,0.06671000,2283170641.90000010,2283170641.90000010
2023-04-16,0.06661000,0.06780000,0.06211000,0.06655000,0.06661000,0.06780000,0.06211000,0.06655000,2782389612.79999971,2782389612.79999971
2023-04-09,0.06518000,0.06688000,0.06428000,0.06662000,0.06518000,0.06688000,0.06428000,0.06662000,2114625920.50000000,2114625920.50000000
2023-04-02,0.06413000,0.06720000,0.06186000,0.06518000,0.06413000,0.06720000,0.06186000,0.06518000,2739036193.39999962,2739036193.39999962
2023-03-26,0.06651000,0.06836000,0.05680000,0.06412000,0.06651000,0.06836000,0.05680000,0.06412000,4761658816.00000000,4761658816.00000000
2023-03-19,0.06459000,0.06900000,0.06341000,0.06650000,0.06459000,0.06900000,0.06341000,0.06650000,4610285334.39999962,4610285334.39999962
2023-03-12,0.06724000,0.06772000,0.05484000,0.06458000,0.06724000,0.06772000,0.05484000,0.06458000,4495887956.50000000,4495887956.50000000
2023-03-05,0.06952000,0.07036000,0.06604000,0.06725000,0.06952000,0.07036000,0.06604000,0.06725000,2084856584.70000005,2084856584.70000005
2023-02-26,0.07038000,0.07307000,0.06678000,0.06951000,0.07038000,0.07307000,0.06678000,0.06951000,2818703780.79999971,2818703780.79999971
2023-02-19,0.06388000,0.07168000,0.06293000,0.07038000,0.06388000,0.07168000,0.06293000,0.07038000,3663853338.40000010,3663853338.40000010
2023-02-12,0.06412000,0.07134000,0.06192000,0.06388000,0.06412000,0.07134000,0.06192000,0.06388000,3288703785.79999971,3288703785.79999971
2023-02-05,0.06376000,0.06575000,0.06138000,0.06411000,0.06376000,0.06575000,0.06138000,0.06411000,3245703990.60000038,3245703990.60000038
2023-01-29,0.06166000,0.06475000,0.05921000,0.06378000,0.06166000,0.06475000,0.05921000,0.06378000,2958439294.09999990,2958439294.09999990
2023-01-22,0.06232000,0.06379000,0.05879000,0.06166000,0.06232000,0.06379000,0.05879000,0.06166000,2633979962.90000010,2633979962.90000010
2023-01-15,0.05439000,0.06576000,0.05366000,0.06231000,0.05439000,0.06576000,0.05366000,0.06231000,3984742342.09999943,3984742342.09999943
2023-01-08,0.05480000,0.05574000,0.04976000,0.05439000,0.05480000,0.05574000,0.04976000,0.05439000,3962083346.59999990,3962083346.59999990
2023-01-01,0.05480000,0.05524000,0.05321000,0.05481000,0.05480000,0.05524000,0.05321000,0.05481000,1842825208.20000005,1842825208.20000005
2022-12-25,0.05378000,0.05586000,0.05305000,0.05481000,0.05378000,0.05586000,0.05305000,0.05481000,1989276159.79999995,1989276159.79999995
2022-12-18,0.05397000,0.05765000,0.05189000,0.05378000,0.05397000,0.05765000,0.05189000,0.05378000,3506821638.30000019,3506821638.30000019
2022-12-11,0.05309000,0.05593000,0.05241000,0.05397000,0.05309000,0.05593000,0.05241000,0.05397000,2398491838.69999981,2398491838.69999981
2022-12-04,0.05327000,0.05513000,0.05189000,0.05309000,0.05327000,0.05513000,0.05189000,0.05309000,2917764491.19999981,2917764491.19999981
2022-11-27,0.05008000,0.05425000,0.04893000,0.05327000,0.05008000,0.05425000,0.04893000,0.05327000,4646527361.00000000,4646527361.00000000
2022-11-20,0.05085000,0.05287000,0.04526000,0.05008000,0.05085000,0.05287000,0.04526000,0.05008000,5705310035.80000019,5705310035.80000019
2022-11-13,0.06268000,0.06550000,0.05038000,0.05084000,0.06268000,0.06550000,0.05038000,0.05084000,9089239499.10000038,9089239499.10000038
2022-11-06,0.06310000,0.06536000,0.06140000,0.06268000,0.06310000,0.06536000,0.06140000,0.06268000,2694930359.00000000,2694930359.00000000
