timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.99860000,0.99880000,0.99840000,0.99880000,0.99860000,0.99880000,0.99840000,0.99880000,5835795.00000000,5835795.00000000
2023-05-07,1.00830000,1.20820000,0.99810000,0.99870000,1.00830000,1.20820000,0.99810000,0.99870000,1932311062.00000000,1932311062.00000000
2023-04-30,0.99960000,1.01160000,0.99820000,1.00830000,0.99960000,1.01160000,0.99820000,1.00830000,1196186494.00000000,1196186494.00000000
2023-04-23,0.99940000,1.00000000,0.99920000,0.99960000,0.99940000,1.00000000,0.99920000,0.99960000,905003862.00000000,905003862.00000000
2023-04-16,0.99990000,1.00400000,0.99870000,0.99930000,0.99990000,1.00400000,0.99870000,0.99930000,888576282.00000000,888576282.00000000
2023-04-09,0.99930000,1.00010000,0.99900000,0.99990000,0.99930000,1.00010000,0.99900000,0.99990000,616174774.00000000,616174774.00000000
2023-04-02,0.99890000,1.00760000,0.99860000,0.99940000,0.99890000,1.00760000,0.99860000,0.99940000,853469671.00000000,853469671.00000000
2023-03-26,0.99700000,0.99990000,0.99600000,0.99890000,0.99700000,0.99990000,0.99600000,0.99890000,405403188.00000000,405403188.00000000
2023-03-19,0.99420000,0.99950000,0.98650000,0.99700000,0.99420000,0.99950000,0.98650000,0.99700000,55653964.00000000,55653964.00000000
2023-03-12,1.00000000,1.19000000,0.96120000,0.99400000,1.00000000,1.19000000,0.96120000,0.99400000,39325016.00000000,39325016.00000000
2022-09-25,1.00000000,1.00030000,0.99980000,1.00000000,1.00000000,1.00030000,0.99980000,1.00000000,59132158.00000000,59132158.00000000
2022-09-18,0.99980000,1.00030000,0.99970000,1.00000000,0.99980000,1.00030000,0.99970000,1.00000000,56670678.00000000,56670678.00000000
2022-09-11,0.99990000,1.00020000,0.99950000,0.99980000,0.99990000,1.00020000,0.99950000,0.99980000,66631482.00000000,66631482.00000000
2022-09-04,1.00000000,1.00020000,0.99990000,0.99990000,1.00000000,1.00020000,0.99990000,0.99990000,101652097.00000000,101652097.00000000
2022-08-28,1.00000000,1.00020000,0.99980000,1.00010000,1.00000000,1.00020000,0.99980000,1.00010000,89465489.00000000,89465489.00000000
2022-08-21,0.99980000,1.00010000,0.99960000,1.00000000,0.99980000,1.00010000,0.99960000,1.00000000,101971609.00000000,101971609.00000000
2022-08-14,0.99990000,1.00000000,0.99940000,0.99980000,0.99990000,1.00000000,0.99940000,0.99980000,76302238.00000000,76302238.00000000
2022-08-07,0.99960000,1.00000000,0.99960000,0.99990000,0.99960000,1.00000000,0.99960000,0.99990000,70139364.00000000,70139364.00000000
2022-07-31,0.99990000,1.00000000,0.99950000,0.99970000,0.99990000,1.00000000,0.99950000,0.99970000,93560271.00000000,93560271.00000000
2022-07-24,1.00040000,1.00040000,0.99980000,1.00000000,1.00040000,1.00040000,0.99980000,1.00000000,74684142.00000000,74684142.00000000
2022-07-17,1.00070000,1.00110000,1.00010000,1.00040000,1.00070000,1.00110000,1.00010000,1.00040000,63835085.00000000,63835085.00000000
2022-07-10,1.00120000,1.00130000,1.00050000,1.00070000,1.00120000,1.00130000,1.00050000,1.00070000,66913196.00000000,66913196.00000000
2022-07-03,1.00060000,1.00160000,1.00060000,1.00120000,1.00060000,1.00160000,1.00060000,1.00120000,79927010.00000000,79927010.00000000
2022-06-26,1.00130000,1.00150000,1.00060000,1.00070000,1.00130000,1.00150000,1.00060000,1.00070000,46889216.00000000,46889216.00000000
2022-06-19,1.00130000,1.00400000,1.00100000,1.00130000,1.00130000,1.00400000,1.00100000,1.00130000,280479445.00000000,280479445.00000000
2022-06-12,1.00090000,1.00150000,1.00050000,1.00120000,1.00090000,1.00150000,1.00050000,1.00120000,160207906.00000000,160207906.00000000
2022-06-05,1.00110000,1.00120000,1.00060000,1.00090000,1.00110000,1.00120000,1.00060000,1.00090000,141588642.00000000,141588642.00000000
2022-05-29,1.00100000,1.00130000,1.00090000,1.00110000,1.00100000,1.00130000,1.00090000,1.00110000,140166702.00000000,140166702.00000000
2022-05-22,1.00120000,1.00160000,1.00070000,1.00100000,1.00120000,1.00160000,1.00070000,1.00100000,150957450.00000000,150957450.00000000
2022-05-15,1.00040000,1.08800000,0.99850000,1.00120000,1.00040000,1.08800000,0.99850000,1.00120000,465620776.58999997,465620776.58999997
2022-05-08,1.00000000,1.00050000,0.99990000,1.00040000,1.00000000,1.00050000,0.99990000,1.00040000,192932854.00000000,192932854.00000000
2022-05-01,0.99980000,1.00020000,0.99970000,1.00000000,0.99980000,1.00020000,0.99970000,1.00000000,148420941.00000000,148420941.00000000
2022-04-24,0.99970000,1.00000000,0.99970000,0.99980000,0.99970000,1.00000000,0.99970000,0.99980000,110431165.00000000,110431165.00000000
2022-04-17,0.99970000,1.00010000,0.99970000,0.99970000,0.99970000,1.00010000,0.99970000,0.99970000,102968533.00000000,102968533.00000000
2022-04-10,0.99980000,1.00010000,0.99950000,0.99970000,0.99980000,1.00010000,0.99950000,0.99970000,167477808.00000000,167477808.00000000
2022-04-03,0.99970000,0.99990000,0.99940000,0.99980000,0.99970000,0.99990000,0.99940000,0.99980000,159093639.00000000,159093639.00000000
2022-03-27,0.99950000,0.99980000,0.99930000,0.99970000,0.99950000,0.99980000,0.99930000,0.99970000,161978597.00000000,161978597.00000000
2022-03-20,0.99980000,1.00000000,0.99920000,0.99950000,0.99980000,1.00000000,0.99920000,0.99950000,145451195.00000000,145451195.00000000
2022-03-13,0.99990000,1.00000000,0.99950000,0.99980000,0.99990000,1.00000000,0.99950000,0.99980000,175129308.00000000,175129308.00000000
2022-03-06,0.99960000,1.00010000,0.99950000,0.99990000,0.99960000,1.00010000,0.99950000,0.99990000,175439959.00000000,175439959.00000000
2022-02-27,0.99960000,0.99980000,0.99950000,0.99960000,0.99960000,0.99980000,0.99950000,0.99960000,140085425.00000000,140085425.00000000
2022-02-20,0.99940000,0.99960000,0.99940000,0.99960000,0.99940000,0.99960000,0.99940000,0.99960000,87975617.00000000,87975617.00000000
2022-02-13,0.99950000,0.99950000,0.99930000,0.99950000,0.99950000,0.99950000,0.99930000,0.99950000,203897485.00000000,203897485.00000000
2022-02-06,0.99970000,0.99980000,0.99940000,0.99940000,0.99970000,0.99980000,0.99940000,0.99940000,157414388.00000000,157414388.00000000
2022-01-30,0.99980000,0.99990000,0.99950000,0.99970000,0.99980000,0.99990000,0.99950000,0.99970000,174516279.00000000,174516279.00000000
2022-01-23,0.99970000,1.00000000,0.99970000,0.99990000,0.99970000,1.00000000,0.99970000,0.99990000,185586077.00000000,185586077.00000000
2022-01-16,0.99990000,1.00000000,0.99960000,0.99980000,0.99990000,1.00000000,0.99960000,0.99980000,178734969.00000000,178734969.00000000
2022-01-09,0.99990000,1.00030000,0.99970000,1.00000000,0.99990000,1.00030000,0.99970000,1.00000000,247544841.00000000,247544841.00000000
2022-01-02,0.99960000,1.00010000,0.99950000,0.99980000,0.99960000,1.00010000,0.99950000,0.99980000,248985290.00000000,248985290.00000000
2021-12-26,0.99970000,0.99980000,0.99950000,0.99950000,0.99970000,0.99980000,0.99950000,0.99950000,231313947.00000000,231313947.00000000
2021-12-19,0.99940000,0.99990000,0.99940000,0.99960000,0.99940000,0.99990000,0.99940000,0.99960000,283626402.00000000,283626402.00000000
2021-12-12,0.99870000,0.99970000,0.99870000,0.99940000,0.99870000,0.99970000,0.99870000,0.99940000,410302485.00000000,410302485.00000000
2021-12-05,0.99960000,0.99960000,0.99100000,0.99880000,0.99960000,0.99960000,0.99100000,0.99880000,515295087.00000000,515295087.00000000
2021-11-28,0.99930000,1.00000000,0.99870000,0.99960000,0.99930000,1.00000000,0.99870000,0.99960000,546647255.00000000,546647255.00000000
2021-11-21,0.99980000,1.00000000,0.99910000,0.99920000,0.99980000,1.00000000,0.99910000,0.99920000,442514902.00000000,442514902.00000000
2021-11-14,0.99930000,1.00000000,0.99920000,0.99970000,0.99930000,1.00000000,0.99920000,0.99970000,194374480.00000000,194374480.00000000
2021-11-07,0.99940000,0.99980000,0.99910000,0.99930000,0.99940000,0.99980000,0.99910000,0.99930000,87110383.00000000,87110383.00000000
2021-10-31,1.00000000,1.00020000,0.99870000,0.99940000,1.00000000,1.00020000,0.99870000,0.99940000,103351857.00000000,103351857.00000000
2021-10-24,1.00010000,1.00050000,0.99970000,0.99990000,1.00010000,1.00050000,0.99970000,0.99990000,66967884.00000000,66967884.00000000
2021-10-17,0.99960000,1.00060000,0.99960000,1.00010000,0.99960000,1.00060000,0.99960000,1.00010000,47615579.00000000,47615579.00000000
2021-10-10,0.99960000,0.99970000,0.99950000,0.99960000,0.99960000,0.99970000,0.99950000,0.99960000,50718764.00000000,50718764.00000000
2021-10-03,0.99970000,1.00010000,0.99950000,0.99950000,0.99970000,1.00010000,0.99950000,0.99950000,61726372.00000000,61726372.00000000
2021-09-26,0.99990000,1.00090000,0.99930000,0.99980000,0.99990000,1.00090000,0.99930000,0.99980000,98406726.00000000,98406726.00000000
2021-09-19,1.00000000,1.00000000,0.99950000,0.99990000,1.00000000,1.00000000,0.99950000,0.99990000,68287713.00000000,68287713.00000000
2021-09-12,0.99950000,1.00010000,0.99900000,0.99990000,0.99950000,1.00010000,0.99900000,0.99990000,88174353.00000000,88174353.00000000
2021-09-05,0.99930000,0.99980000,0.99930000,0.99960000,0.99930000,0.99980000,0.99930000,0.99960000,55930888.00000000,55930888.00000000
2021-08-29,0.99940000,1.00010000,0.99930000,0.99940000,0.99940000,1.00010000,0.99930000,0.99940000,55016877.95000000,55016877.95000000
2021-08-22,0.99940000,1.00000000,0.99930000,0.99940000,0.99940000,1.00000000,0.99930000,0.99940000,59300227.88000000,59300227.88000000
2021-08-15,0.99940000,0.99980000,0.99930000,0.99930000,0.99940000,0.99980000,0.99930000,0.99930000,63954847.68000000,63954847.68000000
2021-08-08,0.99960000,1.00030000,0.99920000,0.99930000,0.99960000,1.00030000,0.99920000,0.99930000,66826175.66000000,66826175.66000000
2021-08-01,0.99950000,1.00240000,0.99920000,0.99960000,0.99950000,1.00240000,0.99920000,0.99960000,58175556.29000001,58175556.29000001
2021-07-25,0.99980000,1.00090000,0.99920000,0.99950000,0.99980000,1.00090000,0.99920000,0.99950000,50311697.99000001,50311697.99000001
2021-07-18,1.00000000,1.00210000,0.99920000,0.99980000,1.00000000,1.00210000,0.99920000,0.99980000,29164881.06000000,29164881.06000000
2021-07-11,0.99980000,1.00060000,0.99940000,1.00000000,0.99980000,1.00060000,0.99940000,1.00000000,27028692.51000000,27028692.51000000
2021-07-04,0.99990000,1.00060000,0.99900000,0.99990000,0.99990000,1.00060000,0.99900000,0.99990000,32884048.64000000,32884048.64000000
2021-06-27,1.00030000,1.00130000,0.99670000,0.99980000,1.00030000,1.00130000,0.99670000,0.99980000,90103576.03000000,90103576.03000000
2021-06-20,1.00000000,1.00130000,0.99930000,1.00020000,1.00000000,1.00130000,0.99930000,1.00020000,57746604.58000000,57746604.58000000
2021-06-13,0.99980000,1.00050000,0.99880000,0.99990000,0.99980000,1.00050000,0.99880000,0.99990000,72166441.95000000,72166441.95000000
2021-06-06,0.99940000,1.00180000,0.99900000,0.99980000,0.99940000,1.00180000,0.99900000,0.99980000,91123772.69000000,91123772.69000000
2021-05-30,0.99840000,1.00040000,0.99690000,0.99940000,0.99840000,1.00040000,0.99690000,0.99940000,144166999.44999999,144166999.44999999
2021-05-23,0.99950000,3.00000000,0.98600000,0.99840000,0.99950000,3.00000000,0.98600000,0.99840000,298664471.35999995,298664471.35999995
2021-05-16,0.99910000,1.00970000,0.99710000,0.99950000,0.99910000,1.00970000,0.99710000,0.99950000,213019174.70000002,213019174.70000002
2021-05-09,0.99940000,1.00150000,0.98800000,0.99900000,0.99940000,1.00150000,0.98800000,0.99900000,205881347.54000002,205881347.54000002
2021-05-02,0.99900000,1.00070000,0.99000000,0.99940000,0.99900000,1.00070000,0.99000000,0.99940000,88126572.35000001,88126572.35000001
2021-04-25,0.99810000,1.00310000,0.99650000,0.99910000,0.99810000,1.00310000,0.99650000,0.99910000,133894003.00000000,133894003.00000000
2021-04-18,1.00070000,1.00360000,0.98300000,0.99800000,1.00070000,1.00360000,0.98300000,0.99800000,188792646.91000000,188792646.91000000
2021-04-11,0.99990000,1.00800000,0.99800000,1.00060000,0.99990000,1.00800000,0.99800000,1.00060000,125945370.32000001,125945370.32000001
2021-04-04,1.00020000,1.01300000,0.99300000,0.99980000,1.00020000,1.01300000,0.99300000,0.99980000,75341342.67000000,75341342.67000000
2021-03-28,0.99970000,1.01990000,0.99700000,1.00020000,0.99970000,1.01990000,0.99700000,1.00020000,68731790.22999999,68731790.22999999
2021-03-21,0.99990000,1.00510000,0.99600000,0.99970000,0.99990000,1.00510000,0.99600000,0.99970000,96372082.09999999,96372082.09999999
2021-03-14,0.99970000,1.00840000,0.99830000,0.99990000,0.99970000,1.00840000,0.99830000,0.99990000,104193863.43000001,104193863.43000001
2021-03-07,0.99840000,1.00160000,0.99010000,0.99970000,0.99840000,1.00160000,0.99010000,0.99970000,84661223.47999999,84661223.47999999
2021-02-28,0.99910000,1.01990000,0.98000000,0.99830000,0.99910000,1.01990000,0.98000000,0.99830000,119872393.78000000,119872393.78000000
2021-02-21,0.99890000,1.02060000,0.97000000,0.99900000,0.99890000,1.02060000,0.97000000,0.99900000,126368327.30000001,126368327.30000001
2021-02-14,0.99820000,1.00380000,0.96780000,0.99890000,0.99820000,1.00380000,0.96780000,0.99890000,135713358.23000002,135713358.23000002
2021-02-07,0.99920000,1.00200000,0.95460000,0.99830000,0.99920000,1.00200000,0.95460000,0.99830000,80159075.51000001,80159075.51000001
2021-01-31,0.99900000,1.00090000,0.46540000,0.99920000,0.99900000,1.00090000,0.46540000,0.99920000,71643250.57000001,71643250.57000001
2021-01-24,1.00010000,1.00500000,0.99810000,0.99900000,1.00010000,1.00500000,0.99810000,0.99900000,80305359.91000001,80305359.91000001
2021-01-17,0.99980000,1.00890000,0.99620000,1.00010000,0.99980000,1.00890000,0.99620000,1.00010000,99516602.16999999,99516602.16999999
2021-01-10,0.99860000,1.00670000,0.99020000,0.99970000,0.99860000,1.00670000,0.99020000,0.99970000,130495015.17000000,130495015.17000000
2021-01-03,1.00120000,1.00270000,0.99700000,0.99860000,1.00120000,1.00270000,0.99700000,0.99860000,81424435.93000001,81424435.93000001
2020-12-27,0.99950000,1.00350000,0.99800000,1.00120000,0.99950000,1.00350000,0.99800000,1.00120000,59614126.35000000,59614126.35000000
2020-12-20,1.00030000,1.00150000,0.99580000,0.99950000,1.00030000,1.00150000,0.99580000,0.99950000,62511292.41999999,62511292.41999999
