timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,5.26100000,5.27800000,5.22600000,5.26900000,5.26100000,5.27800000,5.22600000,5.26900000,54472.91000000,54472.91000000
2023-05-07,5.44800000,5.61300000,5.18000000,5.26200000,5.44800000,5.61300000,5.18000000,5.26200000,6194775.95000000,6194775.95000000
2023-04-30,5.42800000,5.68300000,5.12900000,5.44700000,5.42800000,5.68300000,5.12900000,5.44700000,7312137.80000000,7312137.80000000
2023-04-23,6.31600000,6.49800000,5.31000000,5.42900000,6.31600000,6.49800000,5.31000000,5.42900000,11799089.13000000,11799089.13000000
2023-04-16,5.91400000,6.48900000,5.70200000,6.31400000,5.91400000,6.48900000,5.70200000,6.31400000,11149074.14000000,11149074.14000000
2023-04-09,5.94900000,6.34500000,5.81500000,5.91300000,5.94900000,6.34500000,5.81500000,5.91300000,7719453.91000000,7719453.91000000
2023-04-02,5.78600000,6.20000000,5.51000000,5.94800000,5.78600000,6.20000000,5.51000000,5.94800000,8130420.29000000,8130420.29000000
2023-03-26,6.49000000,6.59000000,5.67500000,5.78600000,6.49000000,6.59000000,5.67500000,5.78600000,11978241.00000000,11978241.00000000
2023-03-19,5.89600000,6.71300000,5.73000000,6.48800000,5.89600000,6.71300000,5.73000000,6.48800000,16626558.97000000,16626558.97000000
2023-03-12,6.34900000,6.49900000,5.23000000,5.89700000,6.34900000,6.49900000,5.23000000,5.89700000,12943022.17000000,12943022.17000000
2023-03-05,6.60700000,6.89500000,6.01000000,6.35100000,6.60700000,6.89500000,6.01000000,6.35100000,9360264.89000000,9360264.89000000
2023-02-26,7.20900000,7.43600000,6.27500000,6.61000000,7.20900000,7.43600000,6.27500000,6.61000000,11728182.66000000,11728182.66000000
2023-02-19,6.34900000,7.61900000,6.08700000,7.21000000,6.34900000,7.61900000,6.08700000,7.21000000,20018540.40000000,20018540.40000000
2023-02-12,6.89000000,7.06100000,6.16100000,6.34600000,6.89000000,7.06100000,6.16100000,6.34600000,13944237.46000000,13944237.46000000
2023-02-05,6.92700000,7.52800000,6.31700000,6.88600000,6.92700000,7.52800000,6.31700000,6.88600000,17706437.57000000,17706437.57000000
2023-01-29,6.88800000,7.03600000,6.10000000,6.92700000,6.88800000,7.03600000,6.10000000,6.92700000,13585050.55000000,13585050.55000000
2023-01-22,6.59000000,7.10900000,5.98600000,6.88800000,6.59000000,7.10900000,5.98600000,6.88800000,16525500.66000000,16525500.66000000
2023-01-15,5.58200000,6.96800000,5.56400000,6.59200000,5.58200000,6.96800000,5.56400000,6.59200000,14306434.28000000,14306434.28000000
2023-01-08,5.24900000,5.61100000,5.17900000,5.58000000,5.24900000,5.61100000,5.17900000,5.58000000,6949589.29000000,6949589.29000000
2023-01-01,5.16100000,5.33000000,4.94300000,5.24800000,5.16100000,5.33000000,4.94300000,5.24800000,5251658.75000000,5251658.75000000
2022-12-25,5.33000000,5.42700000,5.00400000,5.16100000,5.33000000,5.42700000,5.00400000,5.16100000,5365292.52000000,5365292.52000000
2022-12-18,5.92000000,6.26000000,5.21100000,5.32800000,5.92000000,6.26000000,5.21100000,5.32800000,12252138.28000000,12252138.28000000
2022-12-11,6.26000000,6.43000000,5.88000000,5.92000000,6.26000000,6.43000000,5.88000000,5.92000000,9701359.54000000,9701359.54000000
2022-12-04,5.41000000,6.55000000,5.14000000,6.27000000,5.41000000,6.55000000,5.14000000,6.27000000,16204477.63000000,16204477.63000000
2022-11-27,5.44000000,5.63000000,4.95000000,5.41000000,5.44000000,5.63000000,4.95000000,5.41000000,15400490.00000000,15400490.00000000
2022-11-20,5.80000000,6.51000000,5.38000000,5.44000000,5.80000000,6.51000000,5.38000000,5.44000000,16638190.15000000,16638190.15000000
2022-11-13,7.05000000,7.70000000,4.71000000,5.80000000,7.05000000,7.70000000,4.71000000,5.80000000,45126718.42000000,45126718.42000000
2022-11-06,6.89000000,7.79000000,6.70000000,7.06000000,6.89000000,7.79000000,6.70000000,7.06000000,24352051.62000000,24352051.62000000
2022-10-30,6.29000000,7.37000000,6.06000000,6.89000000,6.29000000,7.37000000,6.06000000,6.89000000,24347919.21000000,24347919.21000000
2022-10-23,6.11000000,6.77000000,5.82000000,6.29000000,6.11000000,6.77000000,5.82000000,6.29000000,19607924.23000000,19607924.23000000
2022-10-16,6.64000000,6.72000000,5.38000000,6.10000000,6.64000000,6.72000000,5.38000000,6.10000000,15044166.10000000,15044166.10000000
2022-10-09,6.27000000,7.08000000,6.18000000,6.63000000,6.27000000,7.08000000,6.18000000,6.63000000,18205473.20000000,18205473.20000000
2022-10-02,5.66000000,6.77000000,5.55000000,6.26000000,5.66000000,6.77000000,5.55000000,6.26000000,25340018.30000000,25340018.30000000
2022-09-25,5.47000000,6.06000000,5.14000000,5.66000000,5.47000000,6.06000000,5.14000000,5.66000000,13015520.05000000,13015520.05000000
2022-09-18,6.49000000,6.97000000,5.33000000,5.47000000,6.49000000,6.97000000,5.33000000,5.47000000,12392708.55000000,12392708.55000000
2022-09-11,6.49000000,6.75000000,5.71000000,6.49000000,6.49000000,6.75000000,5.71000000,6.49000000,14141741.33000000,14141741.33000000
2022-09-04,5.74000000,6.70000000,5.68000000,6.48000000,5.74000000,6.70000000,5.68000000,6.48000000,12703684.56000000,12703684.56000000
2022-08-28,7.21000000,7.36000000,5.71000000,5.74000000,7.21000000,7.36000000,5.71000000,5.74000000,15014590.65000000,15014590.65000000
2022-08-21,8.88000000,9.17000000,6.74000000,7.21000000,8.88000000,9.17000000,6.74000000,7.21000000,17614257.26000000,17614257.26000000
2022-08-14,8.79000000,9.62000000,8.08000000,8.87000000,8.79000000,9.62000000,8.08000000,8.87000000,18728740.57000000,18728740.57000000
2022-08-07,8.33000000,9.39000000,7.81000000,8.79000000,8.33000000,9.39000000,7.81000000,8.79000000,23000814.91000000,23000814.91000000
2022-07-31,7.25000000,9.83000000,6.22000000,8.32000000,7.25000000,9.83000000,6.22000000,8.32000000,39697529.30000000,39697529.30000000
2022-07-24,6.95000000,7.76000000,6.63000000,7.24000000,6.95000000,7.76000000,6.63000000,7.24000000,25968136.28000000,25968136.28000000
2022-07-17,6.24000000,7.70000000,5.23000000,6.94000000,6.24000000,7.70000000,5.23000000,6.94000000,43302201.98000000,43302201.98000000
2022-07-10,4.92000000,6.62000000,4.73000000,6.23000000,4.92000000,6.62000000,4.73000000,6.23000000,21893596.07000000,21893596.07000000
2022-07-03,5.60000000,5.93000000,4.60000000,4.91000000,5.60000000,5.93000000,4.60000000,4.91000000,25245918.76000000,25245918.76000000
2022-06-26,4.20000000,6.08000000,3.98000000,5.60000000,4.20000000,6.08000000,3.98000000,5.60000000,37730737.00000000,37730737.00000000
2022-06-19,4.07000000,4.47000000,3.33000000,4.19000000,4.07000000,4.47000000,3.33000000,4.19000000,31251888.66000000,31251888.66000000
2022-06-12,5.10000000,5.42000000,4.05000000,4.06000000,5.10000000,5.42000000,4.05000000,4.06000000,14334663.28000000,14334663.28000000
2022-06-05,4.95000000,5.88000000,4.89000000,5.09000000,4.95000000,5.88000000,4.89000000,5.09000000,15982547.37000000,15982547.37000000
2022-05-29,5.49000000,6.08000000,4.59000000,4.95000000,5.49000000,6.08000000,4.59000000,4.95000000,25521248.62000000,25521248.62000000
2022-05-22,5.46000000,5.55000000,4.73000000,5.48000000,5.46000000,5.55000000,4.73000000,5.48000000,19091042.72000000,19091042.72000000
2022-05-15,7.10000000,7.22000000,3.73000000,5.46000000,7.10000000,7.22000000,3.73000000,5.46000000,39662605.73900000,39662605.73900000
