timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-05-13,0.99550000,0.99620000,0.22500000,0.24577900,0.99550000,0.99620000,0.22500000,0.24577900,10554792729.00000000,10554792729.00000000
2022-05-08,1.00000000,1.00030000,0.98570000,0.99540000,1.00000000,1.00030000,0.98570000,0.99540000,2326760560.00000000,2326760560.00000000
2022-05-01,1.00090000,1.00130000,0.99950000,0.99990000,1.00090000,1.00130000,0.99950000,0.99990000,1014751077.00000000,1014751077.00000000
2022-04-24,1.00260000,1.00560000,1.00080000,1.00090000,1.00260000,1.00560000,1.00080000,1.00090000,1493273845.00000000,1493273845.00000000
2022-04-17,1.00030000,1.00390000,0.99990000,1.00250000,1.00030000,1.00390000,0.99990000,1.00250000,628567330.00000000,628567330.00000000
2022-04-10,1.00000000,1.00110000,0.99950000,1.00040000,1.00000000,1.00110000,0.99950000,1.00040000,962253449.00000000,962253449.00000000
2022-04-03,1.00010000,1.00040000,0.99900000,1.00010000,1.00010000,1.00040000,0.99900000,1.00010000,930917210.00000000,930917210.00000000
2022-03-27,1.00270000,1.00460000,0.99860000,1.00020000,1.00270000,1.00460000,0.99860000,1.00020000,778344518.00000000,778344518.00000000
2022-03-20,1.00350000,1.00480000,1.00060000,1.00280000,1.00350000,1.00480000,1.00060000,1.00280000,906487709.00000000,906487709.00000000
2022-03-13,1.00380000,1.00700000,1.00290000,1.00350000,1.00380000,1.00700000,1.00290000,1.00350000,962179125.00000000,962179125.00000000
2022-03-06,1.00300000,1.00730000,1.00200000,1.00380000,1.00300000,1.00730000,1.00200000,1.00380000,1165645698.00000000,1165645698.00000000
2022-02-27,1.00110000,1.20040000,1.00100000,1.00300000,1.00110000,1.20040000,1.00100000,1.00300000,900516588.00000000,900516588.00000000
2022-02-20,1.00000000,1.00500000,1.00000000,1.00100000,1.00000000,1.00500000,1.00000000,1.00100000,467079084.00000000,467079084.00000000
2022-02-13,0.99960000,1.00670000,0.99920000,1.00000000,0.99960000,1.00670000,0.99920000,1.00000000,354901786.00000000,354901786.00000000
2022-02-06,0.99980000,1.00140000,0.99770000,0.99950000,0.99980000,1.00140000,0.99770000,0.99950000,307121773.00000000,307121773.00000000
2022-01-30,0.99960000,1.01190000,0.98630000,0.99970000,0.99960000,1.01190000,0.98630000,0.99970000,1514739720.00000000,1514739720.00000000
2022-01-23,1.00050000,1.00500000,0.99730000,0.99980000,1.00050000,1.00500000,0.99730000,0.99980000,453948067.00000000,453948067.00000000
2022-01-16,1.00040000,1.00340000,0.99960000,1.00050000,1.00040000,1.00340000,0.99960000,1.00050000,290757060.00000000,290757060.00000000
2022-01-09,1.00200000,1.01060000,0.99980000,1.00050000,1.00200000,1.01060000,0.99980000,1.00050000,240579415.00000000,240579415.00000000
2022-01-02,1.00100000,1.01050000,0.99900000,1.00120000,1.00100000,1.01050000,0.99900000,1.00120000,91591966.00000000,91591966.00000000
