timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.09710000,0.09760000,0.09690000,0.09710000,0.09710000,0.09760000,0.09690000,0.09710000,118882.00000000,118882.00000000
2023-05-07,0.10830000,0.11270000,0.09570000,0.09720000,0.10830000,0.11270000,0.09570000,0.09720000,46318758.00000000,46318758.00000000
2023-04-30,0.09920000,0.12100000,0.09760000,0.10840000,0.09920000,0.12100000,0.09760000,0.10840000,220374039.00000000,220374039.00000000
2023-04-23,0.11740000,0.11750000,0.09810000,0.09920000,0.11740000,0.11750000,0.09810000,0.09920000,53063712.00000000,53063712.00000000
2023-04-16,0.11340000,0.12390000,0.10590000,0.11730000,0.11340000,0.12390000,0.10590000,0.11730000,133413364.00000000,133413364.00000000
2023-04-09,0.10270000,0.14630000,0.09760000,0.11340000,0.10270000,0.14630000,0.09760000,0.11340000,491328358.00000000,491328358.00000000
2023-04-02,0.09600000,0.11950000,0.08970000,0.10260000,0.09600000,0.11950000,0.08970000,0.10260000,144384735.00000000,144384735.00000000
2023-03-26,0.09890000,0.10220000,0.09060000,0.09600000,0.09890000,0.10220000,0.09060000,0.09600000,35389212.00000000,35389212.00000000
2023-03-19,0.09620000,0.11880000,0.09220000,0.09870000,0.09620000,0.11880000,0.09220000,0.09870000,153679198.00000000,153679198.00000000
2023-03-12,0.10480000,0.10750000,0.08730000,0.09610000,0.10480000,0.10750000,0.08730000,0.09610000,24713571.00000000,24713571.00000000
2023-03-05,0.12130000,0.12200000,0.10280000,0.10480000,0.12130000,0.12200000,0.10280000,0.10480000,32679779.00000000,32679779.00000000
2023-02-26,0.12350000,0.13620000,0.11150000,0.12150000,0.12350000,0.13620000,0.11150000,0.12150000,73127193.00000000,73127193.00000000
2023-02-19,0.10780000,0.13050000,0.10060000,0.12350000,0.10780000,0.13050000,0.10060000,0.12350000,94421292.00000000,94421292.00000000
2023-02-12,0.10100000,0.14270000,0.09800000,0.10780000,0.10100000,0.14270000,0.09800000,0.10780000,169222553.00000000,169222553.00000000
2023-02-05,0.10510000,0.10650000,0.09370000,0.10090000,0.10510000,0.10650000,0.09370000,0.10090000,47905956.00000000,47905956.00000000
2023-01-29,0.10330000,0.11890000,0.10010000,0.10520000,0.10330000,0.11890000,0.10010000,0.10520000,60080179.00000000,60080179.00000000
2023-01-22,0.09560000,0.11100000,0.09230000,0.10320000,0.09560000,0.11100000,0.09230000,0.10320000,61676604.00000000,61676604.00000000
2023-01-15,0.07800000,0.10120000,0.07790000,0.09560000,0.07800000,0.10120000,0.07790000,0.09560000,66680820.00000000,66680820.00000000
2023-01-08,0.07600000,0.08160000,0.07520000,0.07790000,0.07600000,0.08160000,0.07520000,0.07790000,18715944.00000000,18715944.00000000
2023-01-01,0.07640000,0.07890000,0.07300000,0.07590000,0.07640000,0.07890000,0.07300000,0.07590000,14725513.00000000,14725513.00000000
2022-12-25,0.08550000,0.09200000,0.07510000,0.07650000,0.08550000,0.09200000,0.07510000,0.07650000,36047862.00000000,36047862.00000000
2022-12-18,0.09940000,0.09990000,0.07780000,0.08520000,0.09940000,0.09990000,0.07780000,0.08520000,38880936.00000000,38880936.00000000
2022-12-11,0.09780000,0.11490000,0.09780000,0.09910000,0.09780000,0.11490000,0.09780000,0.09910000,49588127.00000000,49588127.00000000
2022-12-04,0.09370000,0.10840000,0.08820000,0.09780000,0.09370000,0.10840000,0.08820000,0.09780000,47624068.00000000,47624068.00000000
2022-11-27,0.08930000,0.09770000,0.08300000,0.09390000,0.08930000,0.09770000,0.08300000,0.09390000,27608177.00000000,27608177.00000000
2022-11-20,0.09530000,0.09860000,0.08810000,0.08930000,0.09530000,0.09860000,0.08810000,0.08930000,27296587.00000000,27296587.00000000
