timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.06696000,0.06767000,0.06413000,0.06465000,0.06696000,0.06767000,0.06413000,0.06465000,916651.00000000,916651.00000000
2023-05-07,0.07417000,0.08200000,0.06674000,0.06696000,0.07417000,0.08200000,0.06674000,0.06696000,193630251.00000000,193630251.00000000
2023-04-30,0.08197000,0.08510000,0.07422000,0.07422000,0.08197000,0.08510000,0.07422000,0.07422000,71905635.00000000,71905635.00000000
2023-04-23,0.09518000,0.09830000,0.08069000,0.08182000,0.09518000,0.09830000,0.08069000,0.08182000,61998927.00000000,61998927.00000000
2023-04-16,0.08995000,0.10651000,0.08722000,0.09523000,0.08995000,0.10651000,0.08722000,0.09523000,163945022.00000000,163945022.00000000
2023-04-09,0.08945000,0.10295000,0.08657000,0.08987000,0.08945000,0.10295000,0.08657000,0.08987000,122778135.00000000,122778135.00000000
2023-04-02,0.08997000,0.09158000,0.08281000,0.08945000,0.08997000,0.09158000,0.08281000,0.08945000,51950749.00000000,51950749.00000000
2023-03-26,0.09953000,0.10151000,0.08900000,0.08987000,0.09953000,0.10151000,0.08900000,0.08987000,70400181.00000000,70400181.00000000
2023-03-19,0.09456000,0.10741000,0.09240000,0.09956000,0.09456000,0.10741000,0.09240000,0.09956000,94319618.00000000,94319618.00000000
2023-03-12,0.09940000,0.11369000,0.08284000,0.09467000,0.09940000,0.11369000,0.08284000,0.09467000,130947825.00000000,130947825.00000000
2023-03-05,0.11325000,0.11700000,0.09110000,0.09940000,0.11325000,0.11700000,0.09110000,0.09940000,116958113.00000000,116958113.00000000
