timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.22870000,0.23000000,0.22800000,0.22890000,0.22870000,0.23000000,0.22800000,0.22890000,42328.00000000,42328.00000000
2023-05-07,0.25210000,0.25410000,0.22570000,0.22890000,0.25210000,0.25410000,0.22570000,0.22890000,3429193.00000000,3429193.00000000
2023-04-30,0.25270000,0.28390000,0.24450000,0.25270000,0.25270000,0.28390000,0.24450000,0.25270000,9924963.00000000,9924963.00000000
2023-04-23,0.27850000,0.33250000,0.24700000,0.25320000,0.27850000,0.33250000,0.24700000,0.25320000,30917512.00000000,30917512.00000000
2023-04-16,0.26750000,0.30250000,0.26110000,0.27870000,0.26750000,0.30250000,0.26110000,0.27870000,12795039.00000000,12795039.00000000
2023-04-09,0.27010000,0.28000000,0.26120000,0.26750000,0.27010000,0.28000000,0.26120000,0.26750000,7456495.00000000,7456495.00000000
2023-04-02,0.27010000,0.29360000,0.25910000,0.26980000,0.27010000,0.29360000,0.25910000,0.26980000,21187047.00000000,21187047.00000000
2023-03-26,0.28560000,0.32620000,0.26740000,0.26990000,0.28560000,0.32620000,0.26740000,0.26990000,14733291.00000000,14733291.00000000
2023-03-19,0.23030000,0.29900000,0.22190000,0.28520000,0.23030000,0.29900000,0.22190000,0.28520000,35464244.00000000,35464244.00000000
2023-03-12,0.26810000,0.27470000,0.20570000,0.23010000,0.26810000,0.27470000,0.20570000,0.23010000,18280845.00000000,18280845.00000000
2023-03-05,0.28230000,0.35000000,0.26710000,0.26820000,0.28230000,0.35000000,0.26710000,0.26820000,56067516.00000000,56067516.00000000
2023-02-26,0.23070000,0.35250000,0.22480000,0.28260000,0.23070000,0.35250000,0.22480000,0.28260000,139760163.00000000,139760163.00000000
2023-02-19,0.19760000,0.24300000,0.18700000,0.23010000,0.19760000,0.24300000,0.18700000,0.23010000,28953826.00000000,28953826.00000000
2023-02-12,0.21390000,0.22600000,0.19480000,0.19770000,0.21390000,0.22600000,0.19480000,0.19770000,15103252.00000000,15103252.00000000
2023-02-05,0.21660000,0.23500000,0.19920000,0.21400000,0.21660000,0.23500000,0.19920000,0.21400000,29080416.00000000,29080416.00000000
2023-01-29,0.19490000,0.23720000,0.19310000,0.21740000,0.19490000,0.23720000,0.19310000,0.21740000,47222826.00000000,47222826.00000000
2023-01-22,0.18230000,0.21410000,0.17200000,0.19490000,0.18230000,0.21410000,0.17200000,0.19490000,48193935.00000000,48193935.00000000
2023-01-15,0.16560000,0.19010000,0.16470000,0.18250000,0.16560000,0.19010000,0.16470000,0.18250000,29503306.00000000,29503306.00000000
2023-01-08,0.17500000,0.17580000,0.15940000,0.16540000,0.17500000,0.17580000,0.15940000,0.16540000,16930203.00000000,16930203.00000000
2023-01-01,0.17370000,0.19500000,0.16230000,0.17490000,0.17370000,0.19500000,0.16230000,0.17490000,59106945.00000000,59106945.00000000
2022-12-25,0.15160000,0.20900000,0.14400000,0.17360000,0.15160000,0.20900000,0.14400000,0.17360000,51188802.00000000,51188802.00000000
2022-12-18,0.16630000,0.17630000,0.14710000,0.15140000,0.16630000,0.17630000,0.14710000,0.15140000,11176910.00000000,11176910.00000000
