timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.80500000,1.82500000,1.79700000,1.81100000,1.80500000,1.82500000,1.79700000,1.81100000,94256.90000000,94256.90000000
2023-05-07,1.88600000,1.91600000,1.77500000,1.80600000,1.88600000,1.91600000,1.77500000,1.80600000,12481930.57000000,12481930.57000000
2023-04-30,1.90800000,2.03800000,1.81000000,1.88500000,1.90800000,2.03800000,1.81000000,1.88500000,13398986.17000000,13398986.17000000
2023-04-23,2.26600000,2.39000000,1.85000000,1.90700000,2.26600000,2.39000000,1.85000000,1.90700000,26272616.06000000,26272616.06000000
2023-04-16,2.13500000,2.34800000,2.06100000,2.26700000,2.13500000,2.34800000,2.06100000,2.26700000,16824162.38000000,16824162.38000000
2023-04-09,2.07200000,2.18800000,1.98500000,2.13600000,2.07200000,2.18800000,1.98500000,2.13600000,13390044.87000000,13390044.87000000
2023-04-02,2.16100000,2.21200000,1.96300000,2.07300000,2.16100000,2.21200000,1.96300000,2.07300000,14738970.75000000,14738970.75000000
2023-03-26,2.33100000,2.36000000,2.08200000,2.16100000,2.33100000,2.36000000,2.08200000,2.16100000,17617955.59000000,17617955.59000000
2023-03-19,2.10300000,2.45000000,2.05200000,2.32900000,2.10300000,2.45000000,2.05200000,2.32900000,21056859.92000000,21056859.92000000
2023-03-12,2.26700000,2.37200000,1.80200000,2.10500000,2.26700000,2.37200000,1.80200000,2.10500000,21002229.50000000,21002229.50000000
2023-03-05,2.59600000,2.68500000,2.17000000,2.26700000,2.59600000,2.68500000,2.17000000,2.26700000,25656107.74000000,25656107.74000000
2023-02-26,3.09300000,3.38500000,2.43100000,2.59700000,3.09300000,3.38500000,2.43100000,2.59700000,49481102.11000000,49481102.11000000
2023-02-19,2.37600000,3.17800000,2.19600000,3.09400000,2.37600000,3.17800000,2.19600000,3.09400000,37112615.67000000,37112615.67000000
2023-02-12,2.66700000,2.85900000,2.23500000,2.37500000,2.66700000,2.85900000,2.23500000,2.37500000,28132313.17000000,28132313.17000000
2023-02-05,2.71900000,3.06400000,2.34400000,2.66600000,2.71900000,3.06400000,2.34400000,2.66600000,55324664.21000000,55324664.21000000
2023-01-29,2.27200000,2.97600000,2.09300000,2.71700000,2.27200000,2.97600000,2.09300000,2.71700000,72178130.08000001,72178130.08000001
2023-01-22,2.32700000,2.58400000,1.92500000,2.27400000,2.32700000,2.58400000,1.92500000,2.27400000,54392317.95000000,54392317.95000000
2023-01-15,1.52200000,2.54900000,1.48100000,2.32700000,1.52200000,2.54900000,1.48100000,2.32700000,84868378.04000001,84868378.04000001
2023-01-08,1.30800000,1.53900000,1.27000000,1.52100000,1.30800000,1.53900000,1.27000000,1.52100000,19512440.38000000,19512440.38000000
2023-01-01,1.56500000,1.57500000,1.25000000,1.30800000,1.56500000,1.57500000,1.25000000,1.30800000,19099329.95000000,19099329.95000000
2022-12-25,1.52000000,1.64100000,1.44300000,1.56400000,1.52000000,1.64100000,1.44300000,1.56400000,24068760.68000000,24068760.68000000
2022-12-18,1.93300000,1.96500000,1.44700000,1.51900000,1.93300000,1.96500000,1.44700000,1.51900000,37865259.08000000,37865259.08000000
2022-12-11,2.34400000,2.56500000,1.90500000,1.93400000,2.34400000,2.56500000,1.90500000,1.93400000,54000243.26000001,54000243.26000001
2022-12-04,2.27600000,2.45700000,2.23100000,2.34400000,2.27600000,2.45700000,2.23100000,2.34400000,33449237.55000000,33449237.55000000
2022-11-27,2.15500000,2.48100000,2.03600000,2.27600000,2.15500000,2.48100000,2.03600000,2.27600000,27087580.37000000,27087580.37000000
2022-11-20,2.24500000,2.61500000,2.06000000,2.15500000,2.24500000,2.61500000,2.06000000,2.15500000,27259065.96000000,27259065.96000000
2022-11-13,3.34200000,3.41400000,2.04700000,2.24700000,3.34200000,3.41400000,2.04700000,2.24700000,44991499.43000000,44991499.43000000
2022-11-06,3.51200000,3.76900000,3.15100000,3.34300000,3.51200000,3.76900000,3.15100000,3.34300000,33237990.91000000,33237990.91000000
2022-10-30,3.23400000,3.94100000,3.11400000,3.51400000,3.23400000,3.94100000,3.11400000,3.51400000,30788078.29000000,30788078.29000000
