timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.03510000,0.03540000,0.03510000,0.03530000,0.03510000,0.03540000,0.03510000,0.03530000,493208.00000000,493208.00000000
2023-05-07,0.03630000,0.03720000,0.03460000,0.03510000,0.03630000,0.03720000,0.03460000,0.03510000,148253544.00000000,148253544.00000000
2023-04-30,0.03700000,0.03850000,0.03490000,0.03630000,0.03700000,0.03850000,0.03490000,0.03630000,192784320.00000000,192784320.00000000
2023-04-23,0.04270000,0.04290000,0.03580000,0.03700000,0.04270000,0.04290000,0.03580000,0.03700000,227443887.00000000,227443887.00000000
2023-04-16,0.04050000,0.04300000,0.03900000,0.04270000,0.04050000,0.04300000,0.03900000,0.04270000,219867574.00000000,219867574.00000000
2023-04-09,0.03970000,0.04470000,0.03780000,0.04040000,0.03970000,0.04470000,0.03780000,0.04040000,261764965.00000000,261764965.00000000
2023-04-02,0.03930000,0.04310000,0.03590000,0.03980000,0.03930000,0.04310000,0.03590000,0.03980000,231438218.00000000,231438218.00000000
2023-03-26,0.04120000,0.04160000,0.03700000,0.03950000,0.04120000,0.04160000,0.03700000,0.03950000,242305450.00000000,242305450.00000000
2023-03-19,0.03630000,0.04200000,0.03490000,0.04120000,0.03630000,0.04200000,0.03490000,0.04120000,433086918.00000000,433086918.00000000
2023-03-12,0.04040000,0.04230000,0.03160000,0.03630000,0.04040000,0.04230000,0.03160000,0.03630000,655835798.00000000,655835798.00000000
2023-03-05,0.04140000,0.07720000,0.03950000,0.04040000,0.04140000,0.07720000,0.03950000,0.04040000,1905371124.00000000,1905371124.00000000
2023-02-26,0.04130000,0.05100000,0.03930000,0.04130000,0.04130000,0.05100000,0.03930000,0.04130000,285890789.00000000,285890789.00000000
2023-02-19,0.03800000,0.04240000,0.03530000,0.04130000,0.03800000,0.04240000,0.03530000,0.04130000,162367647.00000000,162367647.00000000
2023-02-12,0.04090000,0.04390000,0.03700000,0.03800000,0.04090000,0.04390000,0.03700000,0.03800000,179092950.00000000,179092950.00000000
2023-02-05,0.03940000,0.04460000,0.03570000,0.04090000,0.03940000,0.04460000,0.03570000,0.04090000,217036219.00000000,217036219.00000000
2023-01-29,0.03680000,0.04100000,0.03550000,0.03950000,0.03680000,0.04100000,0.03550000,0.03950000,223935348.00000000,223935348.00000000
2023-01-22,0.03580000,0.03830000,0.03370000,0.03670000,0.03580000,0.03830000,0.03370000,0.03670000,150175960.00000000,150175960.00000000
2023-01-15,0.03000000,0.03700000,0.02980000,0.03590000,0.03000000,0.03700000,0.02980000,0.03590000,156222261.00000000,156222261.00000000
2023-01-08,0.02880000,0.03010000,0.02830000,0.03000000,0.02880000,0.03010000,0.02830000,0.03000000,63515301.00000000,63515301.00000000
2023-01-01,0.02970000,0.02980000,0.02730000,0.02870000,0.02970000,0.02980000,0.02730000,0.02870000,67380621.00000000,67380621.00000000
2022-12-25,0.03050000,0.03130000,0.02830000,0.02980000,0.03050000,0.03130000,0.02830000,0.02980000,88241369.00000000,88241369.00000000
2022-12-18,0.03240000,0.03470000,0.02860000,0.03050000,0.03240000,0.03470000,0.02860000,0.03050000,167063795.00000000,167063795.00000000
2022-12-11,0.03290000,0.03420000,0.03150000,0.03240000,0.03290000,0.03420000,0.03150000,0.03240000,105205039.00000000,105205039.00000000
2022-12-04,0.03210000,0.03490000,0.03080000,0.03290000,0.03210000,0.03490000,0.03080000,0.03290000,114181192.00000000,114181192.00000000
2022-11-27,0.03060000,0.04070000,0.02970000,0.03200000,0.03060000,0.04070000,0.02970000,0.03200000,230640836.00000000,230640836.00000000
2022-11-20,0.03140000,0.03690000,0.02930000,0.03070000,0.03140000,0.03690000,0.02930000,0.03070000,109065671.00000000,109065671.00000000
2022-11-13,0.03940000,0.04010000,0.02800000,0.03150000,0.03940000,0.04010000,0.02800000,0.03150000,172231199.00000000,172231199.00000000
2022-11-06,0.03920000,0.04220000,0.03720000,0.03940000,0.03920000,0.04220000,0.03720000,0.03940000,108366823.00000000,108366823.00000000
2022-10-30,0.03810000,0.04090000,0.03700000,0.03930000,0.03810000,0.04090000,0.03700000,0.03930000,57934560.00000000,57934560.00000000
2022-10-23,0.03870000,0.04010000,0.03570000,0.03810000,0.03870000,0.04010000,0.03570000,0.03810000,45492685.00000000,45492685.00000000
2022-10-16,0.04140000,0.04210000,0.03580000,0.03870000,0.04140000,0.04210000,0.03580000,0.03870000,57520123.00000000,57520123.00000000
2022-10-09,0.03920000,0.04230000,0.03890000,0.04140000,0.03920000,0.04230000,0.03890000,0.04140000,72736868.00000000,72736868.00000000
2022-10-02,0.03980000,0.04200000,0.03870000,0.03930000,0.03980000,0.04200000,0.03870000,0.03930000,102091138.00000000,102091138.00000000
2022-09-25,0.03980000,0.04240000,0.03830000,0.03980000,0.03980000,0.04240000,0.03830000,0.03980000,112786244.00000000,112786244.00000000
2022-09-18,0.04670000,0.04850000,0.03920000,0.03980000,0.04670000,0.04850000,0.03920000,0.03980000,196804587.00000000,196804587.00000000
2022-09-11,0.04420000,0.04870000,0.04030000,0.04670000,0.04420000,0.04870000,0.04030000,0.04670000,123229095.00000000,123229095.00000000
2022-09-04,0.04310000,0.04810000,0.04210000,0.04410000,0.04310000,0.04810000,0.04210000,0.04410000,121741400.00000000,121741400.00000000
2022-08-28,0.04640000,0.04970000,0.04300000,0.04310000,0.04640000,0.04970000,0.04300000,0.04310000,121566916.00000000,121566916.00000000
2022-08-21,0.05380000,0.05520000,0.04330000,0.04630000,0.05380000,0.05520000,0.04330000,0.04630000,118154392.00000000,118154392.00000000
2022-08-14,0.05150000,0.06260000,0.04800000,0.05380000,0.05150000,0.06260000,0.04800000,0.05380000,245239312.00000000,245239312.00000000
2022-08-07,0.04940000,0.05750000,0.04730000,0.05150000,0.04940000,0.05750000,0.04730000,0.05150000,156997007.00000000,156997007.00000000
2022-07-31,0.04870000,0.05440000,0.04250000,0.04940000,0.04870000,0.05440000,0.04250000,0.04940000,316146799.00000000,316146799.00000000
2022-07-24,0.04070000,0.06410000,0.04040000,0.04860000,0.04070000,0.06410000,0.04040000,0.04860000,836650302.00000000,836650302.00000000
2022-07-17,0.04050000,0.04310000,0.03610000,0.04060000,0.04050000,0.04310000,0.03610000,0.04060000,164370201.00000000,164370201.00000000
2022-07-10,0.04300000,0.04340000,0.03880000,0.04050000,0.04300000,0.04340000,0.03880000,0.04050000,262984345.00000000,262984345.00000000
2022-07-03,0.04120000,0.06840000,0.03600000,0.04300000,0.04120000,0.06840000,0.03600000,0.04300000,848039470.00000000,848039470.00000000
2022-06-26,0.04000000,0.04620000,0.03810000,0.04100000,0.04000000,0.04620000,0.03810000,0.04100000,185247124.00000000,185247124.00000000
2022-06-19,0.04180000,0.04380000,0.03530000,0.04000000,0.04180000,0.04380000,0.03530000,0.04000000,183264645.00000000,183264645.00000000
2022-06-12,0.05100000,0.05450000,0.04110000,0.04170000,0.05100000,0.05450000,0.04110000,0.04170000,106375215.00000000,106375215.00000000
2022-06-05,0.04910000,0.05620000,0.04830000,0.05110000,0.04910000,0.05620000,0.04830000,0.05110000,186915966.00000000,186915966.00000000
2022-05-29,0.05960000,0.05960000,0.04530000,0.04910000,0.05960000,0.05960000,0.04530000,0.04910000,299688941.00000000,299688941.00000000
2022-05-22,0.06650000,0.07300000,0.05180000,0.05970000,0.06650000,0.07300000,0.05180000,0.05970000,362786017.00000000,362786017.00000000
2022-05-15,0.07570000,0.07670000,0.03680000,0.06660000,0.07570000,0.07670000,0.03680000,0.06660000,898865320.02000010,898865320.02000010
2022-05-08,0.08940000,0.09760000,0.07530000,0.07580000,0.08940000,0.09760000,0.07530000,0.07580000,232961480.50000000,232961480.50000000
