timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.09180000,0.09230000,0.09170000,0.09230000,0.09180000,0.09230000,0.09170000,0.09230000,982315.00000000,982315.00000000
2023-05-07,0.09440000,0.09470000,0.09150000,0.09180000,0.09440000,0.09470000,0.09150000,0.09180000,179073507.00000000,179073507.00000000
2023-04-30,0.09460000,0.09700000,0.09000000,0.09440000,0.09460000,0.09700000,0.09000000,0.09440000,264582402.00000000,264582402.00000000
2023-04-23,0.10730000,0.10760000,0.09200000,0.09450000,0.10730000,0.10760000,0.09200000,0.09450000,336094075.00000000,336094075.00000000
2023-04-16,0.10470000,0.10970000,0.10230000,0.10730000,0.10470000,0.10970000,0.10230000,0.10730000,324544517.00000000,324544517.00000000
2023-04-09,0.10670000,0.11050000,0.10260000,0.10480000,0.10670000,0.11050000,0.10260000,0.10480000,360520583.00000000,360520583.00000000
2023-04-02,0.09180000,0.11460000,0.08950000,0.10660000,0.09180000,0.11460000,0.08950000,0.10660000,987932858.00000000,987932858.00000000
2023-03-26,0.08770000,0.09980000,0.08540000,0.09180000,0.08770000,0.09980000,0.08540000,0.09180000,716207047.00000000,716207047.00000000
2023-03-19,0.08220000,0.08990000,0.08030000,0.08770000,0.08220000,0.08990000,0.08030000,0.08770000,582727700.00000000,582727700.00000000
2023-03-12,0.08270000,0.08460000,0.07440000,0.08220000,0.08270000,0.08460000,0.07440000,0.08220000,433064243.00000000,433064243.00000000
2023-03-05,0.08900000,0.08950000,0.08190000,0.08270000,0.08900000,0.08950000,0.08190000,0.08270000,280270133.00000000,280270133.00000000
2023-02-26,0.09060000,0.09810000,0.08630000,0.08900000,0.09060000,0.09810000,0.08630000,0.08900000,474985617.00000000,474985617.00000000
2023-02-19,0.08510000,0.09360000,0.08170000,0.09050000,0.08510000,0.09360000,0.08170000,0.09050000,498537657.00000000,498537657.00000000
2023-02-12,0.09090000,0.09340000,0.08410000,0.08510000,0.09090000,0.09340000,0.08410000,0.08510000,381256943.00000000,381256943.00000000
2023-02-05,0.09450000,0.09490000,0.08730000,0.09090000,0.09450000,0.09490000,0.08730000,0.09090000,399896308.00000000,399896308.00000000
2023-01-29,0.09090000,0.09620000,0.08860000,0.09440000,0.09090000,0.09620000,0.08860000,0.09440000,401388824.00000000,401388824.00000000
2023-01-22,0.08790000,0.09370000,0.08180000,0.09100000,0.08790000,0.09370000,0.08180000,0.09100000,469255015.00000000,469255015.00000000
2023-01-15,0.07720000,0.09060000,0.07720000,0.08800000,0.07720000,0.09060000,0.07720000,0.08800000,508181953.00000000,508181953.00000000
2023-01-08,0.07260000,0.07760000,0.07090000,0.07730000,0.07260000,0.07760000,0.07090000,0.07730000,247314136.00000000,247314136.00000000
2023-01-01,0.07380000,0.07550000,0.07020000,0.07260000,0.07380000,0.07550000,0.07020000,0.07260000,197017643.59999999,197017643.59999999
2022-12-25,0.07650000,0.07730000,0.07280000,0.07390000,0.07650000,0.07730000,0.07280000,0.07390000,210451203.00000000,210451203.00000000
2022-12-18,0.08380000,0.08520000,0.07250000,0.07640000,0.08380000,0.08520000,0.07250000,0.07640000,424784167.00000000,424784167.00000000
2022-12-11,0.08780000,0.08880000,0.08320000,0.08380000,0.08780000,0.08880000,0.08320000,0.08380000,237949378.00000000,237949378.00000000
2022-12-04,0.09020000,0.09100000,0.08510000,0.08770000,0.09020000,0.09100000,0.08510000,0.08770000,336521318.00000000,336521318.00000000
2022-11-27,0.08650000,0.09220000,0.08240000,0.09020000,0.08650000,0.09220000,0.08240000,0.09020000,433323321.00000000,433323321.00000000
2022-11-20,0.08810000,0.09470000,0.08320000,0.08650000,0.08810000,0.09470000,0.08320000,0.08650000,443052081.00000000,443052081.00000000
2022-11-13,0.10900000,0.11090000,0.07900000,0.08820000,0.10900000,0.11090000,0.07900000,0.08820000,968691021.00000000,968691021.00000000
2022-11-06,0.11110000,0.11660000,0.10580000,0.10900000,0.11110000,0.11660000,0.10580000,0.10900000,447331385.00000000,447331385.00000000
2022-10-30,0.11200000,0.11560000,0.10900000,0.11120000,0.11200000,0.11560000,0.10900000,0.11120000,470341177.00000000,470341177.00000000
2022-10-23,0.11340000,0.11520000,0.10700000,0.11200000,0.11340000,0.11520000,0.10700000,0.11200000,296108990.00000000,296108990.00000000
2022-10-16,0.12870000,0.12930000,0.10680000,0.11350000,0.12870000,0.12930000,0.10680000,0.11350000,564544663.00000000,564544663.00000000
2022-10-09,0.11850000,0.12970000,0.11340000,0.12870000,0.11850000,0.12970000,0.11340000,0.12870000,716218855.00000000,716218855.00000000
2022-10-02,0.11730000,0.12320000,0.10660000,0.11850000,0.11730000,0.12320000,0.10660000,0.11850000,797040602.00000000,797040602.00000000
2022-09-25,0.10700000,0.13300000,0.10340000,0.11730000,0.10700000,0.13300000,0.10340000,0.11730000,1105255219.00000000,1105255219.00000000
2022-09-18,0.11440000,0.11650000,0.10130000,0.10690000,0.11440000,0.11650000,0.10130000,0.10690000,556984258.00000000,556984258.00000000
2022-09-11,0.10630000,0.11650000,0.09830000,0.11440000,0.10630000,0.11650000,0.09830000,0.11440000,400664451.00000000,400664451.00000000
2022-09-04,0.10270000,0.10900000,0.10040000,0.10640000,0.10270000,0.10900000,0.10040000,0.10640000,297266924.00000000,297266924.00000000
2022-08-28,0.11090000,0.11440000,0.10190000,0.10270000,0.11090000,0.11440000,0.10190000,0.10270000,344146572.00000000,344146572.00000000
2022-08-21,0.12560000,0.12870000,0.10670000,0.11100000,0.12560000,0.12870000,0.10670000,0.11100000,373800121.00000000,373800121.00000000
2022-08-14,0.12390000,0.13870000,0.11930000,0.12570000,0.12390000,0.13870000,0.11930000,0.12570000,528962232.00000000,528962232.00000000
2022-08-07,0.11760000,0.12500000,0.11250000,0.12390000,0.11760000,0.12500000,0.11250000,0.12390000,401499959.00000000,401499959.00000000
2022-07-31,0.11320000,0.12530000,0.10230000,0.11760000,0.11320000,0.12530000,0.10230000,0.11760000,525020319.00000000,525020319.00000000
2022-07-24,0.10660000,0.12090000,0.10640000,0.11320000,0.10660000,0.12090000,0.10640000,0.11320000,540978756.00000000,540978756.00000000
2022-07-17,0.10750000,0.11120000,0.09900000,0.10660000,0.10750000,0.11120000,0.09900000,0.10660000,444966704.00000000,444966704.00000000
2022-07-10,0.10910000,0.11840000,0.10440000,0.10750000,0.10910000,0.11840000,0.10440000,0.10750000,406717677.00000000,406717677.00000000
2022-07-03,0.12020000,0.12430000,0.10300000,0.10910000,0.12020000,0.12430000,0.10300000,0.10910000,487219524.00000000,487219524.00000000
2022-06-26,0.11480000,0.13050000,0.10930000,0.12030000,0.11480000,0.13050000,0.10930000,0.12030000,545596337.00000000,545596337.00000000
2022-06-19,0.11840000,0.12310000,0.10010000,0.11480000,0.11840000,0.12310000,0.10010000,0.11480000,1008089363.00000000,1008089363.00000000
2022-06-12,0.14340000,0.15060000,0.11740000,0.11850000,0.14340000,0.15060000,0.11740000,0.11850000,520576730.00000000,520576730.00000000
2022-06-05,0.13100000,0.15410000,0.13080000,0.14350000,0.13100000,0.15410000,0.13080000,0.14350000,617465902.00000000,617465902.00000000
2022-05-29,0.13560000,0.13850000,0.11850000,0.13110000,0.13560000,0.13850000,0.11850000,0.13110000,407410044.00000000,407410044.00000000
2022-05-22,0.14510000,0.14520000,0.12290000,0.13550000,0.14510000,0.14520000,0.12290000,0.13550000,441098416.00000000,441098416.00000000
2022-05-15,0.16170000,0.16510000,0.10420000,0.14530000,0.16170000,0.16510000,0.10420000,0.14530000,1204881206.50000000,1204881206.50000000
2022-05-08,0.17560000,0.18770000,0.15940000,0.16160000,0.17560000,0.18770000,0.15940000,0.16160000,430056825.30000001,430056825.30000001
