timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.44910000,0.45120000,0.44620000,0.44920000,0.44910000,0.45120000,0.44620000,0.44920000,13879604.00000000,13879604.00000000
2023-05-07,0.47050000,0.47240000,0.44570000,0.44900000,0.47050000,0.47240000,0.44570000,0.44900000,1809317764.00000000,1809317764.00000000
2023-04-30,0.46480000,0.48690000,0.43290000,0.47050000,0.46480000,0.48690000,0.43290000,0.47050000,2386045664.00000000,2386045664.00000000
2023-04-23,0.52080000,0.53910000,0.44030000,0.46470000,0.52080000,0.53910000,0.44030000,0.46470000,2622436093.00000000,2622436093.00000000
2023-04-16,0.50530000,0.54650000,0.49840000,0.52090000,0.50530000,0.54650000,0.49840000,0.52090000,2008247571.00000000,2008247571.00000000
2023-04-09,0.51790000,0.52710000,0.48100000,0.50540000,0.51790000,0.52710000,0.48100000,0.50540000,2181109405.00000000,2181109405.00000000
2023-04-02,0.44790000,0.58500000,0.44250000,0.51800000,0.44790000,0.58500000,0.44250000,0.51800000,5689421052.00000000,5689421052.00000000
2023-03-26,0.38580000,0.49290000,0.37070000,0.44790000,0.38580000,0.49290000,0.37070000,0.44790000,5896551408.00000000,5896551408.00000000
2023-03-19,0.37130000,0.40000000,0.35530000,0.38570000,0.37130000,0.40000000,0.35530000,0.38570000,2987883837.00000000,2987883837.00000000
2023-03-12,0.36680000,0.40180000,0.34730000,0.37140000,0.36680000,0.40180000,0.34730000,0.37140000,3602278762.00000000,3602278762.00000000
2023-03-05,0.37790000,0.38480000,0.35390000,0.36680000,0.37790000,0.38480000,0.35390000,0.36680000,2210692969.00000000,2210692969.00000000
2023-02-26,0.38620000,0.40900000,0.36920000,0.37790000,0.38620000,0.40900000,0.36920000,0.37790000,2410151176.00000000,2410151176.00000000
2023-02-19,0.37470000,0.40480000,0.36120000,0.38630000,0.37470000,0.40480000,0.36120000,0.38630000,2318316292.00000000,2318316292.00000000
2023-02-12,0.39850000,0.40920000,0.37160000,0.37470000,0.39850000,0.40920000,0.37160000,0.37470000,2001113590.00000000,2001113590.00000000
2023-02-05,0.41350000,0.42220000,0.38600000,0.39840000,0.41350000,0.42220000,0.38600000,0.39840000,2171948319.00000000,2171948319.00000000
2023-01-29,0.40040000,0.43300000,0.39650000,0.41340000,0.40040000,0.43300000,0.39650000,0.41340000,2390443472.00000000,2390443472.00000000
2023-01-22,0.38460000,0.41660000,0.36550000,0.40040000,0.38460000,0.41660000,0.36550000,0.40040000,2914417529.00000000,2914417529.00000000
2023-01-15,0.34520000,0.40890000,0.34320000,0.38450000,0.34520000,0.40890000,0.34320000,0.38450000,3280032411.00000000,3280032411.00000000
2023-01-08,0.33860000,0.36050000,0.30000000,0.34520000,0.33860000,0.36050000,0.30000000,0.34520000,2199805962.00000000,2199805962.00000000
2023-01-01,0.34570000,0.37310000,0.33370000,0.33870000,0.34570000,0.37310000,0.33370000,0.33870000,1918166560.00000000,1918166560.00000000
2022-12-25,0.34990000,0.35500000,0.33200000,0.34570000,0.34990000,0.35500000,0.33200000,0.34570000,1605790957.00000000,1605790957.00000000
2022-12-18,0.38080000,0.39700000,0.34400000,0.34990000,0.38080000,0.39700000,0.34400000,0.34990000,2044636665.00000000,2044636665.00000000
2022-12-11,0.38950000,0.39620000,0.37330000,0.38090000,0.38950000,0.39620000,0.37330000,0.38090000,1679727585.00000000,1679727585.00000000
2022-12-04,0.39610000,0.41170000,0.37300000,0.38950000,0.39610000,0.41170000,0.37300000,0.38950000,1916759916.00000000,1916759916.00000000
2022-11-27,0.36080000,0.41940000,0.34570000,0.39620000,0.36080000,0.41940000,0.34570000,0.39620000,2677075244.00000000,2677075244.00000000
2022-11-20,0.34090000,0.39770000,0.32100000,0.36080000,0.34090000,0.39770000,0.32100000,0.36080000,2758179409.00000000,2758179409.00000000
2022-11-13,0.47080000,0.48000000,0.31600000,0.34080000,0.47080000,0.48000000,0.31600000,0.34080000,4093839331.00000000,4093839331.00000000
2022-11-06,0.45820000,0.51000000,0.44510000,0.47090000,0.45820000,0.51000000,0.44510000,0.47090000,2015384141.00000000,2015384141.00000000
2022-10-30,0.46880000,0.48370000,0.44340000,0.45820000,0.46880000,0.48370000,0.44340000,0.45820000,2040217194.00000000,2040217194.00000000
2022-10-23,0.47650000,0.48430000,0.42240000,0.46880000,0.47650000,0.48430000,0.42240000,0.46880000,2015814916.00000000,2015814916.00000000
2022-10-16,0.53250000,0.53800000,0.44010000,0.47660000,0.53250000,0.53800000,0.44010000,0.47660000,2645307504.00000000,2645307504.00000000
2022-10-09,0.44850000,0.54900000,0.43720000,0.53250000,0.44850000,0.54900000,0.43720000,0.53250000,3147883093.00000000,3147883093.00000000
2022-10-02,0.49160000,0.51090000,0.41680000,0.44850000,0.49160000,0.51090000,0.41680000,0.44850000,3986600177.00000000,3986600177.00000000
2022-09-25,0.35780000,0.55900000,0.34010000,0.49170000,0.35780000,0.55900000,0.34010000,0.49170000,7369483180.00000000,7369483180.00000000
2022-09-18,0.35510000,0.39810000,0.32160000,0.35760000,0.35510000,0.39810000,0.32160000,0.35760000,2816133266.00000000,2816133266.00000000
2022-09-11,0.33180000,0.36220000,0.31200000,0.35520000,0.33180000,0.36220000,0.31200000,0.35520000,1684792694.00000000,1684792694.00000000
2022-09-04,0.32230000,0.33590000,0.31860000,0.33170000,0.32230000,0.33590000,0.31860000,0.33170000,1240176927.00000000,1240176927.00000000
2022-08-28,0.34480000,0.37120000,0.32130000,0.32240000,0.34480000,0.37120000,0.32130000,0.32240000,1639629502.00000000,1639629502.00000000
2022-08-21,0.37560000,0.39230000,0.33090000,0.34490000,0.37560000,0.39230000,0.33090000,0.34490000,1797876939.00000000,1797876939.00000000
2022-08-14,0.37230000,0.39220000,0.35830000,0.37570000,0.37230000,0.39220000,0.35830000,0.37570000,1297607247.00000000,1297607247.00000000
2022-08-07,0.37910000,0.39460000,0.36310000,0.37220000,0.37910000,0.39460000,0.36310000,0.37220000,1221448818.00000000,1221448818.00000000
2022-07-31,0.35850000,0.40990000,0.32520000,0.37920000,0.35850000,0.40990000,0.32520000,0.37920000,2004921160.00000000,2004921160.00000000
2022-07-24,0.34340000,0.38170000,0.34290000,0.35860000,0.34340000,0.38170000,0.34290000,0.35860000,1910011054.00000000,1910011054.00000000
2022-07-17,0.32560000,0.36140000,0.30200000,0.34330000,0.32560000,0.36140000,0.30200000,0.34330000,2026156046.00000000,2026156046.00000000
2022-07-10,0.32160000,0.35900000,0.31280000,0.32550000,0.32160000,0.35900000,0.31280000,0.32550000,1921368606.00000000,1921368606.00000000
2022-07-03,0.35910000,0.36710000,0.30560000,0.32150000,0.35910000,0.36710000,0.30560000,0.32150000,2130873184.00000000,2130873184.00000000
2022-06-26,0.32620000,0.38710000,0.31350000,0.35920000,0.32620000,0.38710000,0.31350000,0.35920000,2365523742.00000000,2365523742.00000000
2022-06-19,0.34330000,0.35070000,0.28720000,0.32640000,0.34330000,0.35070000,0.28720000,0.32640000,4642208563.77999973,4642208563.77999973
2022-06-12,0.39540000,0.41750000,0.33940000,0.34330000,0.39540000,0.41750000,0.33940000,0.34330000,2395704882.00000000,2395704882.00000000
2022-06-05,0.38910000,0.43420000,0.38390000,0.39530000,0.38910000,0.43420000,0.38390000,0.39530000,2133261615.00000000,2133261615.00000000
2022-05-29,0.42170000,0.42870000,0.37530000,0.38910000,0.42170000,0.42870000,0.37530000,0.38910000,2625332951.00000000,2625332951.00000000
2022-05-22,0.44810000,0.44810000,0.39080000,0.42180000,0.44810000,0.44810000,0.39080000,0.42180000,2112821831.00000000,2112821831.00000000
2022-05-15,0.56630000,0.57890000,0.33610000,0.44810000,0.56630000,0.57890000,0.33610000,0.44810000,6317702707.18000031,6317702707.18000031
2022-05-08,0.60700000,0.65720000,0.55720000,0.56620000,0.60700000,0.65720000,0.55720000,0.56620000,2352614223.00000000,2352614223.00000000
2022-05-01,0.69800000,0.70650000,0.56630000,0.60700000,0.69800000,0.70650000,0.56630000,0.60700000,2232211990.00000000,2232211990.00000000
2022-04-24,0.75190000,0.78600000,0.69440000,0.69810000,0.75190000,0.78600000,0.69440000,0.69810000,1447186459.00000000,1447186459.00000000
2022-04-17,0.75430000,0.79990000,0.68020000,0.75190000,0.75430000,0.79990000,0.68020000,0.75190000,1909753786.00000000,1909753786.00000000
2022-04-10,0.84320000,0.84400000,0.74630000,0.75430000,0.84320000,0.84400000,0.74630000,0.75430000,1372216643.00000000,1372216643.00000000
2022-04-03,0.85790000,0.93000000,0.77940000,0.84320000,0.85790000,0.93000000,0.77940000,0.84320000,1935504247.00000000,1935504247.00000000
2022-03-27,0.80570000,0.86530000,0.78750000,0.85800000,0.80570000,0.86530000,0.78750000,0.85800000,1674262855.00000000,1674262855.00000000
2022-03-20,0.76020000,0.82680000,0.74130000,0.80570000,0.76020000,0.82680000,0.74130000,0.80570000,1841805037.00000000,1841805037.00000000
2022-03-13,0.72520000,0.84900000,0.70330000,0.76020000,0.72520000,0.84900000,0.70330000,0.76020000,3012363038.00000000,3012363038.00000000
2022-03-06,0.72160000,0.80390000,0.69420000,0.72510000,0.72160000,0.80390000,0.69420000,0.72510000,2599406881.00000000,2599406881.00000000
2022-02-27,0.77690000,0.80200000,0.62150000,0.72150000,0.77690000,0.80200000,0.62150000,0.72150000,4162605507.00000000,4162605507.00000000
2022-02-20,0.80570000,0.85990000,0.75350000,0.77690000,0.80570000,0.85990000,0.75350000,0.77690000,2617590228.00000000,2617590228.00000000
2022-02-13,0.68250000,0.91680000,0.67120000,0.80570000,0.68250000,0.91680000,0.67120000,0.80570000,4123068194.00000000,4123068194.00000000
2022-02-06,0.60120000,0.68800000,0.58030000,0.68250000,0.60120000,0.68800000,0.58030000,0.68250000,1474315485.00000000,1474315485.00000000
2022-01-30,0.62840000,0.65860000,0.55240000,0.60130000,0.62840000,0.65860000,0.55240000,0.60130000,2114443344.00000000,2114443344.00000000
2022-01-23,0.77850000,0.78050000,0.54890000,0.62830000,0.77850000,0.78050000,0.54890000,0.62830000,2480633271.11999989,2480633271.11999989
2022-01-16,0.75300000,0.81600000,0.69670000,0.77840000,0.75300000,0.81600000,0.69670000,0.77840000,1575296285.00000000,1575296285.00000000
2022-01-09,0.85860000,0.85870000,0.70920000,0.75300000,0.85860000,0.85870000,0.70920000,0.75300000,1848325880.00000000,1848325880.00000000
2022-01-02,0.92000000,0.95600000,0.80200000,0.85860000,0.92000000,0.95600000,0.80200000,0.85860000,1633235687.00000000,1633235687.00000000
2021-12-26,0.83500000,1.01670000,0.82410000,0.92000000,0.83500000,1.01670000,0.82410000,0.92000000,2888344656.00000000,2888344656.00000000
2021-12-19,0.83940000,0.84850000,0.76010000,0.83500000,0.83940000,0.84850000,0.76010000,0.83500000,1886045533.00000000,1886045533.00000000
2021-12-12,0.80450000,0.93610000,0.74850000,0.83930000,0.80450000,0.93610000,0.74850000,0.83930000,2933792581.00000000,2933792581.00000000
2021-12-05,0.96870000,1.03040000,0.60000000,0.80450000,0.96870000,1.03040000,0.60000000,0.80450000,3280780122.03999996,3280780122.03999996
2021-11-28,1.05710000,1.07350000,0.88250000,0.96870000,1.05710000,1.07350000,0.88250000,0.96870000,2526675890.00000000,2526675890.00000000
2021-11-21,1.18790000,1.21980000,1.01500000,1.05690000,1.18790000,1.21980000,1.01500000,1.05690000,2777421078.00000000,2777421078.00000000
2021-11-14,1.21980000,1.34930000,1.11740000,1.18790000,1.21980000,1.34930000,1.11740000,1.18790000,3357958179.00000000,3357958179.00000000
2021-11-07,1.11280000,1.25740000,1.06900000,1.21980000,1.11280000,1.25740000,1.06900000,1.21980000,3122292111.00000000,3122292111.00000000
2021-10-31,1.08210000,1.16060000,0.94830000,1.11280000,1.08210000,1.16060000,0.94830000,1.11280000,3648015428.00000000,3648015428.00000000
2021-10-24,1.09430000,1.16400000,1.05220000,1.08210000,1.09430000,1.16400000,1.05220000,1.08210000,2102460091.00000000,2102460091.00000000
2021-10-17,1.13520000,1.18690000,1.01720000,1.09440000,1.13520000,1.18690000,1.01720000,1.09440000,2939681539.00000000,2939681539.00000000
2021-10-10,1.05520000,1.23000000,1.00590000,1.13520000,1.05520000,1.23000000,1.00590000,1.13520000,3426582540.72000027,3426582540.72000027
2021-10-03,0.94360000,1.08840000,0.88610000,1.05520000,0.94360000,1.08840000,0.88610000,1.05520000,2909283161.00000000,2909283161.00000000
2021-09-26,1.04830000,1.04970000,0.85820000,0.94360000,1.04830000,1.04970000,0.85820000,0.94360000,3822148110.55000019,3822148110.55000019
2021-09-19,1.11810000,1.13000000,1.02500000,1.04830000,1.11810000,1.13000000,1.02500000,1.04830000,2082909457.00000000,2082909457.00000000
2021-09-12,1.30750000,1.41510000,0.95240000,1.11810000,1.30750000,1.41510000,0.95240000,1.11810000,4969938894.81000042,4969938894.81000042
2021-09-05,1.14080000,1.32350000,1.09070000,1.30760000,1.14080000,1.32350000,1.09070000,1.30760000,3263806601.18999958,3263806601.18999958
2021-08-29,1.22580000,1.30460000,1.05010000,1.14080000,1.22580000,1.30460000,1.05010000,1.14080000,3593640021.76000023,3593640021.76000023
2021-08-22,1.28380000,1.32880000,1.05010000,1.22600000,1.28380000,1.32880000,1.05010000,1.22600000,4747976648.67000008,4747976648.67000008
2021-08-15,0.77880000,1.35000000,0.75960000,1.28390000,0.77880000,1.35000000,0.75960000,1.28390000,6338126412.69999981,6338126412.69999981
2021-08-08,0.72420000,0.84130000,0.69520000,0.77880000,0.72420000,0.84130000,0.69520000,0.77880000,2922003717.57999992,2922003717.57999992
2021-08-01,0.60690000,0.77780000,0.60480000,0.72420000,0.60690000,0.77780000,0.60480000,0.72420000,4367676609.55000019,4367676609.55000019
2021-07-25,0.58670000,0.62050000,0.51570000,0.60690000,0.58670000,0.62050000,0.51570000,0.60690000,2529429276.53000069,2529429276.53000069
2021-07-18,0.63630000,0.65750000,0.56000000,0.58660000,0.63630000,0.65750000,0.56000000,0.58660000,2152237858.25000000,2152237858.25000000
2021-07-11,0.69600000,0.69700000,0.59170000,0.63640000,0.69600000,0.69700000,0.59170000,0.63640000,2319102535.54000044,2319102535.54000044
2021-07-04,0.64830000,0.73400000,0.62380000,0.69600000,0.64830000,0.73400000,0.62380000,0.69600000,3327095608.11000013,3327095608.11000013
2021-06-27,0.77410000,0.78030000,0.50900000,0.64840000,0.77410000,0.78030000,0.50900000,0.64840000,6302869143.23000050,6302869143.23000050
2021-06-20,0.88330000,0.93000000,0.69680000,0.77410000,0.88330000,0.93000000,0.69680000,0.77410000,2801385721.02999973,2801385721.02999973
2021-06-13,0.94690000,0.97600000,0.78380000,0.88320000,0.94690000,0.97600000,0.78380000,0.88320000,4159969419.50000048,4159969419.50000048
2021-06-06,0.90580000,1.10000000,0.87890000,0.94700000,0.90580000,1.10000000,0.87890000,0.94700000,5558981760.72999954,5558981760.72999954
2021-05-30,0.78990000,1.07000000,0.75370000,0.90580000,0.78990000,1.07000000,0.75370000,0.90580000,8464136353.68000031,8464136353.68000031
2021-05-23,1.44960000,1.70500000,0.65000000,0.78980000,1.44960000,1.70500000,0.65000000,0.78980000,13797382259.36000061,13797382259.36000061
2021-05-16,1.53430000,1.62700000,1.20000000,1.44960000,1.53430000,1.62700000,1.20000000,1.44960000,7982188639.24000072,7982188639.24000072
2021-05-09,1.56050000,1.76580000,1.32000000,1.53450000,1.56050000,1.76580000,1.32000000,1.53450000,6951506158.34000015,6951506158.34000015
2021-05-02,1.03530000,1.66660000,1.01330000,1.56050000,1.03530000,1.66660000,1.01330000,1.56050000,8033448295.11999989,8033448295.11999989
2021-04-25,1.40797000,1.53390000,0.88601000,1.03510000,1.40797000,1.53390000,0.88601000,1.03510000,11001436346.11999893,11001436346.11999893
2021-04-18,1.35118000,1.96689000,1.16000000,1.40797000,1.35118000,1.96689000,1.16000000,1.40797000,11851446340.21999931,11851446340.21999931
2021-04-11,0.63501000,1.50000000,0.61940000,1.35118000,0.63501000,1.50000000,0.61940000,1.35118000,16389946875.03999901,16389946875.03999901
2021-04-04,0.54550000,0.64262000,0.52624000,0.63500000,0.54550000,0.64262000,0.52624000,0.63500000,4942923356.50000000,4942923356.50000000
2021-03-28,0.51661000,0.60000000,0.45212000,0.54552000,0.51661000,0.60000000,0.45212000,0.54552000,6086074067.69999981,6086074067.69999981
2021-03-21,0.43900000,0.54999000,0.42268000,0.51651000,0.43900000,0.54999000,0.42268000,0.51651000,5478680455.50000000,5478680455.50000000
2021-03-14,0.46579000,0.48987000,0.42205000,0.43905000,0.46579000,0.48987000,0.42205000,0.43905000,3937347706.29999971,3937347706.29999971
2021-03-07,0.41570000,0.49449000,0.41207000,0.46558000,0.41570000,0.49449000,0.41207000,0.46558000,4576311284.69999981,4576311284.69999981
2021-02-28,0.54468000,0.65155000,0.36500000,0.41565000,0.54468000,0.65155000,0.36500000,0.41565000,10025570601.70000076,10025570601.70000076
2021-02-21,0.59217000,0.60430000,0.47231000,0.54468000,0.59217000,0.60430000,0.47231000,0.54468000,7441687077.20000076,7441687077.20000076
2021-02-14,0.41848000,0.64244000,0.41250000,0.59211000,0.41848000,0.64244000,0.41250000,0.59211000,9686713793.29999924,9686713793.29999924
2021-02-07,0.49516000,0.75500000,0.34010000,0.41849000,0.49516000,0.75500000,0.34010000,0.41849000,17934624892.29999924,17934624892.29999924
2021-01-31,0.27335000,0.51780000,0.24388000,0.49507000,0.27335000,0.51780000,0.24388000,0.49507000,13924474533.19999886,13924474533.19999886
2021-01-24,0.27741000,0.33000000,0.24021000,0.27339000,0.27741000,0.33000000,0.24021000,0.27339000,5175176228.20000076,5175176228.20000076
2021-01-17,0.31487000,0.31627000,0.25343000,0.27746000,0.31487000,0.31627000,0.25343000,0.27746000,6869609306.50000000,6869609306.50000000
2021-01-10,0.22540000,0.37000000,0.21774000,0.31491000,0.22540000,0.37000000,0.21774000,0.31491000,13266834965.00000000,13266834965.00000000
2021-01-03,0.28401000,0.31000000,0.17351000,0.22540000,0.28401000,0.31000000,0.17351000,0.22540000,13536042440.50000000,13536042440.50000000
2020-12-27,0.55576000,0.56935000,0.21164000,0.28407000,0.55576000,0.56935000,0.21164000,0.28407000,16960592430.10000038,16960592430.10000038
2020-12-20,0.51366000,0.65852000,0.43722000,0.55586000,0.51366000,0.65852000,0.43722000,0.55586000,6070388359.10000038,6070388359.10000038
2020-12-13,0.62096000,0.62400000,0.48521000,0.51365000,0.62096000,0.62400000,0.48521000,0.51365000,4926781338.69999981,4926781338.69999981
2020-12-06,0.60543000,0.68100000,0.54253000,0.62107000,0.60543000,0.68100000,0.54253000,0.62107000,4974554046.80000019,4974554046.80000019
2020-11-29,0.44592000,0.78068000,0.43232000,0.60543000,0.44592000,0.78068000,0.43232000,0.60543000,12135736122.00000000,12135736122.00000000
2020-11-22,0.26957000,0.49659000,0.26737000,0.44611000,0.26957000,0.49659000,0.26737000,0.44611000,5725955389.09999943,5725955389.09999943
2020-11-15,0.25368000,0.27770000,0.24557000,0.26954000,0.25368000,0.27770000,0.24557000,0.26954000,1443389174.20000005,1443389174.20000005
2020-11-08,0.23999000,0.26733000,0.22772000,0.25374000,0.23999000,0.26733000,0.22772000,0.25374000,1412518521.59999990,1412518521.59999990
2020-11-01,0.25313000,0.25910000,0.23057000,0.23999000,0.25313000,0.25910000,0.23057000,0.23999000,841596627.39999986,841596627.39999986
2020-10-25,0.24220000,0.26357000,0.24011000,0.25313000,0.24220000,0.26357000,0.24011000,0.25313000,1050421592.40000010,1050421592.40000010
2020-10-18,0.25545000,0.25997000,0.23750000,0.24221000,0.25545000,0.25997000,0.23750000,0.24221000,1101515083.59999990,1101515083.59999990
2020-10-11,0.24794000,0.26071000,0.24021000,0.25544000,0.24794000,0.26071000,0.24021000,0.25544000,1469484892.30000019,1469484892.30000019
2020-10-04,0.24329000,0.25024000,0.22829000,0.24794000,0.24329000,0.25024000,0.22829000,0.24794000,823199145.49999988,823199145.49999988
2020-09-27,0.24657000,0.24809000,0.21944000,0.24334000,0.24657000,0.24809000,0.21944000,0.24334000,1019427818.20000005,1019427818.20000005
2020-09-20,0.24214000,0.25860000,0.23410000,0.24652000,0.24214000,0.25860000,0.23410000,0.24652000,922548593.89999998,922548593.89999998
2020-09-13,0.23987000,0.25350000,0.22962000,0.24218000,0.23987000,0.25350000,0.22962000,0.24218000,1001791598.50000000,1001791598.50000000
2020-09-06,0.28302000,0.30400000,0.22937000,0.23986000,0.28302000,0.30400000,0.22937000,0.23986000,2136124997.69999981,2136124997.69999981
2020-08-30,0.28480000,0.29200000,0.25453000,0.28302000,0.28480000,0.29200000,0.25453000,0.28302000,1262194852.20000005,1262194852.20000005
2020-08-23,0.30460000,0.32689000,0.27330000,0.28480000,0.30460000,0.32689000,0.27330000,0.28480000,2256828215.69999981,2256828215.69999981
