timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.96400000,0.97000000,0.95700000,0.96900000,0.96400000,0.97000000,0.95700000,0.96900000,75701.10000000,75701.10000000
2023-05-07,1.00000000,1.03100000,0.95900000,0.96400000,1.00000000,1.03100000,0.95900000,0.96400000,10848052.30000000,10848052.30000000
2023-04-30,1.01600000,1.05500000,0.95800000,0.99900000,1.01600000,1.05500000,0.95800000,0.99900000,16751120.90000000,16751120.90000000
2023-04-23,1.17900000,1.18000000,0.98900000,1.01600000,1.17900000,1.18000000,0.98900000,1.01600000,17969586.90000000,17969586.90000000
2023-04-16,1.10000000,1.19000000,1.07700000,1.17700000,1.10000000,1.19000000,1.07700000,1.17700000,18928424.80000000,18928424.80000000
2023-04-09,1.09900000,1.17500000,1.07300000,1.10000000,1.09900000,1.17500000,1.07300000,1.10000000,21560204.40000000,21560204.40000000
2023-04-02,1.13800000,1.15400000,1.05700000,1.09900000,1.13800000,1.15400000,1.05700000,1.09900000,19577138.40000000,19577138.40000000
2023-03-26,1.24100000,1.26800000,1.07900000,1.13700000,1.24100000,1.26800000,1.07900000,1.13700000,19255712.50000000,19255712.50000000
2023-03-19,1.05100000,1.26300000,1.02300000,1.24000000,1.05100000,1.26300000,1.02300000,1.24000000,35982289.30000000,35982289.30000000
2023-03-12,1.11300000,1.14700000,0.95200000,1.05000000,1.11300000,1.14700000,0.95200000,1.05000000,22623021.90000000,22623021.90000000
2023-03-05,1.21400000,1.22300000,1.05700000,1.11400000,1.21400000,1.22300000,1.05700000,1.11400000,17732731.20000000,17732731.20000000
2023-02-26,1.18900000,1.49000000,1.15000000,1.21500000,1.18900000,1.49000000,1.15000000,1.21500000,71306845.70000000,71306845.70000000
2023-02-19,1.07900000,1.21500000,1.00300000,1.18900000,1.07900000,1.21500000,1.00300000,1.18900000,18483389.20000000,18483389.20000000
2023-02-12,1.18800000,1.26500000,1.05100000,1.07900000,1.18800000,1.26500000,1.05100000,1.07900000,20377440.90000000,20377440.90000000
2023-02-05,1.15900000,1.24000000,1.01700000,1.18800000,1.15900000,1.24000000,1.01700000,1.18800000,28857074.30000000,28857074.30000000
2023-01-29,1.10700000,1.18700000,1.02500000,1.16000000,1.10700000,1.18700000,1.02500000,1.16000000,23810506.40000000,23810506.40000000
2023-01-22,1.02900000,1.18700000,0.93800000,1.10700000,1.02900000,1.18700000,0.93800000,1.10700000,29306955.60000000,29306955.60000000
2023-01-15,0.82200000,1.08600000,0.80700000,1.02800000,0.82200000,1.08600000,0.80700000,1.02800000,30689027.90000000,30689027.90000000
2023-01-08,0.71900000,0.82800000,0.70700000,0.82100000,0.71900000,0.82800000,0.70700000,0.82100000,12021729.80000000,12021729.80000000
2023-01-01,0.78400000,0.79800000,0.69900000,0.71900000,0.78400000,0.79800000,0.69900000,0.71900000,9997073.10000000,9997073.10000000
2022-12-25,0.83600000,0.84700000,0.75800000,0.78400000,0.83600000,0.84700000,0.75800000,0.78400000,10982565.60000000,10982565.60000000
2022-12-18,0.98700000,0.98800000,0.82500000,0.83600000,0.98700000,0.98800000,0.82500000,0.83600000,26549661.70000000,26549661.70000000
2022-12-11,1.00400000,1.03100000,0.96800000,0.98700000,1.00400000,1.03100000,0.96800000,0.98700000,10003436.80000000,10003436.80000000
2022-12-04,0.98800000,1.04000000,0.94700000,1.00500000,0.98800000,1.04000000,0.94700000,1.00500000,12844833.60000000,12844833.60000000
2022-11-27,0.97300000,1.02800000,0.91200000,0.98800000,0.97300000,1.02800000,0.91200000,0.98800000,19034842.30000000,19034842.30000000
2022-11-20,1.00900000,1.04800000,0.93600000,0.97300000,1.00900000,1.04800000,0.93600000,0.97300000,17755751.00000000,17755751.00000000
