timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00204200,0.00206000,0.00204000,0.00205300,0.00204200,0.00206000,0.00204000,0.00205300,9115595.00000000,9115595.00000000
2023-05-07,0.00227000,0.00230800,0.00204100,0.00204200,0.00227000,0.00230800,0.00204100,0.00204200,1047896681.00000000,1047896681.00000000
2023-04-30,0.00230700,0.00241500,0.00219600,0.00227000,0.00230700,0.00241500,0.00219600,0.00227000,1017485877.00000000,1017485877.00000000
2023-04-23,0.00260000,0.00263700,0.00227200,0.00230800,0.00260000,0.00263700,0.00227200,0.00230800,1625412692.00000000,1625412692.00000000
2023-04-16,0.00267800,0.00294300,0.00248900,0.00260000,0.00267800,0.00294300,0.00248900,0.00260000,3343313174.00000000,3343313174.00000000
2023-04-09,0.00258000,0.00277000,0.00242800,0.00267700,0.00258000,0.00277000,0.00242800,0.00267700,2542559588.00000000,2542559588.00000000
2023-04-02,0.00284500,0.00286800,0.00257300,0.00258000,0.00284500,0.00286800,0.00257300,0.00258000,907861498.00000000,907861498.00000000
2023-03-26,0.00297800,0.00307300,0.00276900,0.00284500,0.00297800,0.00307300,0.00276900,0.00284500,775569173.00000000,775569173.00000000
2023-03-19,0.00280800,0.00307000,0.00272600,0.00297300,0.00280800,0.00307000,0.00272600,0.00297300,842105509.00000000,842105509.00000000
2023-03-12,0.00308300,0.00310500,0.00239900,0.00280800,0.00308300,0.00310500,0.00239900,0.00280800,699146724.00000000,699146724.00000000
2023-03-05,0.00338800,0.00350000,0.00300000,0.00307900,0.00338800,0.00350000,0.00300000,0.00307900,700849311.00000000,700849311.00000000
2023-02-26,0.00339300,0.00369000,0.00317900,0.00338800,0.00339300,0.00369000,0.00317900,0.00338800,1425101866.00000000,1425101866.00000000
2023-02-19,0.00306000,0.00348100,0.00291800,0.00339500,0.00306000,0.00348100,0.00291800,0.00339500,1338219882.00000000,1338219882.00000000
2023-02-12,0.00313000,0.00398000,0.00293000,0.00307000,0.00313000,0.00398000,0.00293000,0.00307000,1961794735.00000000,1961794735.00000000
2023-02-05,0.00318000,0.00327000,0.00296000,0.00313000,0.00318000,0.00327000,0.00296000,0.00313000,1537410933.00000000,1537410933.00000000
2023-01-29,0.00289000,0.00337000,0.00287000,0.00318000,0.00289000,0.00337000,0.00287000,0.00318000,1705999574.00000000,1705999574.00000000
2023-01-22,0.00291000,0.00306000,0.00269000,0.00290000,0.00291000,0.00306000,0.00269000,0.00290000,1089404369.00000000,1089404369.00000000
2023-01-15,0.00275000,0.00308000,0.00273000,0.00292000,0.00275000,0.00308000,0.00273000,0.00292000,1141044098.00000000,1141044098.00000000
2023-01-08,0.00271000,0.00283000,0.00267000,0.00275000,0.00271000,0.00283000,0.00267000,0.00275000,477430165.00000000,477430165.00000000
2023-01-01,0.00274000,0.00323000,0.00262000,0.00269000,0.00274000,0.00323000,0.00262000,0.00269000,928256840.00000000,928256840.00000000
2022-12-25,0.00265000,0.00291000,0.00256000,0.00274000,0.00265000,0.00291000,0.00256000,0.00274000,852981761.00000000,852981761.00000000
2022-12-18,0.00261000,0.00294000,0.00248000,0.00264000,0.00261000,0.00294000,0.00248000,0.00264000,2234239807.00000000,2234239807.00000000
2022-12-11,0.00253000,0.00299000,0.00242000,0.00261000,0.00253000,0.00299000,0.00242000,0.00261000,1372801922.00000000,1372801922.00000000
2022-12-04,0.00252000,0.00284000,0.00242000,0.00251000,0.00252000,0.00284000,0.00242000,0.00251000,904129021.00000000,904129021.00000000
2022-11-27,0.00225000,0.00343000,0.00211000,0.00252000,0.00225000,0.00343000,0.00211000,0.00252000,3802878641.00000000,3802878641.00000000
2022-11-20,0.00222000,0.00263000,0.00210000,0.00224000,0.00222000,0.00263000,0.00210000,0.00224000,1205355552.00000000,1205355552.00000000
2022-11-13,0.00331000,0.00338000,0.00175000,0.00223000,0.00331000,0.00338000,0.00175000,0.00223000,1963218836.00000000,1963218836.00000000
2022-11-06,0.00326000,0.00348000,0.00304000,0.00331000,0.00326000,0.00348000,0.00304000,0.00331000,874201957.00000000,874201957.00000000
