timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-01-25,4.34700000,4.48100000,4.28400000,4.44600000,4.34700000,4.48100000,4.28400000,4.44600000,44584.57200000,44584.57200000
2021-01-24,6.28700000,9.67700000,3.90000000,4.34800000,6.28700000,9.67700000,3.90000000,4.34800000,6033682.37100000,6033682.37100000
2021-01-17,4.12800000,6.97900000,3.49000000,6.26100000,4.12800000,6.97900000,3.49000000,6.26100000,3728819.11000000,3728819.11000000
2021-01-10,2.91000000,4.74000000,2.75000000,4.13800000,2.91000000,4.74000000,2.75000000,4.13800000,2735044.55900000,2735044.55900000
2021-01-03,3.56200000,3.69900000,2.85100000,2.87900000,3.56200000,3.69900000,2.85100000,2.87900000,1003410.60100000,1003410.60100000
2020-12-27,3.66100000,3.87500000,2.76800000,3.56900000,3.66100000,3.87500000,2.76800000,3.56900000,1205551.42000000,1205551.42000000
2020-12-20,3.42500000,4.10000000,3.35100000,3.67200000,3.42500000,4.10000000,3.35100000,3.67200000,1694311.60100000,1694311.60100000
2020-12-13,3.97000000,4.09300000,3.17100000,3.42500000,3.97000000,4.09300000,3.17100000,3.42500000,536308.51600000,536308.51600000
2020-12-06,4.44300000,4.66500000,3.91900000,3.96300000,4.44300000,4.66500000,3.91900000,3.96300000,897278.80000000,897278.80000000
2020-11-29,3.43000000,4.97000000,3.38500000,4.45900000,3.43000000,4.97000000,3.38500000,4.45900000,2285629.76600000,2285629.76600000
2020-11-22,3.26900000,3.71800000,3.02100000,3.43100000,3.26900000,3.71800000,3.02100000,3.43100000,654887.18100000,654887.18100000
2020-11-15,3.28400000,3.48900000,3.08000000,3.26800000,3.28400000,3.48900000,3.08000000,3.26800000,450023.83300000,450023.83300000
2020-11-08,3.06100000,3.64700000,2.70400000,3.28500000,3.06100000,3.64700000,2.70400000,3.28500000,683728.12000000,683728.12000000
2020-11-01,4.25700000,4.31400000,3.00000000,3.06000000,4.25700000,4.31400000,3.00000000,3.06000000,667311.12600000,667311.12600000
2020-10-25,3.97300000,4.60000000,3.69700000,4.24500000,3.97300000,4.60000000,3.69700000,4.24500000,415790.85800000,415790.85800000
2020-10-18,4.01000000,5.16500000,3.74900000,3.97400000,4.01000000,5.16500000,3.74900000,3.97400000,653965.98500000,653965.98500000
2020-10-11,3.83900000,4.06600000,3.47700000,4.00800000,3.83900000,4.06600000,3.47700000,4.00800000,247847.14900000,247847.14900000
