timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,8.60000000,8.69000000,8.57000000,8.67000000,8.60000000,8.69000000,8.57000000,8.67000000,6239.33000000,6239.33000000
2023-05-07,9.69000000,9.77000000,8.56000000,8.61000000,9.69000000,9.77000000,8.56000000,8.61000000,908870.22000000,908870.22000000
2023-04-30,9.69000000,10.28000000,9.00000000,9.69000000,9.69000000,10.28000000,9.00000000,9.69000000,1091726.06000000,1091726.06000000
2023-04-23,11.59000000,11.81000000,9.19000000,9.68000000,11.59000000,11.81000000,9.19000000,9.68000000,1473407.51000000,1473407.51000000
2023-04-16,10.53000000,11.66000000,10.24000000,11.60000000,10.53000000,11.66000000,10.24000000,11.60000000,1362611.85000000,1362611.85000000
2023-04-09,10.90000000,11.29000000,10.18000000,10.54000000,10.90000000,11.29000000,10.18000000,10.54000000,1144532.76000000,1144532.76000000
2023-04-02,10.31000000,11.15000000,9.55000000,10.88000000,10.31000000,11.15000000,9.55000000,10.88000000,1734740.44000000,1734740.44000000
2023-03-26,10.75000000,11.16000000,9.73000000,10.31000000,10.75000000,11.16000000,9.73000000,10.31000000,2073581.71000000,2073581.71000000
2023-03-19,9.82000000,11.46000000,9.49000000,10.74000000,9.82000000,11.46000000,9.49000000,10.74000000,2842848.11000000,2842848.11000000
2023-03-12,10.72000000,11.11000000,8.56000000,9.83000000,10.72000000,11.11000000,8.56000000,9.83000000,2246349.37000000,2246349.37000000
2023-03-05,12.83000000,12.87000000,10.30000000,10.72000000,12.83000000,12.87000000,10.30000000,10.72000000,2449084.88000000,2449084.88000000
2023-02-26,12.99000000,14.89000000,11.87000000,12.82000000,12.99000000,14.89000000,11.87000000,12.82000000,3094576.56000000,3094576.56000000
2023-02-19,12.51000000,15.67000000,11.63000000,12.98000000,12.51000000,15.67000000,11.63000000,12.98000000,7592304.34000000,7592304.34000000
2023-02-12,10.33000000,14.98000000,9.50000000,12.52000000,10.33000000,14.98000000,9.50000000,12.52000000,8295675.91000000,8295675.91000000
2023-02-05,11.26000000,11.30000000,9.70000000,10.32000000,11.26000000,11.30000000,9.70000000,10.32000000,3466315.67000000,3466315.67000000
2023-01-29,10.78000000,11.54000000,9.89000000,11.26000000,10.78000000,11.54000000,9.89000000,11.26000000,2540307.93000000,2540307.93000000
2023-01-22,10.55000000,11.18000000,9.52000000,10.77000000,10.55000000,11.18000000,9.52000000,10.77000000,2072874.07000000,2072874.07000000
2023-01-15,8.72000000,10.85000000,8.42000000,10.55000000,8.72000000,10.85000000,8.42000000,10.55000000,2338292.24000000,2338292.24000000
2023-01-08,9.40000000,9.53000000,8.23000000,8.71000000,9.40000000,9.53000000,8.23000000,8.71000000,829434.92000000,829434.92000000
2023-01-01,9.13000000,9.59000000,8.70000000,9.41000000,9.13000000,9.59000000,8.70000000,9.41000000,445466.70000000,445466.70000000
2022-12-25,8.63000000,9.20000000,8.13000000,9.13000000,8.63000000,9.20000000,8.13000000,9.13000000,477227.82000000,477227.82000000
2022-12-18,10.18000000,10.55000000,8.55000000,8.62000000,10.18000000,10.55000000,8.55000000,8.62000000,693640.19000000,693640.19000000
2022-12-11,10.96000000,11.18000000,9.84000000,10.19000000,10.96000000,11.18000000,9.84000000,10.19000000,684994.93000000,684994.93000000
2022-12-04,9.57000000,11.11000000,9.07000000,10.95000000,9.57000000,11.11000000,9.07000000,10.95000000,566515.72000000,566515.72000000
2022-11-27,8.78000000,10.14000000,8.35000000,9.57000000,8.78000000,10.14000000,8.35000000,9.57000000,1007030.11000000,1007030.11000000
2022-11-20,10.48000000,11.33000000,8.72000000,8.78000000,10.48000000,11.33000000,8.72000000,8.78000000,853368.69000000,853368.69000000
2022-11-13,13.69000000,14.06000000,8.90000000,10.49000000,13.69000000,14.06000000,8.90000000,10.49000000,1963854.84600000,1963854.84600000
2022-11-06,13.60000000,15.12000000,12.49000000,13.69000000,13.60000000,15.12000000,12.49000000,13.69000000,707513.30000000,707513.30000000
2022-10-30,13.07000000,14.28000000,12.67000000,13.59000000,13.07000000,14.28000000,12.67000000,13.59000000,546120.18000000,546120.18000000
2022-10-23,12.72000000,13.63000000,12.06000000,13.06000000,12.72000000,13.63000000,12.06000000,13.06000000,596049.38000000,596049.38000000
2022-10-16,13.53000000,13.78000000,11.51000000,12.72000000,13.53000000,13.78000000,11.51000000,12.72000000,369012.07000000,369012.07000000
2022-10-09,13.47000000,14.53000000,13.30000000,13.53000000,13.47000000,14.53000000,13.30000000,13.53000000,271000.83000000,271000.83000000
2022-10-02,13.80000000,14.91000000,13.39000000,13.46000000,13.80000000,14.91000000,13.39000000,13.46000000,459572.57000000,459572.57000000
2022-09-25,13.38000000,14.51000000,13.04000000,13.81000000,13.38000000,14.51000000,13.04000000,13.81000000,653948.37000000,653948.37000000
2022-09-18,16.47000000,17.11000000,13.09000000,13.38000000,16.47000000,17.11000000,13.09000000,13.38000000,750030.85000000,750030.85000000
2022-09-11,16.44000000,17.25000000,14.24000000,16.48000000,16.44000000,17.25000000,14.24000000,16.48000000,764693.36000000,764693.36000000
2022-09-04,14.87000000,16.59000000,14.69000000,16.44000000,14.87000000,16.59000000,14.69000000,16.44000000,547509.34000000,547509.34000000
