timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.02609000,0.02623000,0.02593000,0.02607000,0.02609000,0.02623000,0.02593000,0.02607000,5398869.40000000,5398869.40000000
2023-05-07,0.02803000,0.02818000,0.02587000,0.02608000,0.02803000,0.02818000,0.02587000,0.02608000,980976721.50000000,980976721.50000000
2023-04-30,0.03221000,0.03283000,0.02725000,0.02803000,0.03221000,0.03283000,0.02725000,0.02803000,2505552549.80000019,2505552549.80000019
2023-04-23,0.03256000,0.03620000,0.02927000,0.03222000,0.03256000,0.03620000,0.02927000,0.03222000,6992827763.40000153,6992827763.40000153
2023-04-16,0.02924000,0.03257000,0.02826000,0.03256000,0.02924000,0.03257000,0.02826000,0.03256000,1429773194.89999986,1429773194.89999986
2023-04-09,0.03092000,0.03147000,0.02847000,0.02924000,0.03092000,0.03147000,0.02847000,0.02924000,1608481107.50000000,1608481107.50000000
2023-04-02,0.02736000,0.03267000,0.02521000,0.03091000,0.02736000,0.03267000,0.02521000,0.03091000,2830845465.40000010,2830845465.40000010
2023-03-26,0.02940000,0.02983000,0.02605000,0.02736000,0.02940000,0.02983000,0.02605000,0.02736000,1264820894.80000019,1264820894.80000019
2023-03-19,0.02445000,0.03000000,0.02361000,0.02938000,0.02445000,0.03000000,0.02361000,0.02938000,2340912799.69999981,2340912799.69999981
2023-03-12,0.02755000,0.02781000,0.02128000,0.02444000,0.02755000,0.02781000,0.02128000,0.02444000,1534707588.50000000,1534707588.50000000
2023-03-05,0.03283000,0.03315000,0.02656000,0.02756000,0.03283000,0.03315000,0.02656000,0.02756000,1029410033.50000000,1029410033.50000000
2023-02-26,0.03236000,0.03696000,0.03055000,0.03282000,0.03236000,0.03696000,0.03055000,0.03282000,3823851894.90000057,3823851894.90000057
2023-02-19,0.02920000,0.03479000,0.02760000,0.03234000,0.02920000,0.03479000,0.02760000,0.03234000,4604870852.19999981,4604870852.19999981
2023-02-12,0.02883000,0.03127000,0.02637000,0.02920000,0.02883000,0.03127000,0.02637000,0.02920000,2365210028.50000000,2365210028.50000000
2023-02-05,0.02955000,0.03210000,0.02579000,0.02883000,0.02955000,0.03210000,0.02579000,0.02883000,2735904209.10000038,2735904209.10000038
2023-01-29,0.02700000,0.03169000,0.02626000,0.02954000,0.02700000,0.03169000,0.02626000,0.02954000,3181253962.79999971,3181253962.79999971
2023-01-22,0.02592000,0.03080000,0.02403000,0.02698000,0.02592000,0.03080000,0.02403000,0.02698000,3184032890.00000000,3184032890.00000000
2023-01-15,0.02179000,0.02850000,0.02118000,0.02593000,0.02179000,0.02850000,0.02118000,0.02593000,7695356181.80000019,7695356181.80000019
2023-01-08,0.01629000,0.02250000,0.01595000,0.02180000,0.01629000,0.02250000,0.01595000,0.02180000,1619986724.79999995,1619986724.79999995
2023-01-01,0.01762000,0.01774000,0.01527000,0.01628000,0.01762000,0.01774000,0.01527000,0.01628000,771125796.29999995,771125796.29999995
2022-12-25,0.01857000,0.01879000,0.01700000,0.01763000,0.01857000,0.01879000,0.01700000,0.01763000,618979217.20000005,618979217.20000005
2022-12-18,0.02197000,0.02239000,0.01821000,0.01857000,0.02197000,0.02239000,0.01821000,0.01857000,869015263.30000007,869015263.30000007
2022-12-11,0.02287000,0.02349000,0.02127000,0.02198000,0.02287000,0.02349000,0.02127000,0.02198000,663542716.20000005,663542716.20000005
2022-12-04,0.02271000,0.02359000,0.02136000,0.02288000,0.02271000,0.02359000,0.02136000,0.02288000,775576196.50000000,775576196.50000000
2022-11-27,0.02098000,0.02469000,0.02025000,0.02272000,0.02098000,0.02469000,0.02025000,0.02272000,1442018831.90000010,1442018831.90000010
2022-11-20,0.02081000,0.02356000,0.01942000,0.02098000,0.02081000,0.02356000,0.01942000,0.02098000,1952126213.59999967,1952126213.59999967
2022-11-13,0.03124000,0.03256000,0.01974000,0.02078000,0.03124000,0.03256000,0.01974000,0.02078000,3149526168.49999952,3149526168.49999952
2022-11-06,0.03110000,0.03420000,0.02907000,0.03124000,0.03110000,0.03420000,0.02907000,0.03124000,2347783581.90000010,2347783581.90000010
2022-10-30,0.02957000,0.03281000,0.02864000,0.03111000,0.02957000,0.03281000,0.02864000,0.03111000,1759165530.79999995,1759165530.79999995
2022-10-23,0.03060000,0.03700000,0.02821000,0.02955000,0.03060000,0.03700000,0.02821000,0.02955000,2177931411.30000019,2177931411.30000019
2022-10-16,0.03263000,0.03267000,0.02776000,0.03061000,0.03263000,0.03267000,0.02776000,0.03061000,1061261663.90000010,1061261663.90000010
2022-10-09,0.03043000,0.03290000,0.03000000,0.03263000,0.03043000,0.03290000,0.03000000,0.03263000,1116893170.20000005,1116893170.20000005
2022-10-02,0.03162000,0.03299000,0.03026000,0.03043000,0.03162000,0.03299000,0.03026000,0.03043000,1175422048.20000005,1175422048.20000005
2022-09-25,0.03162000,0.03382000,0.03069000,0.03163000,0.03162000,0.03382000,0.03069000,0.03163000,1457230177.30000019,1457230177.30000019
2022-09-18,0.03740000,0.03831000,0.03099000,0.03161000,0.03740000,0.03831000,0.03099000,0.03161000,1482330865.00000000,1482330865.00000000
2022-09-11,0.03657000,0.03846000,0.03293000,0.03741000,0.03657000,0.03846000,0.03293000,0.03741000,1606569663.89999986,1606569663.89999986
2022-09-04,0.03536000,0.03749000,0.03480000,0.03657000,0.03536000,0.03749000,0.03480000,0.03657000,1063035064.70000005,1063035064.70000005
2022-08-28,0.03775000,0.04143000,0.03516000,0.03536000,0.03775000,0.04143000,0.03516000,0.03536000,1897315601.90000010,1897315601.90000010
2022-08-21,0.04668000,0.04971000,0.03614000,0.03775000,0.04668000,0.04971000,0.03614000,0.03775000,2207393759.19999981,2207393759.19999981
2022-08-14,0.04545000,0.04921000,0.04181000,0.04666000,0.04545000,0.04921000,0.04181000,0.04666000,2531994592.00000048,2531994592.00000048
2022-08-07,0.04266000,0.04954000,0.04029000,0.04544000,0.04266000,0.04954000,0.04029000,0.04544000,3062182103.70000029,3062182103.70000029
2022-07-31,0.03980000,0.04532000,0.03581000,0.04263000,0.03980000,0.04532000,0.03581000,0.04263000,2750056076.09999990,2750056076.09999990
2022-07-24,0.03831000,0.04755000,0.03814000,0.03980000,0.03831000,0.04755000,0.03814000,0.03980000,3636532819.20000029,3636532819.20000029
2022-07-17,0.03932000,0.03958000,0.03415000,0.03830000,0.03932000,0.03958000,0.03415000,0.03830000,2247711297.70000029,2247711297.70000029
2022-07-10,0.03868000,0.04200000,0.03716000,0.03933000,0.03868000,0.04200000,0.03716000,0.03933000,2353601997.79999971,2353601997.79999971
2022-07-03,0.04562000,0.04779000,0.03514000,0.03868000,0.04562000,0.04779000,0.03514000,0.03868000,3205258552.39999962,3205258552.39999962
2022-06-26,0.03407000,0.05128000,0.03227000,0.04562000,0.03407000,0.05128000,0.03227000,0.04562000,7644705742.59999943,7644705742.59999943
2022-06-19,0.03718000,0.03789000,0.02937000,0.03407000,0.03718000,0.03789000,0.02937000,0.03407000,4734961771.90000057,4734961771.90000057
2022-06-12,0.05003000,0.05391000,0.03702000,0.03720000,0.05003000,0.05391000,0.03702000,0.03720000,2506402502.00000000,2506402502.00000000
2022-06-05,0.04854000,0.06000000,0.04807000,0.05005000,0.04854000,0.06000000,0.04807000,0.05005000,3685910067.99999952,3685910067.99999952
2022-05-29,0.05785000,0.05838000,0.04480000,0.04851000,0.05785000,0.05838000,0.04480000,0.04851000,4687883181.80000019,4687883181.80000019
2022-05-22,0.05491000,0.06276000,0.04595000,0.05786000,0.05491000,0.06276000,0.04595000,0.05786000,6777101902.60000038,6777101902.60000038
2022-05-15,0.07721000,0.08036000,0.03999000,0.05491000,0.07721000,0.08036000,0.03999000,0.05491000,12813032162.69999886,12813032162.69999886
2022-05-08,0.07323000,0.09855000,0.06663000,0.07718000,0.07323000,0.09855000,0.06663000,0.07718000,11706590834.29999924,11706590834.29999924
2022-05-01,0.10643000,0.10663000,0.06863000,0.07322000,0.10643000,0.10663000,0.06863000,0.07322000,5891867797.00000000,5891867797.00000000
2022-04-24,0.10941000,0.13540000,0.10081000,0.10640000,0.10941000,0.13540000,0.10081000,0.10640000,8583390571.30000114,8583390571.30000114
2022-04-17,0.11908000,0.13082000,0.10308000,0.10941000,0.11908000,0.13082000,0.10308000,0.10941000,8211334696.49999905,8211334696.49999905
2022-04-10,0.15400000,0.16411000,0.11465000,0.11908000,0.15400000,0.16411000,0.11465000,0.11908000,13102552811.79999924,13102552811.79999924
2022-04-03,0.10628000,0.23070000,0.09633000,0.15400000,0.10628000,0.23070000,0.09633000,0.15400000,29962376109.90000153,29962376109.90000153
2022-03-27,0.04264000,0.12528000,0.04107000,0.10624000,0.04264000,0.12528000,0.04107000,0.10624000,12593133221.79999924,12593133221.79999924
2022-03-20,0.03854000,0.04499000,0.03803000,0.04266000,0.03854000,0.04499000,0.03803000,0.04266000,870555198.19999993,870555198.19999993
2022-03-13,0.03798000,0.04420000,0.03655000,0.03853000,0.03798000,0.04420000,0.03655000,0.03853000,1611184809.90000010,1611184809.90000010
2022-03-06,0.03902000,0.04586000,0.03762000,0.03796000,0.03902000,0.04586000,0.03762000,0.03796000,947568116.60000002,947568116.60000002
2022-02-27,0.04339000,0.04546000,0.03317000,0.03902000,0.04339000,0.04546000,0.03317000,0.03902000,1286263408.00000000,1286263408.00000000
2022-02-20,0.04769000,0.05184000,0.04267000,0.04340000,0.04769000,0.05184000,0.04267000,0.04340000,867670892.20000005,867670892.20000005
2022-02-13,0.05323000,0.05901000,0.04667000,0.04768000,0.05323000,0.05901000,0.04667000,0.04768000,1302465424.70000005,1302465424.70000005
2022-02-06,0.04447000,0.05356000,0.04232000,0.05323000,0.04447000,0.05356000,0.04232000,0.05323000,1332703632.40000010,1332703632.40000010
2022-01-30,0.04430000,0.04847000,0.03758000,0.04451000,0.04430000,0.04847000,0.03758000,0.04451000,1517086463.40000033,1517086463.40000033
2022-01-23,0.06475000,0.06496000,0.03947000,0.04436000,0.06475000,0.06496000,0.03947000,0.04436000,1589967973.59999990,1589967973.59999990
2022-01-16,0.06200000,0.06910000,0.05610000,0.06477000,0.06200000,0.06910000,0.05610000,0.06477000,1118316991.30000019,1118316991.30000019
2022-01-09,0.07705000,0.07787000,0.05920000,0.06200000,0.07705000,0.07787000,0.05920000,0.06200000,1337865797.79999995,1337865797.79999995
2022-01-02,0.07670000,0.08534000,0.07330000,0.07705000,0.07670000,0.08534000,0.07330000,0.07705000,2270710819.69999981,2270710819.69999981
2021-12-26,0.06082000,0.07671000,0.05723000,0.07669000,0.06082000,0.07671000,0.05723000,0.07669000,1378954316.29999995,1378954316.29999995
2021-12-19,0.06532000,0.06580000,0.05698000,0.06084000,0.06532000,0.06580000,0.05698000,0.06084000,1119128968.50000000,1119128968.50000000
2021-12-12,0.06649000,0.07547000,0.05995000,0.06537000,0.06649000,0.07547000,0.05995000,0.06537000,1458077178.00000000,1458077178.00000000
2021-12-05,0.08383000,0.09580000,0.05264000,0.06646000,0.08383000,0.09580000,0.05264000,0.06646000,2244925380.30000019,2244925380.30000019
2021-11-28,0.09283000,0.09313000,0.07701000,0.08386000,0.09283000,0.09313000,0.07701000,0.08386000,1200879950.90000010,1200879950.90000010
2021-11-21,0.10157000,0.10548000,0.08454000,0.09283000,0.10157000,0.10548000,0.08454000,0.09283000,1280579685.29999995,1280579685.29999995
2021-11-14,0.10914000,0.11569000,0.09546000,0.10156000,0.10914000,0.11569000,0.09546000,0.10156000,1513434959.89999986,1513434959.89999986
2021-11-07,0.11245000,0.11667000,0.10367000,0.10915000,0.11245000,0.11667000,0.10367000,0.10915000,1510087385.90000010,1510087385.90000010
2021-10-31,0.10186000,0.12500000,0.09000000,0.11233000,0.10186000,0.12500000,0.09000000,0.11233000,2574621635.00000000,2574621635.00000000
2021-10-24,0.09388000,0.10669000,0.09000000,0.10185000,0.09388000,0.10669000,0.09000000,0.10185000,1473620077.60000014,1473620077.60000014
2021-10-17,0.09553000,0.10050000,0.08644000,0.09391000,0.09553000,0.10050000,0.08644000,0.09391000,1197446198.59999990,1197446198.59999990
2021-10-10,0.09964000,0.10770000,0.09356000,0.09558000,0.09964000,0.10770000,0.09356000,0.09558000,1626306383.29999995,1626306383.29999995
2021-10-03,0.08342000,0.10314000,0.07465000,0.09962000,0.08342000,0.10314000,0.07465000,0.09962000,1779708509.59999990,1779708509.59999990
2021-09-26,0.10248000,0.10269000,0.07650000,0.08351000,0.10248000,0.10269000,0.07650000,0.08351000,1395163364.69999981,1395163364.69999981
2021-09-19,0.11195000,0.11686000,0.09623000,0.10252000,0.11195000,0.11686000,0.09623000,0.10252000,1399205979.09999990,1399205979.09999990
2021-09-12,0.13274000,0.13484000,0.08562000,0.11178000,0.13274000,0.13484000,0.08562000,0.11178000,2560082385.00000000,2560082385.00000000
2021-09-05,0.10994000,0.13661000,0.10416000,0.13274000,0.10994000,0.13661000,0.10416000,0.13274000,1772355158.60000038,1772355158.60000038
2021-08-29,0.10950000,0.12438000,0.10173000,0.10997000,0.10950000,0.12438000,0.10173000,0.10997000,2120243949.49999976,2120243949.49999976
2021-08-22,0.11158000,0.11691000,0.09320000,0.10950000,0.11158000,0.11691000,0.09320000,0.10950000,1586082477.50000000,1586082477.50000000
2021-08-15,0.08699000,0.11633000,0.08351000,0.11150000,0.08699000,0.11633000,0.08351000,0.11150000,1697337824.59999990,1697337824.59999990
2021-08-08,0.07960000,0.09611000,0.07670000,0.08709000,0.07960000,0.09611000,0.07670000,0.08709000,1527450773.79999995,1527450773.79999995
2021-08-01,0.07424000,0.08846000,0.06956000,0.07955000,0.07424000,0.08846000,0.06956000,0.07955000,2136921560.79999995,2136921560.79999995
2021-07-25,0.06327000,0.07533000,0.05070000,0.07420000,0.06327000,0.07533000,0.05070000,0.07420000,1487415892.59999967,1487415892.59999967
2021-07-18,0.07397000,0.07502000,0.06033000,0.06325000,0.07397000,0.07502000,0.06033000,0.06325000,796380684.50000000,796380684.50000000
