timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.23730000,0.23910000,0.23620000,0.23820000,0.23730000,0.23910000,0.23620000,0.23820000,256605.00000000,256605.00000000
2023-05-07,0.25620000,0.25730000,0.23610000,0.23730000,0.25620000,0.25730000,0.23610000,0.23730000,19064040.00000000,19064040.00000000
2023-04-30,0.26120000,0.27410000,0.24400000,0.25600000,0.26120000,0.27410000,0.24400000,0.25600000,28066052.00000000,28066052.00000000
2023-04-23,0.30620000,0.31340000,0.25120000,0.26110000,0.30620000,0.31340000,0.25120000,0.26110000,59897216.00000000,59897216.00000000
2023-04-16,0.28770000,0.31720000,0.27070000,0.30610000,0.28770000,0.31720000,0.27070000,0.30610000,82699502.00000000,82699502.00000000
2023-04-09,0.28520000,0.39090000,0.26730000,0.28770000,0.28520000,0.39090000,0.26730000,0.28770000,320793816.00000000,320793816.00000000
2023-04-02,0.22880000,0.37360000,0.21090000,0.28530000,0.22880000,0.37360000,0.21090000,0.28530000,281802824.00000000,281802824.00000000
2023-03-26,0.24970000,0.25190000,0.21880000,0.22890000,0.24970000,0.25190000,0.21880000,0.22890000,47215460.00000000,47215460.00000000
2023-03-19,0.21280000,0.25500000,0.20500000,0.24940000,0.21280000,0.25500000,0.20500000,0.24940000,63588557.00000000,63588557.00000000
2023-03-12,0.23740000,0.24220000,0.18750000,0.21230000,0.23740000,0.24220000,0.18750000,0.21230000,52193458.00000000,52193458.00000000
2023-03-05,0.26910000,0.32390000,0.23540000,0.23780000,0.26910000,0.32390000,0.23540000,0.23780000,129340462.00000000,129340462.00000000
2023-02-26,0.25540000,0.30200000,0.25060000,0.26920000,0.25540000,0.30200000,0.25060000,0.26920000,97261990.00000000,97261990.00000000
2023-02-19,0.23410000,0.26530000,0.21570000,0.25540000,0.23410000,0.26530000,0.21570000,0.25540000,56260501.00000000,56260501.00000000
2023-02-12,0.24890000,0.26240000,0.22170000,0.23430000,0.24890000,0.26240000,0.22170000,0.23430000,52258303.00000000,52258303.00000000
